구분,총자산증가율2002,유동자산증가율2002,매출액증가율2002,매출액순이익률2002,매출원가대매출액비율2002,자기자본순이익률2002,총자산순이익률2002,매출액대판매관리비2002,매출채권회전율2002,재고자산회전율2002,총자본회전율2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,고정비율2002,순운전자본비율2002,차입금의존도2002,현금비율2002,부채/자산2002,부채/매출액2002,부채/현금흐름2002,유동부채/부채2002,현금흐름/매출액2002,차입금평균금리2002,이자보상배율2002,업종,정상기업여부
미화콘크리트주식회사,0.0099399757046831,0.4671586593941323,0.5078900287622152,0.0220374883088214,0.782983359711531,0.1917403134940405,0.0250639508779666,0.1658158502745449,8.382985674777814,16.343303232886548,1.1373324639693057,1.8057910576090832,6.650043459931783,0.3952131514516234,0.1307182116333908,0.3301545905209077,0.669000707891242,-0.5065216529635226,0.4877547800292992,0.0045215053596213,0.8692817883666092,0.7643163418837127,-1929.5390089849657,0.9634631212578288,-0.0003961134438457,8.6,1.2979133168971309,0,1
발레오전장시스템스코리아주식회사,-0.057963475658609,0.0445177230586276,0.0967410461117736,0.0053173067280858,0.8717778109335091,0.009850733746015,0.0064645839989266,0.1168467769810737,4.4224149291457575,25.085266045516835,1.2157628531716993,2.351491527238747,0.5238001003081686,1.3788206974730817,0.6562540583884744,1.2177795020164854,0.6382514680251317,0.099387709688234,0.0784661973117217,0.1612017880730185,0.3437459416115256,0.2827409479692165,13.848510128041235,0.7632404940016244,0.0204167051440939,9.16,1.830042811305588,0,1
보문관광주식회사,-0.0814156473849724,0.1114243927694593,0.2463791380661833,0.7016740224741483,0.6195239787963582,0.191516213272396,0.0815907099421621,0.3943267616521552,11.290461091490478,6.043135006281609,0.1162800778265497,0.1272605673240499,1.3472796884582672,0.0566489640871654,0.4260250792767849,0.034908147342886,0.9689388697486038,-0.5172477532720994,0.313003119215293,0.001064888917824,0.5739749360834354,4.936141657383567,-201.96859748023155,0.9552836701632408,-0.024440144254934,6.09,-0.0861654115566541,1,0
삼성건설주식회사,-0.0708945460970538,-0.0697953725301544,-0.9470640564841156,-127.81742409591956,0.7899052407658094,-2.0683240115247656,-0.0403793991598698,28.89970992071166,0.0021069166271373,0.00295063242182,0.000315914668485,0.090312259308485,50.22225824450416,1.0138802712364936,0.0195227628431882,0.916018116771168,0.1238033174045992,0.01199534899807,0.2676210784205104,0.0002825907399297,0.9804772371568116,3103.614155869271,-1085.044777532131,0.8814088761639134,-2.860355830593696,23.38,-0.1190797641939091,1,0
삼양물산주식회사,-0.0637681498777629,0.1783576266299427,1.5078382689107002,0.0491528315120119,0.8372113074787435,0.0659272522185831,0.0563314217024646,0.2038424430579493,3297.221651140379,9.923056404287308,1.1460463206213956,1.4765876525534962,0.1703459672436882,1.4756114188755851,0.8544481956520307,0.746741540124127,0.8042444658894867,0.0630948724278649,0.0,0.5142609696853396,0.1455518043479693,0.1270034218765694,30.809108527131784,0.9114318480816512,0.0041222686389878,2.97,-17.51105385638298,0,0
삼윤상사주식회사,-0.4138696987748824,0.2626311439163963,-0.2797479771881596,-1.7380858646967248,0.0,-0.2278010580937918,-0.1908482128200335,0.9257374823839434,20.346274346781307,0.0,0.1098036735103039,0.1302885669200379,0.1936242667810787,35.21490366477162,0.8377845757918131,21.992974878686564,0.8518837366688715,0.1439101426233218,0.0009159918385893,1.7754563076482757,0.1622154242081868,1.4773223793187993,76.10142472083173,0.0259288906069796,0.0194125456223476,0.8,6.9438516378547135,1,1
삼한화섬주식회사,0.0115560852793026,-0.0183894003814249,0.257634597344076,0.0028294216047174,0.8802770367658111,0.0157145062676443,0.0043433561931986,0.1166643943338301,3.003996365396764,19.068855794310068,1.5350685758379283,15.30169248404676,2.61805595299208,0.8199472271344851,0.2763915148986571,0.7190968798623076,0.4238559926193931,-0.1265158494527305,0.3982380454784388,0.0047078794976945,0.7236084509369283,0.4713850979210758,-54.934121113405055,0.9710497738923844,-0.008580916347928,8.98,0.1370934516321789,0,1
상진물산주식회사,-0.0632092318004675,-0.2125786804853855,-0.1130863121916075,-0.8645650325871351,1.1326910361764428,-0.0161963296352939,-0.0144005565669623,1.819854538585057,8.550660259257764,2.137423356623413,0.0166564179953819,0.0169016202614458,0.1247016432997786,0.1641429220170633,0.8891246900520972,0.0557262529348676,0.9866362413416953,-0.0680516230961129,0.0600733137264727,0.0025623931128438,0.1108753099479028,6.656611882497402,-141.31451774613996,0.7342967680782364,-0.0471049400207802,6.75,-8.70108386825213,0,0
서울냉열주식회사,-0.2272145574350204,-0.3997854159406055,0.046543271066406,-0.238510894141965,1.157738886417664,-0.0944126724839867,-0.0912418470947456,0.091229380854768,4.330575120524144,20.01280927999708,0.3825479226975569,0.4701049445939256,0.034751980859356,7.620631714798116,0.9664152564924064,6.702403499656404,0.8163348446220491,0.1595641146438473,0.0,2.483767158875685,0.0335848444958137,0.0877925156644126,0.9486322275151896,0.717616564730787,0.0925464190631315,0.0,-559.3730723606168,0,0
서울도시가스엔지니어링주식회사,-0.4083350703204177,-0.5379045674832901,-0.4087993276312959,-0.0582344209467096,0.8924079003108988,-0.766215572934376,-0.1059260331700873,0.1790691341104989,14.080829706630746,68.08825364048955,1.818959155909188,117.79804286220332,6.233496337052951,0.7564910631930369,0.1382457325481161,0.7261211183180808,0.4061538345830475,-0.1911547345413571,0.0,0.1460410829209915,0.8617542674518839,0.4737622967796355,-10.956510778311676,0.9109335800325936,-0.0432402528839239,0.0,-25.74603120874657,1,0
서원풍력기계주식회사,0.0398626552067667,0.2542306333085624,0.3450484788566895,0.0465384172575408,0.8330368925110205,0.0266044154846876,0.0219225420914316,0.1124810121264477,2.775956476946136,9.688858692290754,0.4710633361275174,0.6368569091473065,0.2135643473156305,1.7430625821271193,0.8240189341520878,1.446213931770483,0.762179757159745,0.1013820877913211,0.0161568852647467,0.1617844349130932,0.1759810658479122,0.3735825999420891,15.803613728749884,0.775300197163527,0.0236390616952671,9.02,13.212832086664948,0,1
