,구분,이자보상배율1999,영업이익1999,차입금의존도1999,총자본증가율1999,유동자산증가율1999,매출액증가율1999,순이익증가율1999,영업이익증가율1999,매출액순이익률1999,매출액총이익률1999,자기자본순이익률1999,총자본순이익률1999,매출원가 대 매출액비율1999,매출채권회전률1999,재고자산회전률1999,총자본회전률1999,유형자산회전율1999,부채비율1999,유동비율1999,자기자본배율1999,당좌비율1999,비유동비율1999,순운전자본비율1999,현금비율1999,부채1999,자산1999,매출액1999,부채/현금흐름1999,유동부채1999,유동자산1999,매출/현금흐름1999,차입금평균이자율1999,정상기업여부
106,아세아제지(주),0.61,7380648,38.84,2.11,4.65,17.51,-60.4,17.45,1.98,11.23,2.13,1.03,88.77,4.18,6.9,0.52,0.95,95.11,96.91,492.78,70.36,138.83,-0.92,20,141575527,290434692,149357978,6.85,86447742,83776737,6.49,10.3,0
107,아이에스동서(주),0.72,16532607,54.93,-19.54,-21.66,-11.09,0,0,-16.78,25.63,-49.44,-10.65,74.37,4.01,5.65,0.63,1.22,357.6,63.56,151.77,43.61,292.21,-20.72,0.71,162820095,208351844,148324212,1.97,118471951,75303725,2.16,18.09,0
108,에스케이네트웍스(주),0.92,126784797,23.62,237.38,57.39,6.09,306.37,-14.26,0.47,4.37,2.13,0.91,95.63,8.02,73.95,1.95,36.33,107.72,65.83,1054.03,61.12,142.61,-16.27,15.68,3141916514,6058641070,7672559857,8.14,2884819487,1899101660,3.33,12.65,0
109,에이치엘비글로벌(주),-3.17,-32026113,34.57,-11.99,-39.51,-7.22,0,0,1.59,-48.78,0.84,0.31,148.78,3.77,7.88,0.2,1.1,88.69,110.3,534.92,99.25,140.45,2.39,3.28,84317804,179383010,37604378,0.77,41577719,45859857,1.72,10.23,0
110,에이프로젠제약(주),0.06,111764,103.21,-1.34,8.87,19.17,0,0,-16.5,38.82,0,-12.78,61.18,1.58,6.7,0.77,3.75,0,96.84,0,82.51,0,-2.22,3.11,26140543,14675023,11440151,-4.9,10275380,9950301,-11.2,8.19,0
111,엔피씨(주),1.29,3025220,24.04,-8.82,29.22,4.78,812.71,148.49,2.54,24.61,3.06,1.69,75.39,3.36,11.63,0.67,1.83,66.33,181.07,199.25,157.66,83.64,22.26,14.34,27755850,69598680,48584185,9.98,19108321,34599382,5.7,10.68,1
112,영화금속(주),0.53,1296574,41.99,-10.11,7.28,14.15,0,0,2.19,13.36,11.58,1.97,86.64,6.1,5.27,0.9,1.62,327.22,65.89,118.2,34.28,253.65,-21.03,2.06,35932580,46913687,44688737,2.91,28925864,19060514,2.34,9.81,0
113,유성기업(주),999999999,4080133,6.42,17.94,11.71,41.21,535.42,6333.51,8.4,10.46,8.94,5.72,89.54,3.55,13.9,0.68,1.51,56.34,158.61,853.5,139.34,101.55,12.95,7.7,48542402,134694868,84681073,29.78,29765215,47209130,17.07,0,1
114,이건산업(주),0.73,13990084,48.1,8.8,13.27,13.46,0,-36.94,3.88,15.02,7.76,2.91,84.98,4.56,3.08,0.75,2.26,149.25,131.23,529.96,62.92,125.82,11.77,7.33,175017303,292279068,210415901,0.96,110158050,144563188,0.8,14.25,0
115,제이스코홀딩스(주),0.39,317047,30.7,-10.22,-25.09,-31.43,138.64,-69.04,2.42,7.21,3.51,2.08,92.79,5.69,6.48,0.86,2.79,51.51,168.14,314.23,100.29,66.51,22.73,60.13,8093235,23804767,21689611,47.1,7942577,13354562,17.57,8.7,0
