구분,항목,자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
(주)경인양행,012610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874000,-284014,-1003886,-1344011,2010774,1081263,376777,121209,12.56,16.16,8.06,0,19678166,20810806,20802806,20399671
(주)골드앤에스,035290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3932385,29923,-6059838,1413166,405947,1342610,867018,465150,16.7,10.42,5.18,7.68,1362911,9399059,1571768,1597332
(주)골드퍼시픽,038530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4680380,-4070830,95577,6919529,58146,55031,41779,22834,8.18,6.33,7.55,6.6,676422,6571417,7062371,3455761
(주)광림,014200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478939,1600211,-2879046,-1008140,2131276,350024,381942,289411,283.19,8.79,5.8,5.45,23133426,21899853,19780897,19050644
(주)광명전기,017040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4238923,-634620,,-4579725,1370909,1433684,,87001,5754.08,12035.12,,0,9620539,9188402,,9156357
(주)광무,029480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100357,-2427748,442554,754334,970223,1416623,1349933,1347344,11.49,12.58,12.68,10.93,10406203,13840270,11614763,11092346
(주)광주신세계,037710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9830263,-11029277,28283780,4261005,846679,68617,511,0,28.22,0,0,0,10039742,19340179,35159477,54437700
(주)구영테크,053270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-233207,-34424,311125,-685981,520821,598497,724923,411016,7.69,7.18,6.86,4.57,6232354,9712703,12529710,10378181
(주)국동,005320,90899061,113467407,128537659,131059868,53920061,55673958,64695333,58565826,62519415,69090742,79935627,78816014,28379646,44376666,48602032,52243854,45389038,68468218,81997520,88068135,44180229,66968020,81162497,87393770,190630,720745,69320,0,22276696,44102332,61904424,69443273,0,0,0,0,4349797,3934152,6887450,5839034,25028323,18117527,22837344,10733461,45510023,44999189,46540139,42991733,14562286,20623957,21411992,29304855,103208045,78404364,85395701,110438438,8599354,13416784,15240294,20250188,19570662,20644861,20298423,23597490,136560893,106425696,110939349,134619687,33352848,28021332,25543648,24181249,13782186,7376472,5245225,583759,6830325,120919,1581037,-3296708,3785581,-1640336,2414835,-2061394,953731,799327,1212684,1288016,9.74,7.22,7.73,5.3,10304543,10111687,10118500,11184500
(주)국보,001140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468942,442530,-1276650,-992827,953229,1189108,1570061,1646009,7.39,8.38,9.39,8.72,7123287,17961781,17252770,18813578
(주)국보디자인,066620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-864947,-643669,916888,2164188,23920,153442,0,4057,,0,0,0,180028,294053,245265,278580
(주)국순당,043650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8518847,13532474,36774915,-147227,12913,8402,275627,538766,,11.01,7.07,6.82,2793508,11252178,16828230,19045038
(주)국영지앤엠,006050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109927,2802,572516,2558210,917427,769944,464438,251880,12.78,11.23,7.26,6.7,10967354,10792750,10381875,7488815
(주)그래디언트,035080,,,66291917,,,,28412790,,,,29179210,,,,37112707,,,,22152664,,,,11705190,,,,0,,,,0,,,,0,,,,11116522,,,,4929037,,,,44139253,,,,6194913,,,,87057547,,,,766420,,,,23082879,,,,97293429,,,,10235882,,,,-12846997,,,,-12256374,,648793,7204126,2761921,2389134,490157,90416,552084,904367,156.59,43.93,10.61,8.57,3456052,4716866,5535098,5664810
