구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)에스비비테크,045366,13218681,12922176,12890685,13350810,3967178,2934357,2360964,2043265,6055514,5314682,5041413,5347017,7163167,7607494,7849272,8003793,7610967,6853528,6718709,7066874,4921797,5392978,5863303,6777874,2651206,1444999,850333,289000,2220000,2300000,3145000,5000000,0,0,0,0,1606470,1420284,595762,432562,915000,455000,285001,315001,5607714,6068648,6171977,6283935,1497793,942891,1297360,1153007,6874600,7404692,6470673,7257189,2088336,2380326,2680449,3303752,1218833,1474110,1440331,1446006,9302691,9529356,8331819,9101205,2428091,2124664,1861146,1844016,1209258,650554,420815,398010,764142,460934,103329,111959,20491,-186186,-824522,-163199,412606,344829,312716,258711,5.72,5.51,5.41,4.52,5855439,6442788,6206479,6118351
(주)에스비성남,049149,19843148,18620813,17410571,16092331,1376625,1648791,1900450,1891914,1376625,1648791,1900450,1891914,18466524,16972022,15510121,14200417,22136108,20840852,19525088,18268456,1446902,1518734,1613629,1742230,20133360,18752440,17281673,15715214,0,0,0,0,0,0,0,0,894,0,974,2040,1049703,732445,1573896,1859690,-2292960,-2220038,-2114517,-2176125,0,891946,298451,0,2125484,2144792,2165926,2317219,0,0,0,0,26587,18259,19979,22680,3370294,3540900,3514487,3403346,1244810,1396108,1348561,1086127,1218223,1377849,1328582,1063448,-168861,72921,105522,-61608,1,-894,974,1066,1391396,1311900,1230682,1133964,6.31,6.31,6.33,6.29,0,0,0,0
(주)에스비씨리니어,029948,28836351,27460876,23900438,25392033,8915094,11590261,8580306,9970807,15800606,18280321,16174461,18872468,13035745,9180555,7725977,6519565,12767175,4695314,1547728,2393944,11778651,4439723,1547728,2056664,0,0,0,0,3280000,2000000,0,0,0,0,0,0,378643,2768493,2575006,2484775,0,0,0,0,16069176,22765562,22352710,22998090,8399380,7941710,5648943,6131302,21050820,26652636,19706835,18438066,6885512,6690060,7594155,8901661,2683660,4021128,2864815,3023582,27578546,36046079,22550224,21700121,6527726,9393443,2843390,3262055,3844066,5372315,-21425,238472,3573408,5005680,-226524,645379,26788,2389849,-193486,-90231,254400,129962,11402,0,5.82,4.92,1.14,0,11877517,8007368,6646985,5383933
(주)에스비알,049210,34676777,34738420,24073854,24326981,2726029,3238015,2392980,2511159,5177639,5392161,4687900,4784684,29499138,29346259,19385954,19542297,33335426,33389859,21629931,19759737,32309813,32900502,21232965,19198605,974870,422160,266500,429460,27073276,27300241,18067309,17354266,0,0,0,0,153896,421098,66284,125692,10000,7000,7000,5318,1341351,1348560,2443923,4567243,1943996,1635047,1294809,1279547,16949096,18711230,10095794,9503733,2451610,2154146,2294920,2273525,828099,875167,1024735,1090603,18010437,20413168,12721041,10890630,1061341,1701938,2625247,1386897,233242,826771,1600511,296294,-2055433,7209,1390486,371640,44951,267202,-354814,59408,1573219,1718949,1457523,1055562,5.6,6.04,6.18,5.72,28485000,28125865,18277624,18733384
(주)에스비에스골프,016326,61431715,63679926,57612420,54248724,46162141,45337690,27825007,27701682,46529356,46193654,28129351,27909130,14902359,17486271,29483070,26339594,20842861,21746819,15485714,9590408,20052128,21588438,15384894,9564369,0,0,0,0,9965375,10206705,7497700,0,0,0,0,0,4849641,1112711,3314800,1772196,28000000,241239,14000000,13000000,40588854,41933106,42126706,44658316,11675193,11039332,10954500,13061231,35331229,40393221,39666836,38813633,367215,855964,304344,207449,8059697,6605034,6277688,5154880,42675702,46396665,44825506,45703361,7344473,6003444,5158670,6889728,-715224,-601590,-1119019,1734848,578857,736686,193599,2554122,-7207791,-3736929,2202088,-1542604,388346,230568,245044,142045,3.6,2.29,2.77,3.79,11658163,14386331,25888078,17001372
(주)에스비에스미디어넷,040574,146220816,158899885,174543533,175711787,106165641,104906885,39977458,41792924,106704591,104959525,39983144,41797278,39516225,53940360,134560390,133914509,24041303,23030299,30516747,30188459,23804614,22072913,29974819,28367760,0,0,0,0,8541750,8649750,16810702,8534436,0,0,0,0,3248804,200646,271350,3769716,63313057,68609025,12200408,10700000,122179512,135869585,144026786,145523328,35787794,31817025,24061040,24827641,100856719,0,0,0,538950,52641,5686,4354,18434268,77913267,74594806,85496096,140433663,97027674,86487696,92176200,39576943,97027674,86487696,92176200,21142675,19114407,11892890,6680104,18387234,15871850,11028396,4396678,2306727,-3048158,70704,3498367,346028,196993,1419895,310255,6.46,2.29,11.15,2.45,19139891,36407894,118465368,86572688
(주)에스비에스비즈니스네트워크,044989,9071983,,,17799198,3754015,,,16474809,3808130,,,16476749,5263853,,,1322449,4319887,,,10897594,3374871,,,10895146,0,,,0,0,,,5039375,0,,,0,356963,,,9083474,0,,,0,4752096,,,6901604,2857767,,,7310785,11606167,,,0,54115,,,1939,2326894,,,25252970,10380393,,,23376613,-1225775,,,23376613,-3552669,,,-1876356,-3253121,,,-1099124,-3159840,,,7908386,91465,,,166701,20.86,,,3.31,3985843,,,759804
(주)에스비에스아이피티브이에스피씨,060537,10098655,10326784,10451339,9098849,10098655,5826784,5878261,2140225,10098655,5826784,5878261,2140225,0,4500000,4573078,6958623,10088655,10316784,10441339,9088849,17379,15908,6499,1127,0,0,0,0,0,0,0,0,0,0,0,0,3025986,1098896,4739709,2120337,7000000,4672268,1108642,0,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025986,-1927091,3640813,-2619372,0,0,0,0,0,0,0,0,0,0,0,0
(주)에스비에스아트텍,016327,32256459,39403495,31298456,25449420,25537579,29490125,21941741,16147842,25617171,29663370,22099154,16252155,6639287,9740125,9199301,9197265,9521190,19770329,13794380,10994848,7809022,16663128,12886537,10207261,0,0,0,0,0,0,0,0,0,0,0,0,5591746,4423628,2821158,2299731,0,3000000,2000000,1000000,22735268,19633166,17504076,14454572,16042056,23150405,18150866,14264321,70082037,74769872,78761543,74853329,79592,173245,157413,104313,3188263,4362071,3242612,4049271,75044653,80003918,79743968,75574967,4962616,5234046,982425,721638,1774352,871975,-2260187,-3327633,1958617,840536,-1591516,-2529817,663365,-1168118,-1602469,-521427,0,0,7255,1230,0,0,0,0,517815,907995,812450,831535
(주)에스비에스에이앤티,029321,23761721,31529758,22989768,19676575,20591687,25183386,16637361,12406871,20592522,25183386,16637360,12411988,3169199,6346372,6352408,7264587,5386101,15188901,6897019,7096261,2873961,13392489,6765541,6014178,0,0,0,0,0,0,0,0,0,0,0,0,465898,1162378,1039420,478773,8000000,3000000,2800000,3500000,18375619,16340857,16092749,12580314,7944827,16333349,9210980,4400001,36848626,40162349,40814873,37599093,834,0,0,5117,1802927,2412692,2231039,2283900,39455855,43139878,42759637,36216138,2607229,2977529,1944764,-1382955,804302,564837,-286275,-3666855,1491667,747926,60538,-2789012,-1545752,696480,-122959,-560646,1170,202,1020,646,0,0,0,0,81719,213720,284066,214142
