구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
(주)유엔아이라이프,057255,,-1.96,,-2272218,,100000,,74.12
(주)유엔아이리더스,057127,,-0.09,,-199718,,300000,,103.13
(주)유엠씨홀딩스,016895,66.52,30.49,7554932,8953060,1430000,1430000,5.12,2.97
(주)유영,046546,999999999,999999999,-1370890,350788,305000,305000,107.75,75.21
(주)유왕,048040,2.05,5.4,667468,2005056,1000000,1000000,69.95,59.18
(주)유원,025816,-3.19,-1.82,-2212543,-1954172,1000000,1000000,69.54,66.53
(주)유원건축사사무소,052512,517.38,130.78,2112462,4467690,150000,500000,0,3.2
(주)유일,057187,,1.67,,1197337,,2000000,,53.37
(주)유일엔시스,018383,1.58,1.99,837084,1221896,1291950,2041950,47.4,36.39
(주)유전자원농업회사법인,016955,8.92,39.87,261161,1630524,800000,800000,2.35,0.5
(주)유정메디칼,011318,999999999,999999999,-21471,24664,991000,991000,0,0
(주)유지인트,049158,2.94,3.44,972969,1490406,1210000,1310000,46.02,42.95
(주)유진,029781,,-1.19,,-380541,,700000,,71.43
(주)유진건철,018385,43.2,5.39,4552640,5357201,1800000,1800000,15.74,19.48
(주)유진기공,053956,,1.25,,776129,,300000,,47.29
(주)유진메카닉스,052759,-1.11,0.53,-335906,228371,500000,500000,64.08,67.88
(주)유진소재산업,052510,17.53,13.52,881694,1473980,1000000,1000000,32.35,26.65
(주)유진아이티엔,052795,0.25,0.23,124566,171833,898270,898270,53.37,64.39
(주)유진어패럴,039971,3.7,2.87,893134,1070854,1200000,1200000,35.2,59.26
(주)유진오일,053970,-1.35,0.37,-454208,195101,1100000,1100000,93.93,48.3
(주)유진정공,039624,2.18,-6.27,542228,-2310325,1100000,1100000,40.17,59.39
(주)유진종합,043555,1.57,2,494675,1048519,150000,150000,55.64,43.07
(주)유진주택,038661,0.12,29.6,47249,6580842,800000,800000,11.66,0
(주)유진텍코퍼레이션,044331,9.78,3.13,2749997,1263034,350000,350000,23.83,39.16
(주)유창,045941,-6.03,-1.12,-924218,-224812,300000,300000,26.44,33.68
(주)유창금속,039111,1,1.4,450421,818516,650000,909065,54.89,63.69
(주)유창이앤씨,016971,4.79,3.24,2547204,3884216,3000000,3000000,19.69,22.55
(주)유창종합건설,046015,999999999,46.3,614827,610810,2800000,2800000,5.49,0
(주)유창테크,039093,250.32,24,2731736,58182,50000,50000,0.77,1.56
(주)유창파트너스,056665,,-0.96,,-1232331,,50000,,108.35
(주)유천엔바이로,016978,242.69,140.41,1910941,1566793,400000,400000,0,0
(주)유케이케미팜,049403,-17.32,0.21,-2797955,55069,4006570,4006570,76.15,43.1
(주)유클릭,030009,8.09,-9,463724,-308167,3085500,3085500,12.3,5.17
(주)유탑디씨앤씨,047386,-0.85,0.2,-2583911,713787,300000,300000,80.82,51.45
(주)유탑엔지니어링건축사사무소,040165,234,28.38,5176610,4445468,2890000,2890000,1.71,1.67
(주)유탑인더월드,047378,-0.29,-0.05,-761755,-158130,300000,300000,111.54,119.14
(주)유텍솔루션,015968,4.35,1.92,4954438,3003301,750000,750000,42.08,45.86
(주)유토피아스파,046250,-2.46,0.95,-1021083,367477,800000,800000,103.41,107.08
(주)유토힐개발,048563,-0.08,-0.05,-63168,-40575,1000000,1000000,97.82,99.2
(주)유피교육,046340,20.73,1.01,2084069,143911,500000,500000,16.63,23.68
(주)유피케미칼,043011,886.15,384.63,24653612,16312859,4159670,4159670,1.77,0.63
(주)유한정밀,048662,1.15,6.35,421979,2797314,200000,2295000,47.4,29.46
(주)유한화학,016986,40.4,50.26,10353889,12988590,22000000,22000000,8.01,5.19
(주)유화,052653,,999999999,,-865429,,8380835,,69.65
(주)유화약품,045551,9.42,6.74,855322,1334373,720000,720000,11.86,7.25
(주)육성코리아,042293,0.1,1.41,46549,824431,550000,550000,47.77,64.62
(주)육장성특수강,050214,2.18,2.24,1108283,1801217,919000,919000,54.12,54.3
(주)윤스칼라,047903,3.63,,412304,,100000,,11.22,
(주)윤우디앤씨,049419,-0.5,-0.93,-1315871,-3636785,300000,300000,93.06,97.98
(주)윤준,050387,0.7,,97383,,1020000,,23.76,
(주)율곡,049234,1.88,2.92,772368,1643977,1050000,1050000,65.83,63.29
(주)율촌,041701,1.77,2,856172,1283371,1300000,1300000,54.16,45.71
(주)으뜸농산,053322,1.05,1.47,302158,933330,1600000,1600000,65.72,50.59
(주)은민씨엔씨,052668,753431.33,999999999,4520588,353273,500000,500000,0,0
(주)은민에스엔디,043340,999999999,999999999,5508133,13619509,900000,900000,0,0
(주)은산티아이,053019,9.99,10,492995,908857,50000,50000,26.06,16.19
(주)은성인더스트리,057381,,1.18,,257277,,800000,,74.99
(주)은성일렉콤,052420,1.7,1.02,287438,328685,50000,50000,53.8,47.42
(주)은암산업개발,042493,0.74,,277080,,300000,,61.6,
(주)은진바이오,046201,44.05,9.57,818928,998210,500000,500000,5.33,23.79
(주)은창무역,051528,0.16,-1.78,26671,-410242,500000,500000,50.78,18.6
(주)의종,041425,2.17,2.81,654779,860379,1180000,1180000,44.45,36.55
(주)이가에이씨엠건축사사무소,043526,25.98,6.62,7989871,5765354,2100000,2100000,14.82,29.38
(주)이강공사,052355,929,414.64,1752087,1967889,200000,200000,0,0
(주)이강테크,011390,3.07,-2.12,1250838,-981383,880000,1160000,47.15,53.27
(주)이건리빙,040520,2.96,,4362523,,5250000,,37.55,
(주)이건인테리어,018331,-0.26,,-145855,,17653230,,34.3,
(주)이공시티존,046915,999999999,-0.52,-425186,-1307786,300000,300000,102.49,143.94
(주)이그잭스,017154,-3.94,0.84,-4869704,1785302,2400000,2400000,54.03,51.53
(주)이그잼,046083,0.39,-4.65,367008,-8060619,3399500,3612000,57.36,89.14
(주)이글루시큐리티,017016,21.17,24.77,2351890,2209853,3000000,3000000,9.29,7.38
(주)이남건설,047437,26.39,-3.65,6432608,-1000241,305000,505000,19.02,33.97
(주)이너렉스,019266,10.05,0.81,2674427,333667,1000000,1000000,38.53,46.88
(주)이너스텍,052661,2.52,16.98,623506,3432634,750000,750000,34.18,15.59
(주)이너큐브,052988,1.2,-0.72,219790,-243731,1192857,1192857,43.18,45.57
(주)이네스,048557,-2.82,-2.87,-1088572,-1929304,1866830,3535000,57.56,37.31
(주)이노디자인,043735,4.37,-0.98,1721759,-515440,750000,750000,44.37,44.6
(주)이노바이오,043898,,-3.79,,-2448780,,1500000,,102.64
(주)이노밸리,049475,-5.33,-0.97,-2536988,-2328433,12000000,12080000,67.32,88.56
(주)이노버티브홀딩스,053988,1.7,-5.32,2320316,-8479811,116250,126250,87.18,82.05
(주)이노션,047201,46614.93,999999999,9416215,25056609,3000000,3000000,0,0
(주)이노에너지,054096,999999999,999999999,-127175,-1011258,1000000,1000000,11.42,445.66
(주)이노엠텍,053122,97.89,133.55,9176362,3802817,1355030,1355030,2.26,14.82
(주)이노웨이브,054553,,,,,,,,
(주)이노캐스트,046947,2.18,-1.49,1458622,-1475204,2334000,2534000,48.71,60.92
(주)이노켐,046119,-30.46,,-12120987,,755000,,63.32,
(주)이니투스,052569,-5.4,0.47,-310077,75571,800000,900000,28.85,50.51
(주)이닉스정호,017284,2.98,4.65,1504662,2265873,400000,400000,34.13,23.47
(주)이덕아이앤씨,052121,1.78,1.25,439910,558706,800000,1800000,61,59.49
(주)이데아건설,030699,1.86,0.54,5095501,4924559,2000000,2000000,89.13,93.69
(주)이도홀딩스,046150,0.93,2.38,4168427,10366818,4510000,4510000,63.05,64.65
(주)이든하우징,045688,-0.41,-0.75,-719458,-1313020,300000,300000,3.9,126.97
(주)이디도시개발,046934,2.38,0.44,7062438,1704995,300000,300000,32.49,42.42
(주)이래fr,010770,5.01,42.08,1513392,1762382,2075000,2075000,11.53,0
(주)이랜드,010059,-0.69,-0.97,-10834724,-13853832,5386570,7299775,65.75,57.22
(주)이랜드리테일,010204,1.14,1.63,35430532,45504073,236684915,236684915,42.64,23.23
(주)이랜드월드,010077,1.05,0.35,51252770,18672886,37664090,37664090,46.73,37.39
(주)이랜드이노플,049133,999999999,999999999,2401906,905262,692685,692685,0,0
(주)이랜드파크,023967,-1.43,-0.67,-4400361,-2884832,19055780,19055780,69.16,33.02
(주)이레엠엠씨,056650,,0.97,,2358634,,200000,,93.53
(주)이레코,052114,5.58,0.24,1225133,50571,2430000,2430000,17.52,35.13
(주)이레코퍼레이션,042977,0.72,999999999,688531,-580251,100000,100000,35.17,18.14
(주)이롬,030368,-5.96,-39.72,-583912,-6412426,3525045,3525045,3.49,12.7
(주)이룸알앤디,049595,3.8,-2.33,3685010,-1002355,50000,50000,66.04,92.09
(주)이메이션코리아,017032,999999999,999999999,329385,862596,4027000,4027000,0,0
(주)이미지스테크놀로지,051864,999999999,999999999,514349,3121914,2573809,2664354,1.48,0.87
(주)이바돔,049231,2.86,3.75,1918149,2246788,1065000,1065000,81.23,69.34
(주)이범,049956,999999999,,-758646,,300000,,15.08,
(주)이베스코,049233,6.45,1.2,1683949,216100,1610000,1610000,34.63,43.39
(주)이본종합건설,039614,,3.09,,2775785,,800000,,1.76
(주)이브레인테크,043539,2.89,2.76,1609552,1158319,1500000,1500000,20.39,37.64
(주)이브자리,039590,20.04,11.12,2369487,2339416,6788500,8000000,12.89,12.27
(주)이산레저,049153,-2.56,1.07,-2699375,1479165,500000,1000000,84.57,87.46
(주)이삼성인터내셔널,017039,-106.21,999999999,-741220,-131940,40000000,40000000,0,0
(주)이세텍스,042042,-1.5,2.02,-491290,559901,100000,100000,46.35,34.97
(주)이송,057253,,0.34,,153686,,500000,,69.66
(주)이수,039296,-7.78,-5.75,-57035815,-58215771,25236653,25236653,76.58,87.18
(주)이수엑사플렉스,041785,-3.14,1.41,-3155634,1635559,2200000,5200000,80.45,53.86
(주)이스턴,049050,-1.3,1.25,-608938,1190881,600000,600000,82.11,67.13
(주)이스턴웰스,051238,0.87,1.17,352334,717892,400000,400000,100.92,98.48
(주)이스트밸리,015619,2.35,1.58,738316,520381,4664325,4664325,36.9,25.02
(주)이스트소프트,011458,7.81,,3560200,,2002350,,35.62,
(주)이스트한,041063,6.67,8.15,1139437,1497831,100000,100000,22.72,19.72
(주)이슬림코리아,049702,7.76,1.42,1316565,338916,600000,600000,22.88,50.37
(주)이시다매뉴팩쳐링코리아,013950,999999999,999999999,-385972,337023,3000000,3000000,0,0
(주)이시스디스트리뷰션,045900,4.11,,800857,,1116000,,11.54,
(주)이십일세기건설,052074,999999999,999999999,-212902,216423,200000,200000,0,0
(주)이씨에스텔레콤,029118,125.6,,2901859,,3000000,,0.97,
(주)이씨오,048277,0.65,1.17,286663,639772,2123175,2123175,49.25,54.29
(주)이아손씨엔티,048868,0.21,,773275,,300000,,102.87,
(주)이아이디비,050296,-1.99,-1.62,-450021,-381287,2000000,2000000,25.99,22.68
(주)이알지서비스,043451,-0.53,0.47,-981546,906064,8500000,8500000,76.82,62.77
(주)이앤알월드와이드,018702,-1181.5,,-1055083,,300000,,0,
(주)이앤지텍,052586,1.43,2.47,337466,925269,300000,300000,63.52,58.8
(주)이앤컴퍼니,042160,1.68,0.01,1180112,9851,8822500,8835000,46.22,39.11
(주)이앰솔루션스,030217,0.11,0.35,57814,218600,2539932,2981108,42.02,42.03
(주)이언씨피씨코리아,044197,999999999,999999999,-2275562,-5160383,50000,50000,104.34,107.28
(주)이에스디웍,040067,1.52,2.09,1155467,1736286,600000,600000,51.68,31.5
(주)이에스오리엔트,057104,,-1.4,,-531448,,500000,,87.03
(주)이엔드디,047823,11.29,2.98,2976988,778005,3000000,3000000,32.19,28.53
(주)이엔에프테크놀로지,043036,999999999,29.4,7101003,10789654,5750000,5750000,0,20.17
(주)이엘지코리아,048820,-8.13,-0.57,-2685838,-119982,2200000,2200000,46.13,37.1
(주)이엘피,021206,52.57,,27653,,1492380,,0,
(주)이엠네트웍스,041698,114.48,,2085875,,1100000,,6.26,
(주)이엠넷,049387,2.7,8.95,720386,2584915,1500000,1500000,31.74,28.48
(주)이엠시네마,046386,0.55,,430196,,2000000,,95.41,
(주)이엠에스,048479,10.25,-4.15,1155257,-479894,200000,200000,24.01,31.85
(주)이엠텍아이엔씨,053448,5.37,4.28,1319961,1069567,500000,850000,50.71,64.33
(주)이엠티,044770,,-10.85,,-596102,,550000,,5.78
(주)이연엔터프라이즈,053352,1.21,1.05,219601,523081,150000,150000,69.48,66.97
(주)이연패션,041735,1.17,-3.86,205221,-802342,1000000,1000000,28.29,42.14
(주)이오니아,050284,1.15,1.37,643096,710311,900000,900000,61.12,58.89
(주)이오피존,053829,1.57,1.25,364341,483746,600000,800000,57.81,53.41
(주)이온본드엘트론,048692,-2.06,-0.98,-758524,-359478,500000,500000,93.83,110.99
(주)이우,017063,5.97,2.54,3157749,1495762,880000,880000,35.1,64.69
(주)이우티이씨,051828,2.8,2.86,772032,945641,900000,900000,51.3,38.1
(주)이원엠,057256,,-0.35,,-227003,,2100000,,87.5
(주)이원정공,017065,0.92,-0.23,512623,-213540,1600000,1600000,25.46,39.41
(주)이웨이,046496,13.68,6.11,1068745,323710,300000,300000,3.03,0.95
(주)이이씨엘리트,025897,999999999,999999999,6738405,942044,2000000,2000000,0,0
(주)이지골프디앤씨,050101,-0.53,-0.2,-583746,-279175,100000,100000,120.48,93.43
(주)이지메디컴,041623,233.95,844.79,1849343,2345130,11535240,11535240,0.35,0
(주)이지스포츠,057303,,3.31,,1234976,,1630000,,42.23
(주)이지시스템,012043,-0.63,-0.96,-223428,-305901,4072949,4072949,43.39,41.11
(주)이지씨엔디,047208,-0.09,,-788094,,300000,,146.25,
(주)이지알앤에스,053506,0.53,-0.68,146458,-231669,200000,200000,108.43,117.5
(주)이지원인터넷서비스,057144,,21.49,,263340,,500000,,43.4
(주)이지테크,056553,,999999999,,1055285,,600000,,0
(주)이진엔지니어링,048766,2.13,2.06,880632,1434653,1750000,2000000,31.66,74.25
(주)이천국제물류,056700,,-0.68,,-346815,,1000000,,90.6
(주)이츠웰,029534,-4.39,-3.04,-2887637,-3888799,6799557,6799557,98.76,141.96
(주)이케이,054863,,-1.32,,-535617,,1100000,,117.3
(주)이케이비에스,029499,999999999,999999999,3681339,3405428,20783200,24083200,0,0
(주)이코넥스개발,041137,-35.86,,-9393075,,350000,,38.87,
(주)이크루즈,044305,0.64,-1.84,667932,-1536177,11227270,11227270,88.84,119.88
(주)이클립스폴리머,017081,-5.12,-0.29,-405210,-49834,250000,250000,13.12,7.69
(주)이텍솔루션,051657,,12.6,,1800310,,350000,,26
(주)이투스,052780,,999999999,,-570528,,10000000,,0
(주)이팜,051082,0.07,0.35,30884,254763,1300000,1300000,98.82,81.72
(주)이퓨쳐,056812,,35.36,,2364886,,1367500,,13.53
(주)이프,056794,,999999999,,1965475,,4750000,,2.69
(주)이프로,052415,22.33,16.44,3522033,2018540,450000,450000,23.04,10.49
(주)이플레이온,048259,999999999,999999999,-2536767,-3289715,20000000,20000000,0,0
(주)이피에이,039675,4.65,0.83,1955246,435710,500000,500000,35.79,33.2
(주)이학상사,046722,2.13,-0.14,424737,-26878,150000,150000,54.01,50.15
(주)이화중공업,053146,1.34,0.87,534317,609785,1000000,1000000,74.58,71.7
(주)이화테크,017096,-59.88,,-554339,,67500,,0,
(주)익스피다이터스코리아,017100,999999999,999999999,4423422,6479140,1000000,1000000,0,0
(주)익현,053712,-0.74,2.91,-340727,2435338,100000,100000,77.01,77.08
(주)인고트,048912,-2.52,,-1219742,,890000,,211.93,
(주)인광기업,016243,-1.58,-2.34,-829493,-1059357,1500000,1500000,48.02,36.71
(주)인광옵텍,049716,1.48,1.52,849135,1167270,1000000,1500000,67.47,53.97
(주)인덕산업,030012,16.66,-6.04,6844513,-339869,300000,300000,0,0
(주)인동에프엔,040751,1.39,3.33,861231,1990365,1300000,1300000,27.21,27.96
(주)인디링스,056267,,-22.81,,-1937085,,1103991,,35.67
(주)인디펜던스,041638,,9.86,,605197,,1800000,,0.18
(주)인마크아이엔엠,052848,-1.14,-0.4,-2384511,-2128143,50000,50000,110.79,98.09
(주)인베스터유나이티드,017106,-5.36,-15.77,-341152,-269365,6999000,6999000,0,0
(주)인브릭스,056781,,7.4,,614602,,291500,,15.27
(주)인산,043919,1.23,0.27,443104,112674,700000,900000,54.16,51.8
(주)인산가,029498,,0.78,,213276,,1700000,,44.73
(주)인성기업,049945,-0.33,,-201540,,700000,,70.08,
(주)인성메디칼,044272,1.81,1.61,638700,724016,1185000,1185000,42.68,51.38
(주)인성월드,052361,2.7,3.85,1289795,3666865,300000,300000,41.69,59.34
(주)인성전자,029848,2969.21,-6922.05,1624158,-2879571,2200000,2200000,0,0
(주)인성티앤조이,048875,999999999,999999999,-227950,-186471,300000,300000,99.3,99.55
(주)인성하이텍,018416,-5.79,-11.71,-576587,-852757,6000000,6000000,1.3,0.72
(주)인스밸리,012370,39.12,-31.08,978201,-2023300,3870000,3870000,7.61,53.28
(주)인스빌,039379,15.57,3108.93,21522637,25014460,320000,320000,0,0
(주)인스파월드,044731,1.06,0.91,1250454,1213983,1720000,1720000,60.26,76.68
(주)인승개발,042364,-1.23,-1.26,-6754658,-5535292,100000,100000,19.77,0.14
(주)인아오리엔탈모터,025922,25.07,-10.6,864159,-318183,750000,750000,3.21,0
(주)인아코포,017114,,-2.92,,-299552,,1000000,,15.07
(주)인아텍,042936,-9.71,5.07,-3623972,2874190,2400000,2400000,65.54,49.59
(주)인앤씨,045075,-668.18,,-714281,,300000,,1.98,
(주)인앤아웃,026266,1.85,,481832,,800000,,61.86,
(주)인엑스하우징,051878,2.82,2.11,774530,1118286,300000,300000,59.12,68.44
(주)인우기술,043212,6.61,8.49,1497551,1654179,2700000,2700000,19.13,24.22
(주)인젠트,041449,,11.11,,1258381,,3250000,,11.56
(주)인지소프트,051291,32.07,25.42,1162685,1001714,1383571,1383571,12.59,9.38
(주)인천유나이티드,040385,2.63,100.03,1053837,6461035,16789050,6572250,0,8.73
(주)인컴씨엔디,046074,4.48,5.81,905966,558380,1000000,1000000,0,37.43
(주)인코씨엔씨,049666,-0.44,,-4300901,,50000,,125.19,
(주)인택종합건설,030004,,,,,,,,
(주)인터랙티비,045340,2,-8.5,147208,-1035348,1123430,1123430,11.04,16.49
(주)인터렉스메가라인,052683,-127.59,-6.28,-138183,-485430,8000000,8000000,47.19,80.41
(주)인터로조,048986,3.82,11.82,1247854,3740946,963560,1103560,39.42,27.11
(주)인터맥스,050473,-0.03,-0.03,-175245,-134153,200000,200000,484.99,363.99
(주)인터불고건설,048546,3.76,3.28,3612577,2736376,1910000,3450000,29.4,38.83
(주)인터아이디,060074,,363.8,,1305676,,300000,,0
(주)인터알리아,038719,-1.54,-24.43,-223925,-3604977,9350000,9350000,9.26,0
(주)인터어번,051897,999999999,-46.95,1987633,-507980,200000,200000,84.64,25.78
(주)인터에셋홀딩스,051150,-0.76,-0.16,-206433,-268608,30350000,30350000,37.38,53.46
(주)인터웍스코리아,054179,-0.13,-0.43,-215862,-438600,500000,500000,104.58,130.52
(주)인터컨스텍,040705,999999999,164.08,8203144,10354549,4173750,4173750,0,0
(주)인터케어,053221,-9.15,8.05,-627497,880163,300000,300000,17.13,19.78
(주)인터콤어소시에이션,043247,9.27,12.5,758931,445753,1200000,1200000,4.45,2.6
(주)인터파크,045517,999999999,3204.83,4405875,3400327,3000000,7500000,0,0
(주)인터파크ENT,045392,119.06,,1892161,,5000000,,0,
(주)인터파크큐브릿지,028359,2.02,1.73,1124657,1077229,500035,500035,51.59,34.01
(주)인터파크타워,046910,-0.04,-0.02,-140444,-110232,300000,300000,123.08,123.58
(주)인터파크투어,048231,999999999,-213.09,-4039828,-3944579,2500000,3300000,0,0
(주)인터폴리오커뮤니케이션,043485,,,,,,,,
(주)인터하우스,011725,2183.84,999999999,1102838,537045,2500000,2500000,0,0
(주)인테로,057231,,-1.33,,-2967682,,300000,,106.92
(주)인테크전자,011456,,,,,,,,
(주)인텍,046805,0.13,-3.84,43575,-1929544,500000,500000,26.9,59.92
(주)인텍플러스,041122,6.06,6.38,1208781,1300288,3931500,3957500,26.08,31.17
(주)인텔로그디앤씨,046354,0.09,-4.38,478012,-12451012,500000,500000,79.59,2.97
(주)인텔리안테크놀로지스,051805,25.51,4.93,2228099,1245961,2000000,2142857,17.56,23.12
(주)인템,053575,1.87,0.26,790469,265324,100000,100000,56.02,65.94
(주)인투텍,057662,,0.03,,4856,,640000,,50.81
(주)인트로메딕,052392,-25.36,-15.62,-2971951,-1703725,1527100,2614684,19.42,6.79
(주)인트론바이오테크놀로지,011716,1.78,1.13,252539,322814,3980000,3980000,30.73,44.62
(주)인포바인,041090,195.88,1835.95,2124140,4303465,1260000,1260000,1.87,0
(주)인포이큐,048444,-1,0.83,-314554,417415,1980025,1980025,48.54,52.98
(주)인포트,049309,-0.05,-0.37,-656972,-7102749,5000000,5000000,106.31,115.48
(주)인포허브,030417,-1.53,,-919180,,2500000,,91,
(주)인풍,018422,-0.37,-0.51,-305812,-440843,660000,685000,39.71,38.76
(주)인피노테크놀로지,057458,,-24.56,,-9847,,50000,,34.47
(주)인피니트헬스케어,030727,4.2,3.24,4027800,3010065,9987984,10235234,31.33,21.66
(주)인피니티,050367,874.19,999999999,3865687,15979440,200000,200000,0.02,0
(주)인하기연,040653,1.39,-11.28,1596488,-7699306,1571430,1571430,57.85,88.73
(주)인핸스먼트컨설팅코리아,047096,999999999,999999999,13365417,-12244335,134500,134500,20.42,90.61
(주)인호,052612,-1.46,-6.97,-311254,-1190138,300000,300000,51.13,73.65
(주)일강,047395,1.08,0.68,1200212,1072980,3000000,4000000,78.96,68.27
(주)일건,047185,-0.04,,-577444,,300000,,108.82,
(주)일건씨앤디,046779,0.28,0.35,491765,771659,100000,100000,108.55,107.5
(주)일경종합건설,050388,3.2,,425255,,800000,,64.61,
(주)일광메탈,050310,1.82,1.69,780757,686910,500000,500000,89.29,87.72
(주)일광캔테크,042983,33.44,29.28,1016353,1473396,500000,500000,2.67,14.32
(주)일광폴리머,051845,2.44,2.58,635466,1069843,350000,650000,54.2,76.01
(주)일동,041198,999999999,999999999,-126581,-111947,2800000,2800000,0,0
(주)일동온천리조트,046559,-2.46,-0.96,-863321,-1403829,50000,50000,118.66,179.11
(주)일동유황온천,017151,999999999,999999999,0,0,200000,200000,97.05,96.58
(주)일등건설,029634,-12.94,0.59,-52258656,283006,5000000,5000000,58.67,95.67
(주)일래스틱네트웍스,051124,1.76,1.95,288023,436903,2310000,2310000,33.01,23.78
(주)일룸,053188,999999999,999999999,4039623,2756568,100000,218160,0,0
(주)일미,053943,1.27,59.73,224378,154760,1900000,3900000,71.91,78.67
(주)일번가,030314,9.13,,2512789,,500000,,173.85,
(주)일삼사메리트컴,056502,,999999999,,-2803072,,5000000,,63.89
(주)일성건설,017162,32.37,-4.32,3047424,-430676,1750000,1750000,9.18,3.68
(주)일성하이스코,010561,2.18,6.81,10306020,40291891,4683075,6111500,60.15,43.73
(주)일신,050670,1.49,-2.34,997050,-1586423,520000,520000,62.7,103.27
(주)일신기공,047118,2.15,-0.96,1137145,-493959,500000,500000,42.05,52.19
(주)일신레져,018433,999999999,999999999,1936883,1544997,746000,746000,75.79,74.57
(주)일신바이오베이스,028501,,,,,,,,
(주)일신밸브,048930,2.81,8.57,814318,2911769,450000,900000,37.63,25.04
(주)일신산업,030053,999999999,,-148492,,100000,,0,
(주)일신이앤씨,043408,999999999,21.61,183663,1904306,1330000,1650000,0,0
(주)일신정밀,053580,7.57,7.25,1597265,1455312,300000,300000,44.52,30.45
(주)일신진흥,029721,0.18,1,48452,441834,7972000,7972000,19.55,15.57
(주)일신텍스타일,046784,1.33,0.89,464154,340950,2000000,2000000,17.86,42.2
(주)일심,017181,-7753.4,999999999,-891641,2907007,100000,100000,0,0
(주)일심디앤씨,048517,-2.47,,-2620473,,50000,,33.6,
(주)일양로지스,043533,5.72,5.36,653826,664110,900000,900000,1.41,26.78
(주)일양물류,043643,832.01,999999999,692236,755714,7000000,7000000,0,0
(주)일양익스프레스,018437,6.9,8.14,1867819,1988441,900000,900000,11.82,10.87
(주)일양종합물류,048926,-0.68,0.14,-395792,117194,25000000,25000000,37.96,35.12
(주)일양토건,017183,2.81,2.23,875675,810742,1510000,1510000,19.98,19.84
(주)일연인베스트먼트,045391,0.63,-3.22,299681,-940850,100000,100000,104.48,119.17
(주)일우상사,048839,1.21,1.07,79827,608012,550000,550000,49.73,48.3
(주)일우정밀,041695,5.26,9.83,628303,539798,2110000,2110000,10.18,1.66
(주)일우텍,049390,999999999,999999999,858588,974100,1000000,1000000,0,0
(주)일월세미컴,052326,25.66,11.42,917455,1058728,3298340,3298340,16.17,7.45
(주)일이삼,049953,1.16,0.6,545702,296142,1300000,1300000,71.31,78.33
(주)일익건설,043012,-0.25,-0.31,-972614,-1433386,300000,300000,156.32,183.73
(주)일진,014145,5.97,4.81,10665029,9606818,2000000,2000000,26.2,21.02
