구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
(주)지트콤,011133,999999999,-93.78,-474971,-857608,748000,998000,0,7.5
(주)지학사,010596,1.67,1.39,2566878,2691219,1100000,1100000,31.3,40.55
(주)지현통상,018520,2.65,1.24,2552598,1080763,2200000,2200000,60.29,54.5
(주)진미식품,019015,,-0.72,,-195072,,220000,,65.45
(주)진방철강,010609,,1.81,,9774469,,25203910,,84
(주)진성레미콘,019020,,3.41,,1515044,,2000000,,10.87
(주)진영산업,019032,1.1,1.34,587104,754109,800000,800000,28.24,32.09
(주)진오,013203,1.12,0.53,2027390,1259559,1510000,1510000,62.56,62.14
(주)진우,019038,13.42,8.84,659621,373088,500000,500000,5.94,14.52
(주)진우엔지니어링,010866,6.38,1.93,2585502,748607,1272000,1272000,26.74,33.9
(주)진천국제객화항운,018912,6.11,-12.54,334891,-410805,1080000,1080000,9.04,3.47
(주)진합,019054,1.59,1.93,2062371,2134227,5004200,5004200,38.28,43.6
(주)진흥스틸,019063,0.12,0.87,46941,303223,1500000,1500000,44.23,37.21
(주)진흥종합건설,019065,999999999,999999999,-296117,-346400,300000,300000,90.79,69.63
(주)창강주택,019074,165.19,130.79,1350439,1895171,41579000,41579000,0,0
(주)창보종합건설,019081,2.76,3.59,3758102,4465559,1700000,4281190,34.22,16.29
(주)창신특수강,019083,,4.2,,1371652,,400000,,18.49
(주)창전사,019093,6.22,17.04,1364121,2544852,360000,360000,12.34,8.56
(주)창해에탄올,023789,0.57,0.44,553923,369041,648000,648000,52.39,49.19
(주)챈스아이,021342,,3.57,,516545,,1000000,,46.89
(주)천일고속관광,019111,,0.83,,510319,,2100000,,14.4
(주)천일섬유,012070,1.22,-0.09,1280058,-94919,500000,1500000,57.19,67.11
(주)천조,026746,13.86,15.36,3105268,1860897,100000,100000,2.33,5.21
(주)청광,016125,,1.79,,874135,,2200000,,22.85
(주)청구,028841,,0.03,,2039626,,63607625,,0.74
(주)청람개발,019132,,3.01,,297437,,520000,,10.5
(주)청석,018552,6.44,14.73,722633,1490435,100000,400000,10.1,13.43
(주)청우네이처,019146,18.26,,146485,,800000,,0,
(주)청우제강,019148,,2,,1192916,,2200000,,59.14
(주)청전,026789,-1.6,,-12215652,,5000000,,71.31,
(주)청조,019153,,1.26,,312851,,1800000,,32.58
(주)청주방송,018558,0.66,2.9,641346,3195173,28000000,28000000,24.82,28.26
(주)청탑,026796,470.94,9302.46,3707234,4334948,350000,350000,0,0
(주)청해진해운,021347,,0.87,,567777,,3400000,,63.31
(주)체리부로,019167,1.6,4.68,1469978,5817573,3500000,3500000,59.57,55.13
(주)초록뱀미디어,011855,1.85,2.53,987319,1446216,1500000,1500000,19.75,37.22
(주)충무화학,026815,1.29,-1.16,904266,-724221,1575000,1575000,37.08,44.09
(주)칩트론,019189,-1.83,-2.36,-2455011,-3069062,3750000,4200000,52.18,59.19
(주)카보라인코리아,026829,1.48,0.79,636022,341064,428000,428000,37.92,47.46
(주)칼라랜드,019197,,1.52,,701787,,2000000,,44.05
(주)캐스텍코리아,011895,205.65,28.52,2835465,3780131,3000000,3000000,7.04,19.56
(주)캐슬렉스제주,019511,0.22,0.22,867968,1003271,1000000,1000000,130.33,129.97
(주)캔두원,019204,23.87,317.24,1167667,1598278,180000,180000,3.78,0
(주)컴네트,011967,2.89,-4.01,72241,-289690,521010,521010,15.89,45.29
(주)컴텍,019209,9.8,3.58,199228,15537,100000,55000,0.77,0.01
(주)컴퓨트로닉스,010966,,-5.41,,-1404455,,2017850,,42.83
(주)케너텍,019215,,5.13,,1598004,,1750000,,34.25
(주)케미스,019216,,-6.4,,-2214759,,3877941,,60.07
(주)케어원,011376,,999999999,,-634318,,2079880,,0
(주)케이.엠.씨,019219,1.4,-3.55,557570,-1213616,2500000,2500000,47.12,66.56
(주)케이디넷,010498,9.7,-0.95,1283683,-456689,17000000,17000000,0,35.47
(주)케이디미디어,013845,,5.95,,3691275,,3750000,,27.67
(주)케이디세코,012205,4.72,-13.11,244605,-1661696,2077490,2077490,22.37,37.95
(주)케이디파워,011372,4.17,2.43,1450459,1397132,3949900,3949900,29.7,43.33
(주)케이비데이타시스템,017504,999999999,999999999,1728785,2703561,8000000,8000000,0,0
(주)케이비아이국인산업,026256,2.87,4.09,1439468,2035581,2000000,2000000,51.77,38.12
(주)케이비아이텍,023237,1.89,2.14,2713691,2843995,3000000,3000000,93.34,87.14
(주)케이비앤텍스,012928,5.44,7.15,1952824,1740397,400000,400000,46.35,34.37
(주)케이스,019227,8.09,20.6,942803,788345,500000,500000,11.18,5.93
(주)케이씨산업,019482,,1.98,,758921,,500000,,26.61
(주)케이씨엔에이,018590,2.07,1.8,1343795,1399746,3500000,4000000,22.02,26.19
(주)케이아이에스티,019232,1.42,1.33,2459983,1843096,1300000,1300000,51.84,53.1
(주)케이알라인,012156,,-0.5,,-20460,,1310000,,32.1
(주)케이알산업,017475,514.9,595.14,15441308,13377535,6147850,11109970,1.13,1.1
(주)케이알엠,015241,2.38,3.07,147987,145977,2000000,2000000,7.69,7.52
(주)케이알푸드앤컴퍼니,013460,1.54,1.01,1233502,1070982,4000000,4000000,57.09,57.92
(주)케이앤케이,028329,,-421.74,,-1217976,,1000000,,1.65
(주)케이에스넷,018581,7.29,55.95,2058904,5749451,9406579,9736879,3.15,2.37
(주)케이에스에스해운,020583,1.17,2.42,11407875,19054653,4990870,4990870,30.59,34.49
(주)케이에스피,012323,,6.11,,1443088,,2650000,,43.39
(주)케이엔엔,010687,192.69,234355.2,13773133,9608563,48000000,48000000,0,0
(주)케이엔월덱스,012908,117.62,0.81,1133634,235390,4000000,4000000,0,28.39
(주)케이엘넷,010864,10.55,,1131667,,8452365,,5.36,
(주)케이엠,016786,4.06,2.46,1466821,831373,1200000,1200000,25.98,28.34
(주)케이엠에이치신라레저,014955,1.12,0.97,1235958,1795671,50000,50000,66.33,63.17
(주)케이엠티,019238,,-2.39,,-2515988,,2749990,,45.84
(주)케이원글로벌홀딩스,019239,,-2.23,,-576606,,2432690,,760.93
(주)케이투파워,019244,,2.43,,1762204,,1348120,,44.03
(주)케이티서브마린,010748,25579.12,,9489853,,14700000,,0,
(주)케이티스,012708,,2561.58,,2095372,,15000000,,8.41
(주)케이티스카이라이프,021483,,-42.92,,-23305974,,300000000,,14.42
(주)케이티씨에스,012709,,11484.29,,1826002,,20000000,,0
(주)케이티씨텔레콤,019245,4.55,3.56,1348010,2272656,1100000,2084375,46.38,60.15
(주)케이티앤씨,019246,,7.26,,1659072,,1000000,,58.56
(주)케이티인터넷,019248,,999999999,,-1987083,,3500000,,0
(주)케이티파크,011951,999999999,-59.96,-236144,-85386,525200,546650,0,20.91
(주)케이프,018585,2.53,7.34,1325567,2035212,2000000,2000000,29.22,16.5
(주)케이피비오상사,021380,,999999999,,3538862,,50000,,0
(주)케이피엠테크,010676,8.57,10.9,1810204,1968367,2800000,2800000,18.38,19.97
(주)케이피텍,027779,6.07,15.57,2261892,3146045,1500000,1500000,49.85,27.99
(주)케이피티유,021381,,7.63,,1425727,,1769665,,34.67
(주)켐트로닉스,019251,,6.13,,1246567,,842250,,39.98
(주)코디에스,011992,2.95,1.88,149313,299662,362920,500000,39,62.11
(주)코래드,019256,1.25,-2.46,3743137,-10142327,3000000,3000000,38.96,44.79
(주)코렉스스포츠,019259,0.62,,1407644,,3900000,,227.9,
(주)코리막스,019261,55.73,31.01,2140616,2732858,4670000,4670000,5.37,7.63
(주)코리아,019262,,1.78,,1433068,,50000,,36.77
(주)코리아2000,011397,0.07,1.39,9552,302273,5000001,5000001,22.61,32.14
(주)코리아그라비아,019263,,13.85,,940439,,400000,,5.18
(주)코리아신예,019269,6.02,-2.18,1621931,-508768,2911200,2911200,12.73,23.28
(주)코마스,019281,,-5.53,,-1122282,,2484890,,17.77
(주)코메카,019282,,-3.38,,-435388,,2350000,,58.23
(주)코모텍,019284,0.88,0.96,630923,602522,3406250,3406250,43.71,39.69
(주)코스모브리지,012380,,-1.77,,-699178,,2090000,,34.36
(주)코스모이엔지,011117,14.5,-11.04,124505,-1420982,1495403,1495403,40.15,113.9
(주)코스모정밀,019297,0.23,,151893,,1100000,,53.74,
(주)코스모코스,024792,8.37,4.32,4904472,4132724,1258145,2352715,37.46,46.2
(주)코스콤,019963,,2.3,,14442731,,26752785,,18.15
(주)코스틸,019300,1.7,2.49,6946736,14913881,9111000,19000000,74.9,47.44
(주)코아비스,026834,2.93,1.55,3179865,1796669,6400000,6400000,31.36,32.78
(주)코아스웰,018728,4.18,2.61,2246730,1665387,3500000,3500000,12.8,41.59
(주)코엔텍,018601,1.31,1.28,6181723,5390678,20000000,20000000,48.97,55.51
(주)코오롱스포렉스,010580,-0.41,-0.19,-2354070,-566802,56100000,56100000,22.19,28.56
(주)코오롱티엔에스,019311,1.25,1.05,8041484,6157341,15000000,15000000,63.95,59.15
(주)코우,012617,8.32,4.74,1143575,865345,1645000,1645000,15.94,33.91
(주)코원시스템,012650,,2440.62,,2006188,,1521739,,0
(주)코파,012317,3144.03,-12.9,326979,-1617114,2098500,2098500,0,29.37
(주)코포산업,021399,,1.62,,742153,,800000,,52.68
(주)코프마,011366,5.32,8.24,55567,79074,624150,624150,10.24,10.19
(주)콘도매직스,019319,,-0.52,,-1624451,,50000,,101.6
(주)콜스코,019932,,-9.88,,-1224726,,2600000,,15.98
(주)큐릭스네트웍스,019328,,4.12,,637896,,12600000,,23.25
(주)큐알지오,012335,999999999,999999999,-278648,-65309,1000000,1000000,0,0
(주)큐컴,012107,30.48,,914970,,1171250,,8.8,
(주)크라운스낵,026889,1,1.16,3311938,2861042,600000,600000,50.48,48.79
(주)크레아아이엔,013771,0.8,1.29,974062,1811313,3800000,3800000,46.93,50.73
(주)크레온디자인,019336,,2.9,,2008556,,3000000,,42.03
(주)크로스텍,011831,1.46,-7.15,2011292,-9569903,8911500,1782300,37.37,78.37
(주)크린랩,019339,10.28,4.64,2838536,1755543,1500000,1500000,21.92,18.57
(주)큰길,019342,0.82,1.63,2200512,2479460,1377000,1377000,30.32,22.48
(주)클레스트라하우저만,019347,,43.03,,882442,,3400000,,1.92
(주)클릭티브이,019348,,-9613.7,,-4374233,,10150000,,0
(주)키움이앤에스,013494,-34.98,-58.5,-4528575,-2519129,20250000,4000000,4.94,0
(주)키이스트,012609,71.32,12.47,971136,773117,2191810,2191810,3.74,24.84
(주)타미테크,011450,8.37,,138121,,675000,,5.8,
(주)타이타늄22,015257,18.93,42.29,1935557,1697205,1300000,1300000,3.49,0.51
(주)탑금속,018612,-1.47,1.53,-2303606,2104858,7000000,7000000,65.73,75.37
(주)탑엔지니어링,012687,,10.41,,1972523,,3080000,,16.36
(주)탑항공,019356,,36.05,,1538390,,120000,,1.02
(주)태명실업,018617,-0.2,1.03,-278537,1173316,4000000,5000000,48.56,36.36
(주)태봉,018618,1.33,1.75,776023,970886,2433920,2433920,54.54,50.77
(주)태봉,019373,-3.68,0.94,-1679095,469061,301200,301200,54.37,56.04
(주)태성개발,019378,1.67,1.69,399719,723275,400000,400000,40.08,46.09
(주)태성콘크리트,019384,12.49,15.06,1970368,1677227,600000,600000,34.06,22.54
(주)태승이십일,019387,1.8,3.97,3376554,5561613,100000,100000,19.27,17.15
(주)태신인팩,026943,13.07,19.81,4632964,3571268,900000,900000,15.68,0
(주)태양광정보통신,012229,6.38,-2.2,271803,-241814,850000,850000,26.12,44.4
(주)태양화성,019401,999999999,999999999,1313908,625856,5900000,5900000,44.11,21.31
(주)태연,021419,,123.5,,16673,,600000,,30.34
(주)태영모터스,019402,3.67,1.33,577681,195370,500000,500000,23.6,10.89
(주)태영이엠씨,019407,0.76,0.89,551822,831290,1800000,1800000,35.73,53.76
(주)태영인더스트리,026969,4.41,2.53,7618459,7562904,24102340,24102340,26.15,26.55
(주)태왕,019411,5.6,1.27,16359479,8445524,4596000,4596000,44.52,46.51
(주)태우,026461,1.68,1.23,730447,619950,2700000,2700000,51.46,56.79
(주)태울코리아,021420,,-9078.68,,-680901,,4000000,,0
(주)태원S&G,019896,25.7,56.57,4944723,5278576,300000,300000,0.98,0.52
(주)태원기업,019422,3.79,1.79,690472,452527,1700000,1700000,21.33,26.62
(주)태원에프앤엠,019425,2.03,-10.38,235369,-1584908,75000,75000,11.81,9.79
(주)태주,010459,2.08,2.35,4131444,3049438,12304650,7500000,48.12,40.32
(주)태진인포텍,011861,58.84,36.47,599617,1503826,1200000,1366000,5.71,5.52
(주)태흥실업,019462,-1.89,1.08,-751920,455390,2000000,2000000,43.08,49.81
(주)태흥환경,010702,-8.98,,-4267535,,1000000,,92,
(주)테라닉스,010870,55.62,8.04,5835352,1012646,1200000,1200000,8.39,12.02
(주)테라젠,018246,22.9,-42.07,1723513,-568574,2000000,4000000,6.02,0
(주)테크노프라자,028739,,-1.45,,-432037,,50000,,64.64
(주)테크비즈니스랜드,019466,-22.29,87.14,-526646,941899,600000,600000,0,0
(주)텍스텍,012006,1.04,1,3574621,3145377,10000000,2000000,50.49,58.25
(주)텔레트론,018631,115.48,7.07,8113260,506547,1000000,1000000,3.89,1.34
(주)텔리안,027033,-1.04,-0.96,-1607963,-2280600,1996600,1996600,42.81,50.16
(주)텔리언,019472,,999999999,,445795,,1785720,,0
(주)텔웨이브,019475,,2.02,,290525,,4350000,,37.79
(주)토다건설,010773,6.46,0.61,611404,63069,1000000,1000000,27.65,57.46
(주)토비스,028751,,5.6,,2182044,,2206000,,28.42
(주)토비스레저산업,017421,999999999,-1599.23,-257899,-147129,200000,200000,23.34,0.47
(주)토비스알앤씨,017422,-5.05,-3.29,-2845436,-2123227,1500000,1500000,16.62,13.76
(주)토탈소프트뱅크,021307,72.24,136.52,2876218,3481758,1500000,1500000,4.92,2.57
(주)토펙스,027036,,4.5,,727334,,1704920,,28.7
(주)토필드,029715,999999999,15.38,-547259,1014582,2407000,2407000,0,13
(주)투니버스,019488,4.02,3.75,1732171,1366089,30485470,30485470,21.73,14.85
(주)투마트,011912,-0.69,-0.68,-878140,-851410,3450000,4450000,80.37,77.85
(주)투에버,021290,999999999,5.95,2747382,231219,1000000,2000000,1.13,2.23
(주)튜브엔터테인먼트,019490,,-6.01,,-2004547,,1450000,,4.77
(주)트라넷,011547,3.47,1.83,129971,484139,1340000,1340000,25.24,50.93
(주)트라이튼테크,012038,3.54,0.76,614950,167135,2850000,2850000,1.89,43.89
(주)트렉스타,018065,1.69,-2.2,590480,-1432333,3500000,3500000,13.95,19.6
(주)트론웰,011736,22.5,,567310,,1174500,,6.42,
(주)트루맥스,019324,,26.81,,1649551,,3350000,,0
(주)티디코,013923,,22.25,,3012984,,500000,,9.4
(주)티맥스소프트,019501,,-41.99,,-1362574,,1500000,,4.94
(주)티브로드ABC방송,018738,999999999,999999999,2152644,1373298,30737000,30737000,0,0
(주)티브로드기남방송,019984,0.21,2.08,175746,1834890,13000000,13000000,55.16,47.28
(주)티브로드새롬방송,015273,,2.11,,1221003,,12009840,,50.38
(주)티비넷커뮤니케이션즈,012207,,-0.58,,-327324,,2601700,,29.52
(주)티시스,019360,6.1,2.06,6074207,8582181,33180000,33180000,15.16,12.28
(주)티씨씨강판,016719,9.2,53.51,776935,727217,2000000,2160000,4,0
(주)티씨씨한진,020272,,5.46,,510536,,1000000,,6.64
(주)티아이엔시,010766,-12.89,-28.07,-168528,-920275,4000000,4300000,0,9.11
(주)티아이오토모티브,025520,-1.05,0.57,-201768,199291,4652000,10652000,20.12,19.46
(주)티알엔,019740,,999999999,,-4298719,,1000000,,0
(주)티앤지,018773,-1,3.94,-326572,943098,835000,835000,50.13,36.97
(주)티에스개발,010608,1,2.64,821048,1235836,2514390,2514390,6.97,1.67
(주)티에스우인,010680,0.73,0.47,707035,378116,1000000,1000000,40.77,36.06
(주)티에스이,019504,,5723.31,,3302352,,1500000,,0
(주)티에스케이지,019506,,-28.74,,-3697572,,2363335,,25.1
(주)티엔티익스프레스,027042,999999999,999999999,1762213,-561830,500000,500000,0,0
(주)티와이밸브,014213,3.01,11.54,1485786,2179163,5400000,5400000,9.04,0.22
(주)티지나래,022247,-12.3,,-2048674,,3300000,,14.49,
(주)티지코프,011728,-96.2,,-1511182,,3947150,,12.84,
(주)파고다아카데미,019509,9.21,25.75,4950666,8010483,800000,800000,21.04,13.19
(주)파낙시아,028409,,-3.4,,-55498,,800000,,23.59
(주)파라다이스,010066,5.7,5.37,50573137,49172180,37480000,37480000,28.1,13.17
(주)파라다이스인천,019513,,2.01,,3778459,,3300000,,79.46
(주)파라다이스호텔부산,018644,0.68,1.21,4876451,10333986,27000000,27000000,54.84,52.59
(주)파리크라상,010043,,7.21,,12402962,,7609000,,17.91
(주)파마킹,019370,1.54,2.86,1229374,1875720,2000000,2300000,42.06,44.8
(주)파우켐,018646,1.62,0.86,2355539,1070477,4020000,4020000,61.96,61.18
(주)파크시스템스,010850,-6.12,4.34,-154778,74701,2172500,2172500,6.12,4.39
(주)팍스넷,012442,,-1.03,,-367368,,2916464,,47.83
(주)패션익스체인지,019526,,1.53,,1639428,,650000,,42.66
(주)패션플러스,011328,999999999,-109.44,-843145,-867675,2064000,3150425,0.02,31.33
(주)팩트로닉스,019548,,44.45,,3337078,,500000,,8.62
(주)팬월드네트웍스,019528,,-0.83,,-88955,,900000,,26.35
(주)팬택씨앤아이,010765,,,,,,,,
(주)팬텀엔터테인먼트그룹,018655,4.63,9.29,3537920,4312943,5300000,5300000,34.01,18.06
(주)퍼시스홀딩스,018429,999999999,999999999,5552079,4457938,1500000,1500000,0,0
(주)퍼시픽스타,019531,,-0.38,,-295024,,2650000,,90.43
(주)평산,019541,4.79,,3710105,,300000,,42.14,
(주)평생기업,019544,0.98,-0.1,193327,-18706,1300000,1300000,56.51,25.26
(주)평화목화예식장,019555,1.43,1.17,545580,449713,950000,950000,74.6,74.74
(주)평화발레오,026471,224.39,515.22,14793733,19902372,19426980,19426980,0.62,0.61
(주)평화자동차,019560,,-16.76,,-247774,,9496130,,66.31
(주)포나후렉스,019590,2.01,2.43,1336659,1202551,1489335,1489335,27.36,21.31
(주)포네이처,011169,3.7,27.1,268332,834731,2576135,2776135,4.85,1.11
(주)포넷,012328,36.13,43.21,5261277,4449933,2700000,3818653,10.29,3.02
(주)포넷,012749,999999999,999999999,-434773,356818,1280000,2100000,0,0
(주)포메탈,026505,1.99,0.76,737583,321195,2019360,2019360,32.92,43.52
(주)포스코건설,010000,1.99,7.45,24004896,65165853,343480680,343480680,10.86,7.91
(주)포스코경영연구원,019571,999999999,999999999,211790,-166518,20000000,20000000,0,0
(주)포스코에이앤씨건축사사무소,019570,181.28,999999999,524275,276841,1300000,1300000,0,0
(주)포스코엔지니어링,010227,53.05,225.86,3206757,4017525,12900000,12900000,0.47,0
(주)포스코오앤엠,017754,4.78,8.22,1160501,1137653,1000000,2500000,9.44,0
(주)포스코플랜텍,010585,2.35,6.57,4928013,15634263,8379000,8379000,31.11,38.32
(주)포스코플랜텍,019577,28.07,1761.4,5174818,5613583,17000000,17000000,0,0
(주)포스코피앤에스,018663,3.93,2.27,11265364,8595135,90000000,90000000,1.96,0
(주)폴리네트정보기술,011451,18.28,,497712,,1395000,,17.03,
(주)폴리플러스,016572,,2.51,,1513044,,3500000,,44.83
(주)풀무원아이지,010610,0.76,0.81,1450661,1563192,5200000,5200000,56.02,45.71
(주)풀무원푸드앤컬처,025889,5.42,2.89,2726033,3342739,2000000,6000000,37.36,40.44
(주)풍산에프앤에스,027844,4.28,-0.21,273611,-19625,720000,720000,12.04,12.78
(주)풍성,019601,999999999,999999999,532114,1037559,1000000,1000000,0,0
(주)풍연,028180,0.38,,3733678,,4000030,,257.1,
(주)풍전비철,019607,,4.57,,1541868,,1100000,,53.48
(주)풍진아이디,019610,0.57,1.46,521468,1601084,5000000,5000000,33.16,26.29
(주)퓨마정보기술,011146,0.04,-1.04,946,-101027,1095000,1095000,33.49,80.93
(주)퓨쳐인포넷,010745,,32.04,,5674121,,3786865,,4.95
(주)프라코,018676,1.14,1.03,2834612,2683731,2000000,2000000,39.56,35.1
(주)프러스원엔터테인먼트,011576,18.72,54.59,1359804,1897169,1700000,1700000,5.65,0
(주)프레제니우스메디칼케어코리아,026475,3.5,4.99,4574900,4926273,10921560,23500000,0.55,19.83
(주)프레제니우스메디칼코리아,015570,,-0.67,,-5662,,4400000,,39.63
(주)프로파워,019628,,9.1,,3129127,,2250000,,32.95
(주)프론티어건설,019629,-0.17,-0.01,-120251,-62144,300000,300000,98.71,15937.63
(주)프뢰벨미디어,026476,30.24,33.94,13678988,14144827,400000,400000,19.02,21.34
(주)프리모젠,029038,,999999999,,-142228,,100000,,40.34
(주)프리젠,012603,,16.33,,2249421,,3599000,,14.43
(주)프리챌,012324,-69.03,-3.26,-12615994,-6620450,4508228,4508228,2.8,58.73
(주)프리컴시스템,011058,,-0.62,,-16788,,600000,,12.69
(주)플럼디자인,011386,3.32,-9.79,38297,-222301,1138870,1139958,7.08,15.71
(주)플렉스컴,014406,,21.65,,3810926,,1400000,,33.79
(주)피.디.에이,010783,3.9,2.11,1799992,1134557,1000000,1000000,21.36,29.9
(주)피더블유제네틱스,017562,20.15,16.51,1738605,1634585,1550000,1550000,3.68,7.9
(주)피보텍,027388,5.47,-2.38,4882860,-974594,19300080,19300080,0,1.35
(주)피씨디렉트,011830,1614.54,,4149360,,1500000,,0,
(주)피앤에이치,017879,27688.33,16656.21,20184792,21486508,510000,510000,2.79,0
(주)피어리스,028812,,-0.79,,-4895825,,7500000,,14.75
(주)피엔케이텍,011582,,6.25,,1674150,,1879500,,33.26
(주)피유시스,019643,,26.65,,1458788,,114945,,0
(주)피치밸리,019645,,2.63,,2138343,,2000000,,67.27
(주)필리아텔레콤,011466,34.86,-18.26,604728,-763811,1404000,1404000,9.92,31.68
(주)필켐,011116,5.24,,562678,,2185490,,34.86,
(주)하나,012453,,-8.32,,-1759062,,4528150,,77.29
(주)하나앤컴파니,013446,999999999,-65.43,-101016,-64121,5955000,5955000,0,0.03
(주)하나윈,013447,2.14,3.34,1046770,1680908,1000000,1000000,32.84,30.82
(주)하나종합건설,028553,,-0.78,,-596727,,300000,,75.36
(주)하나콤,019654,-1.21,1.34,-1031933,1321524,1200000,1700000,92.25,92.6
(주)하나텔,011622,999999999,-34.84,58354,-103462,1210485,1210485,1.42,28.86
(주)하니관광호텔,019658,999999999,1.47,414108,293305,1000000,1000000,0,0
(주)하이게인안테나,019669,1.25,0.71,1498719,963531,3000000,3415000,49.36,46.1
(주)하이네트정보통신,011190,999999999,-12.96,-253809,-788477,996000,996000,0,73.57
(주)하이디스,017720,8.55,3.31,2661805,1145525,500000,2000000,53.85,51.63
(주)하이마트,010488,-94.18,80.18,-16118285,24080139,13647130,13647130,2.76,0.06
(주)하이비스,014184,1.26,1.9,607538,1015755,1300000,1300000,35.56,39.82
(주)하이월드,011788,-22.46,,-24592,,327500,,9.18,
(주)하이큐텍,012714,,-4.02,,-344958,,1349160,,20.5
(주)하이테크전자,019676,0.66,0.87,541149,1361739,5000000,5000000,44.52,45.31
(주)하츠,018686,8.88,12.27,4092970,5502482,2939000,3299000,35.37,15.29
(주)학원프리테크,027189,-4.28,,-4693148,,600000,,39.44,
(주)한가람약품,027190,999999999,,242069,,520000,,0,
(주)한강식품,019689,,3.45,,1199374,,3000000,,43.1
(주)한건,018690,9.57,47.45,976912,2214328,820000,820000,17.87,28.11
(주)한경닷컴,019693,-504.1,-1951.82,-1251670,-2566645,10000000,10000000,0,0
(주)한경실업,019694,0.71,1.33,653014,1104376,2050000,2050000,77.56,69.57
(주)한광,019695,5.63,0.01,2255489,2131,4500000,4500000,2.31,26.36
(주)한국가스기술공사,019698,7.46,11.69,4095865,4591530,8950000,10600000,32.31,17.91
(주)한국건설관리공사,018694,999999999,999999999,3837797,3011299,9412800,9412800,0,0
(주)한국경제신문,010477,0.84,-1.16,8858890,-11830881,54000000,62316425,40.75,45.37
(주)한국경제티브이,011150,-1008.81,2.51,-6640994,126618,8920000,9070000,8.85,7.69
(주)한국레이컴,010568,0.97,-7.03,200285,-2750692,3500000,3500000,26.46,20.65
(주)한국리레이,018703,-1.28,,-553220,,500000,,44.4,
(주)한국마이콤,019764,,1.58,,792050,,1300000,,44.24
(주)한국메탈,019768,11.18,,1421025,,900000,,25.87,
(주)한국모빌솔루션,019769,,5.17,,397042,,2935000,,11.95
(주)한국방송제작단,019780,,-95.09,,-758235,,8977474,,0
(주)한국사미트인터내쇼날,019793,,999999999,,18876069,,1050000,,0
(주)한국사브와브코,019794,,9.67,,972250,,1000000,,0
(주)한국신소재,019837,-0.54,0.08,-204813,27995,1000000,1000000,29.98,26.91
