구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2007,2008,2007,2008,2007,2008,2007,2008
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(주)지지인터내셔널,043314,5.58,7.29,719473,868847,3600000,3600000,11.51,13.05
(주)지케이문화사,044641,1.3,-1.56,583364,-872862,650000,650000,50.08,64.46
(주)지코,041569,0.85,0.88,356112,380286,1000000,1000000,58.99,63.6
(주)지트론,030673,3.24,,1833714,,1400000,,52.23,
(주)지티엔이,052460,0.75,0.36,34375,43466,1320000,1320000,23.46,28.84
(주)지티티,029934,,1.79,,644142,,1600000,,43.3
(주)지팡그,052601,2.76,2.94,1160346,2362574,2000000,2000000,60.86,36.04
(주)지프러스,048334,-0.78,-0.71,-618841,-1022876,1000000,1000000,124.78,137.64
(주)지플랜,044833,1.5,0.65,380168,193392,300000,300000,66.36,65.15
(주)지피다이아몬드,048464,2.61,3.14,1065838,2519545,2000000,2352935,41.85,36.11
(주)지피앤피,049011,60.58,999999999,698952,920816,400000,400000,0,0
(주)지피엠,046032,2.74,8.78,1139628,4479156,1000000,1000000,54.15,69.06
(주)지학사,010596,1.06,1.21,1929714,2500343,1100000,1100000,47.25,32.87
(주)지현통상,018520,1.11,1.27,831512,1287451,3200000,3200000,52.48,56.11
(주)진데크,052321,-43.69,1.06,-143885,292866,550000,550000,45.46,42.72
(주)진두아이에스,052071,3.84,1.6,580410,678006,2230835,2894835,15.19,52.64
(주)진로,037281,4.04,6.03,138096581,144827841,215000000,215000000,34.35,28.89
(주)진로해운,052211,-1.4,2.23,-269087,844313,500000,500000,83.47,84.52
(주)진매트릭스,043099,93.76,61.37,454739,536533,1455000,1480500,5.16,4.1
(주)진명기업,044313,0.92,13.31,91081,1135931,100000,100000,24.06,19.42
(주)진명엔지니어링건축사사무소,057182,,999999999,,494895,,1809710,,0
(주)진명프리텍,041927,12.1,24.48,4505349,8854541,900000,900000,33.14,29.01
(주)진석건설,052501,-11.77,-0.83,-1360862,-842848,300000,300000,115.79,106.84
(주)진선기업,047760,0.7,3.29,779636,3112938,10500000,10500000,57.36,38.48
(주)진선주택개발,044709,1.93,59.61,1708480,1787017,300000,300000,1.17,3.62
(주)진성디앤씨,044083,0.75,-3.72,3442117,-6518312,300000,300000,56.49,176.64
(주)진성이앤씨,048854,6.64,-1.2,8126799,-791721,110000,110000,15.76,78.95
(주)진안산업,041844,999999999,999999999,205957,219526,2100000,2100000,0,0
(주)진양,040142,3.03,0.73,1087414,156502,325000,325000,35.41,31.71
(주)진양,044207,0.69,0.41,602554,385390,700000,700000,59.17,62.58
(주)진양오일씰,047298,5.77,6.4,967918,1879059,420000,420000,36.77,59.51
(주)진양티앤피,053297,6.07,3.92,1117397,1293030,1200000,1200000,71.37,70.82
(주)진에어,054332,,-10.26,,-10344447,,20000000,,62.36
(주)진영R&S,049232,3.07,2.55,939433,924077,1613260,1613260,50.81,64.4
(주)진영기업,029950,2.62,1.44,855679,511690,50000,50000,49.21,21.38
(주)진영베아링,029537,1.38,1.27,1291156,1432658,100000,100000,50.48,49.75
(주)진영솔루텍,047220,0.64,,329524,,1300000,,73.32,
(주)진영식품,039509,1.16,2.02,678885,1264944,1800000,1800000,61.8,59.23
(주)진영이앤씨,056908,,-0.88,,-46358,,50000,,97.22
(주)진영지앤티,046950,-13.17,-2.65,-1172695,-656428,600000,600000,37.54,55.49
(주)진영하우징,053403,999999999,-0.33,-4731418,-1006741,50000,300000,121.67,125.94
(주)진오,013203,999999999,999999999,-94608,-121649,1536700,1536700,0,0
(주)진우건설,026653,4.54,-1.05,54437,-7467,1300000,1300000,26.35,27.09
(주)진우엔지니어링,010866,2.11,1.27,1005745,945956,1272000,1272000,18.01,24.04
(주)진우플랜트건설,039983,-0.64,-0.46,-582781,-747513,1972700,5424680,0,40.79
(주)진웅이노텍,051717,5.36,4.01,844281,816750,200000,200000,53.12,48.37
(주)진원,049285,3.73,2.32,544982,979547,500000,500000,74.18,85.15
(주)진주개발,049936,-0.36,,-39404,,50000,,103.05,
(주)진천국제객화항운,018912,2.83,-28.53,138093,-1412731,1080000,1080000,4.94,2.34
(주)진한,047019,0.2,8.03,36256,949673,200000,200000,12.55,11.42
(주)진합,019054,1.42,1.13,3836082,3388698,5004200,4617540,49.62,41.52
(주)진흥공업,042266,-4.49,0.97,-1933753,594106,647860,647860,56.63,42.69
(주)진흥목재,045842,2.09,0.91,835876,397102,600000,600000,57.28,43.22
(주)진흥스틸,019063,1.12,4.25,571661,2407484,1500000,1500000,40.45,64.77
(주)진흥종합건설,019065,-0.6,4.27,-697440,5784637,300000,300000,131.24,72.99
(주)진흥중공업,057140,,126.91,,1607548,,300000,,36.08
(주)집과사람,040041,-5.69,-2.66,-3697351,-1575638,1010000,1010000,47.01,56.52
(주)차바이오텍,044831,-1.7,3.52,-722539,3828797,3177534,3177534,7.15,29.52
(주)참교육개발,051332,999999999,1.06,0,489601,3125530,3125530,67.83,78.82
(주)참마루건설,056874,,195.83,,1203741,,1000000,,1.5
(주)참맛,039771,1.46,1.68,298524,413903,2500000,2500000,35.52,48.02
(주)참원에셋,045435,-0.48,0.25,-4808469,2838093,300000,300000,99.04,87.87
(주)참존글로벌워크,049710,5.79,6.27,1787440,2500311,1000000,1000000,36.8,40.96
(주)참존모터스,043505,-1.3,-1.05,-784592,-1112454,2000000,2000000,94.5,115.27
(주)참존서비스,052000,-0.33,-0.41,-146959,-206904,500000,500000,114.84,133.73
(주)참존오토모티브,049977,-1.33,-0.9,-710151,-641257,100000,100000,109.7,120.31
(주)참주보산업,050194,999999999,999999999,-950085,619005,500000,500000,11.52,3.7
(주)참토원,043303,14.25,-10.02,1823847,-1476514,1000000,1000000,21.39,32.34
(주)창강주택,019074,999999999,999999999,3154491,3532275,35226735,35226735,0,0
(주)창남아이엔티,039785,22.48,20.96,1293940,1797472,400000,1400000,4.19,3.53
(주)창록산업,041949,-0.15,-0.43,-1004769,-2069269,1000000,1000000,122.27,327.03
(주)창명,044454,-1.16,0,-326512,820,900000,900000,71.72,56.58
(주)창보종합건설,019081,171.03,1.03,30683220,5590981,3281190,3281190,3.15,48.49
(주)창비,039419,6.53,8.09,725061,942337,700000,700000,11.77,11.1
(주)창선개발,046971,-11.29,,-6753149,,300000,,0,
(주)창신코퍼레이션,043049,-3.69,,-586562,,100000,,24.67,
(주)창신특수강,019083,4.02,3.9,1934004,2175171,1000000,1200000,41.96,41.86
(주)창연인더스트리,050552,0.57,2.92,3892675,23842158,300000,500000,112.82,85.82
(주)창영전자,048344,3.34,-1.46,401712,-408384,750000,750000,25.03,46.29
(주)창원기전,053625,411.05,87.59,4273732,2768023,1400000,1400000,0,8.52
(주)창원로지스,030039,999999999,-487.51,-275089,-227179,3000000,3000000,1.67,1.6
(주)창원옵텍,043423,3.93,3.67,2449589,2781476,1900000,1900000,51.94,62.06
(주)창의와탐구,048915,12.48,7.29,1945441,2019130,1430165,1430165,28.64,35.98
(주)창전사,019093,-1.1,0.24,-319768,78217,360000,360000,27.48,38.3
(주)창조프린팩,051370,1.36,1.14,396652,726151,950000,1450000,51.3,53.12
(주)창해에탄올,023789,30.82,15.94,10432345,10035206,1415125,1415125,15.97,13.28
(주)창해엔지니어링,048591,67.25,,641669,,1000000,,0,
(주)창현데코,052580,2.79,4.5,762513,1149570,750000,750000,41.37,39.16
(주)창환단자공업,038880,39.85,14.56,3576033,2458838,2254400,2254400,14.96,16.02
(주)채과원,053531,-1.75,-0.36,-284095,-182126,900000,900000,104.8,75.21
(주)챈스아이,021342,1,0.99,343636,356813,1000000,1000000,46.11,50.59
(주)챔프비전,051034,999999999,999999999,2089021,2127963,5000000,5000000,0,0
(주)천강개발,042244,0.74,-2.41,1107934,-2577791,1300000,1300000,59.2,42.74
(주)천광스틸,039959,1.42,2.29,1441476,3173187,853000,853000,50.6,48.73
(주)천광하우징,050463,-14.1,,-435721,,300000,,114.75,
(주)천부개발,043783,19.59,,1498420,,300000,,8.24,
(주)천성세이브마트,053106,1.62,8.16,82446,536682,50000,50000,26.63,29.95
(주)천안물류,030354,3.37,3.94,2255631,2905475,1350000,1350000,47.6,48.41
(주)천안스포렉스,045692,-27.96,-28.3,-995765,-1106779,600000,600000,107.13,113.03
(주)천은엔지니어링,053252,999999999,999999999,820240,6372144,50000,50000,0,0
(주)천일고속관광,019111,999999999,999999999,410810,444689,2100000,2100000,0,0
(주)천일국제보세창고,047845,2.64,3.34,1806100,2430826,600000,600000,81.14,71.63
(주)천일수산,050666,-1.23,-0.12,-173350,-19698,2000000,2000000,40.54,44.08
(주)천일씨아이엘,056853,,0.89,,207118,,910000,,65.17
(주)천재상사,051243,999999999,999999999,2301968,1889230,50000,50000,0,0
(주)천조,026746,0.6,0.51,340239,425268,100000,100000,42.2,44.61
(주)천천공영,047127,-0.54,,-78143,,50000,,68.32,
(주)천호플랜트,051110,12.87,6.73,3788350,5349165,400000,400000,0.36,0.16
(주)청광,016125,3.02,1.99,670376,795967,2200000,2200000,19.15,43.65
(주)청광주택건설,042344,0,-0.09,-55457,-2011750,300000,300000,85.73,87.21
(주)청구,028841,-3.42,-1.36,-4771293,-11227112,118313755,45713755,39.73,33.6
(주)청담러닝,043146,18.56,,10757843,,2649899,,11.34,
(주)청담씨앤디,056717,,-0.23,,-1324020,,500000,,102.95
(주)청도아이디,039873,-0.24,,-435541,,300000,,54.14,
(주)청룡수산,043854,0.74,0.9,351071,369873,1300000,1300000,63.53,48.88
(주)청림인터내셔날,047158,2.65,1.99,893056,1107726,500000,500000,65.76,67.6
(주)청맥개발디엔씨,049165,-0.24,-0.03,-2113605,-455216,310000,310000,116.79,122.7
(주)청명이앤시,041910,2.89,-2.35,4371376,-1856654,500000,500000,43.38,29.65
(주)청산유통,039876,1.21,1.13,793532,793149,1500000,1500000,62.01,64.17
(주)청석,018552,999999999,999999999,14808,332787,400000,400000,0,0
(주)청석물산,043345,0.08,0.33,49497,251756,300000,300000,116.48,120.15
(주)청석환경개발,049531,3.78,,1534184,,455000,,36.14,
(주)청솔,053891,-0.4,-0.56,-303612,-1238620,650000,650000,104.45,240.16
(주)청암,047330,4.37,6.63,1190881,1817968,1205000,1205000,40.21,59.53
(주)청암개발,050480,-21.42,-0.13,-288910,-614587,300000,300000,99.73,107.89
(주)청암엔터테인먼트,049990,-21.51,,-503864,,900000,,17.91,
(주)청암영상테마파크,050011,-2.35,-0.3,-2275332,-325432,50000,50000,88.88,93.78
(주)청암토탈디앤씨,043136,,-0.01,,-10982,,300000,,88.13
(주)청야해운,053941,-21.45,0.42,-227382,234417,500000,500000,90.66,37.31
(주)청옥,042541,1.86,1.49,357622,293034,1200000,1200000,95.24,94.26
(주)청온디엔씨,050049,-0.14,-0.11,-303438,-261712,300000,300000,123.97,131.54
(주)청우,049174,2.27,1.3,1286991,521719,900000,900000,43.29,54
(주)청우네이처,019146,2.07,0.34,69007,64923,1000000,1000000,27.7,19.29
(주)청우에스아이,053816,0.23,1.71,96357,636701,475200,475200,62.7,62.85
(주)청우에프씨,050461,-0.43,,-488802,,300000,,96.33,
(주)청우제강,029527,4.29,11.23,1317088,4680313,500000,500000,28.53,34.98
(주)청우지에프,049376,1.94,2.62,2026412,2411218,500000,500000,4.94,67.93
(주)청우철강,041374,0.17,1.59,36319,395933,100000,100000,49.89,52.98
(주)청우테크,052220,1.49,0.19,359345,462728,2000000,2000000,89.18,85.5
(주)청우홀딩스,049420,-1.78,-0.09,-2663263,-172519,50000,50000,144.13,170.34
(주)청운테크,053797,4.4,0.36,315402,19629,250000,250000,28.2,17.38
(주)청원엘앤시,039186,0.68,,162342,,5000000,,53.43,
(주)청원플러스,053592,-1.48,-0.82,-896791,-713284,300000,300000,116.22,133.55
(주)청전,026789,-0.94,-0.26,-2907792,-960856,5000000,5000000,101.37,107.82
(주)청주방송,018558,-2.36,5.6,-339915,775796,28000000,28000000,6.52,6.36
(주)청탑,026796,999999999,999999999,-639384,-564002,305380,305380,0,0.02
(주)청풍,040203,-17.89,,-5926547,,3793120,,120.1,
(주)청풍개발,048426,999999999,999999999,-40673,-288020,2800000,2800000,90.74,91.22
(주)청학씨앤디,048045,-34.96,-3.36,-474429,-1651652,1710000,3420000,0,21.71
(주)청해진해운,021347,1.96,3.9,631257,1543195,3400000,4150000,49.08,45.5
(주)청호레저,048906,-21.57,999999999,-841866,-2688922,100000,100000,87.09,78.3
