회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
주식회사서울문고,018011,2018/12,도매 및 소매업
주식회사서울문화사,018012,2018/12,정보통신업
주식회사서울미디어코믹스,089753,2018/12,정보통신업
주식회사서울벽지,018013,2018/12,제조업
주식회사서울북클럽,029228,2018/12,부동산업
주식회사서울스마트,090047,2018/12,운수 및 창고업
주식회사서울신문사,010335,2018/12,정보통신업
주식회사서울엔지니어링,038763,2018/12,제조업
주식회사서울엠에스,043686,2018,
주식회사서울정밀,018014,2018/12,제조업
주식회사서울종합개발,076750,2018/12,부동산업
주식회사서울창동창업문화도시재생위탁관리부동산투자회사,089279,2018/12,부동산업
주식회사서울텐트,087811,2018/12,제조업
주식회사서울프린스호텔,046562,2018/12,숙박 및 음식점업
주식회사서울화학연구소,053702,2018/12,제조업
주식회사서원,081033,2018/12,제조업
주식회사서원개발,089821,2018/12,부동산업
주식회사서원개발,090200,2018/12,부동산업
주식회사서원건설,051466,2018,
주식회사서원건설,087967,2018/12,건설업
주식회사서원관리,078226,2018/12,부동산업
주식회사서원비에스티,088600,2018/12,도매 및 소매업
주식회사서원유리,041440,2018/12,제조업
주식회사서원유통,072995,2018/12,도매 및 소매업
주식회사서원홀딩스,018021,2018/12,도매 및 소매업
주식회사서유,081170,2018/12,건설업
주식회사서인디앤씨,078529,2018/12,부동산업
주식회사서인천프라자,064042,2018/12,부동산업
주식회사서일,018022,2018/12,제조업
주식회사서일,068960,2018,
주식회사서일개발,073328,2018/12,부동산업
주식회사서일특수목재,089771,2018/12,제조업
주식회사서일파트너스,082291,2018/12,부동산업
주식회사서정,089395,2018/12,부동산업
주식회사서정월드,091555,2018/12,부동산업
주식회사서정인터내셔날,074450,2018,
주식회사서주씨엔씨,074475,2018/12,부동산업
주식회사서중물류,059054,2018/12,운수 및 창고업
주식회사서지씨앤디,080800,2018,
주식회사서진,066781,2018,
주식회사서진개발,089006,2018/12,부동산업
주식회사서진산전,046084,2018/12,도매 및 소매업
주식회사서진시스템,059087,2018,
주식회사서진아이앤디,066022,2018,
주식회사서진에스티,051921,2018/12,제조업
주식회사서진캠,015402,2018/12,제조업
주식회사서창,087235,2018/12,제조업
주식회사서초동피에프브이,073556,2018,
주식회사서초입시연구사,041296,2018/12,교육 서비스업
주식회사서클컨텐츠컴퍼니,073244,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사서평,066700,2018,
주식회사서한안타민,051476,2018/12,제조업
주식회사서한카이트제십일호기업형임대위탁관리부동산투자회사,087514,2018/12,부동산업
주식회사서해,087128,2018/12,건설업
주식회사서해엔지니어링,076703,2018/12,제조업
주식회사서해종합건설,018029,2018/12,건설업
주식회사서해포장물류,074633,2018,
주식회사서현케미칼,074270,2018/12,도매 및 소매업
주식회사서호홀딩스,086989,2018/12,부동산업
주식회사서화,048237,2018/12,제조업
주식회사서흥,056259,2018/12,도매 및 소매업
주식회사서흥개발,082516,2018/12,부동산업
주식회사서희디벨로퍼,058285,2018,
주식회사서희라이프,049051,2018,
주식회사석림,092278,2018/12,건설업
주식회사석문산업개발,086004,2018/12,제조업
주식회사석문에너지,072813,2018/12,"전기, 가스, 증기 및 공기조절 공급업"
주식회사석사,089769,2018/12,부동산업
주식회사석산기업,076994,2018/12,부동산업
주식회사석성,048012,2018,
주식회사석성개발,077584,2018/12,부동산업
주식회사석성산업개발,081819,2018/12,부동산업
주식회사석영텍스타일,072705,2018,
주식회사석정도시개발,090277,2018/12,제조업
주식회사석정산업,064827,2018,
주식회사석정홀딩스,088180,2018/12,부동산업
주식회사석탑건설,069396,2018,
주식회사석파문화원,063805,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사석희개발,082584,2018,
주식회사선경,090443,2018/12,건설업
주식회사선경개발,076463,2018/12,부동산업
주식회사선경이엔씨,070312,2018/12,건설업
주식회사선경화성,059171,2018/12,제조업
주식회사선공,063793,2018,
주식회사선광산업개발,081059,2018/12,부동산업
주식회사선구,030826,2018/12,제조업
주식회사선구산업,078139,2018,
주식회사선그린,041095,2018,
주식회사선남개발,086450,2018/12,부동산업
주식회사선데이토즈,065462,2018,
주식회사선도,062279,2018/12,제조업
주식회사선동,076181,2018,
주식회사선문,067781,2018/12,건설업
주식회사선밸리플래너스,082004,2018/12,부동산업
주식회사선산터미널,010961,2018/12,숙박 및 음식점업
주식회사선샤인,072565,2018,
주식회사선아,078212,2018/12,부동산업
주식회사선앤문,078136,2018/12,부동산업
주식회사선양,018034,2018,
주식회사선양대야개발,067772,2018/12,건설업
주식회사선영,015434,2018/12,제조업
주식회사선용어패럴,018037,2018/12,제조업
주식회사선우,078793,2018/12,제조업
주식회사선우건축,080531,2018,
주식회사선우종합건설,051218,2018,
주식회사선우팜,072249,2018/12,도매 및 소매업
주식회사선익시스템,020914,2018,
주식회사선인,041959,2018/12,제조업
주식회사선인,090170,2018/12,제조업
주식회사선일엠텍,053422,2018/12,제조업
주식회사선진,046772,2018,
주식회사선진계룡관리,063526,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
주식회사선진모터스,073007,2018/12,도매 및 소매업
주식회사선진에이티앤씨,053260,2018/12,도매 및 소매업
주식회사선진운수,018041,2018/12,운수 및 창고업
주식회사선진인더스트리,066717,2018,
주식회사선진종합,048461,2018/12,제조업
주식회사선진하우스,092056,2018/12,부동산업
주식회사선텍이엔지,086373,2018/12,도매 및 소매업
주식회사선포커스,073023,2018,
주식회사선하산업,072515,2018,
주식회사선향,084204,2018/12,도매 및 소매업
주식회사선호디벨로프먼트,092277,2018/12,부동산업
주식회사선호주택,086786,2018/12,건설업
주식회사선화,018043,2018/12,운수 및 창고업
주식회사선화기업,073998,2018,
주식회사설빙,074483,2018/12,도매 및 소매업
주식회사설앤컴퍼니,058069,2018,
주식회사성경,081381,2018/12,부동산업
주식회사성경식품,077740,2018/12,제조업
주식회사성공건설코퍼레이션,085081,2018/12,부동산업
주식회사성공한집,089780,2018/12,부동산업
주식회사성광,057807,2018/12,"전기, 가스, 증기 및 공기조절 공급업"
주식회사성광기업,067735,2018/12,제조업
주식회사성광산업,066613,2018,
주식회사성광테크,087370,2018/12,제조업
주식회사성균재아이앤디,078151,2018/12,부동산업
주식회사성근물산,065850,2018/12,도매 및 소매업
주식회사성남고등에스1피에프브이,080273,2018/12,부동산업
주식회사성남대장일피에프브이,091381,2018/12,건설업
주식회사성남대장피에프브이,091600,2018/12,부동산업
주식회사성남시민프로축구단,056849,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사성남시신흥역개발사업단,083157,2018,
주식회사성담유통,080581,2018/12,도매 및 소매업
주식회사성대유통,043224,2018/12,도매 및 소매업
주식회사성도기계,091837,2018/12,제조업
주식회사성도농업회사법인,087829,2018/12,"농업, 임업 및 어업"
주식회사성도엘앤디,052297,2018/12,부동산업
주식회사성도지엘,049604,2018/12,도매 및 소매업
주식회사성림,058451,2018/12,부동산업
주식회사성림,015480,2018,
주식회사성림,077159,2018,
주식회사성림개발,087174,2018/12,부동산업
주식회사성림개발,071120,2018,
주식회사성림개발,073075,2018,
주식회사성미,041619,2018/12,제조업
주식회사성미에스테크,048253,2018/12,제조업
주식회사성민전자,082318,2018/12,제조업
주식회사성보,077344,2018/12,제조업
주식회사성보냉장,018048,2018,
주식회사성보산업개발,073535,2018/12,부동산업
주식회사성보유통,069763,2018/12,도매 및 소매업
주식회사성보이엔씨,070275,2018,
주식회사성보텍,090435,2018/12,제조업
주식회사성봉개발,058726,2018/12,부동산업
주식회사성빈,072708,2018/12,부동산업
주식회사성산,073919,2018/12,제조업
주식회사성산,084970,2018/12,운수 및 창고업
주식회사성산시네마,049917,2018,
주식회사성삼,062715,2018,
주식회사성서드림타운,084649,2018/12,부동산업
주식회사성수,046952,2018,
주식회사성수기전,072673,2018/12,제조업
주식회사성신,088761,2018/12,도매 및 소매업
주식회사성신기업,046701,2018,
주식회사성신문화인쇄사,049447,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
주식회사성신산전,078618,2018/12,제조업
주식회사성신신소재,018051,2018/12,제조업
주식회사성신실업,052655,2018,
주식회사성신알에스티,046872,2018/12,제조업
주식회사성신앤큐,085669,2018/12,제조업
주식회사성신이엔씨,043473,2018/12,제조업
주식회사성실타공,070173,2018/12,제조업
주식회사성안,081664,2018/12,부동산업
주식회사성안,044732,2018,
주식회사성안,061967,2018/12,제조업
주식회사성암홀딩스,091927,2018/12,부동산업
주식회사성앤박,090526,2018/12,부동산업
주식회사성연,073500,2018/12,부동산업
주식회사성오강관,078538,2018/12,제조업
주식회사성용하이테크,024566,2018,
주식회사성우,076072,2018,
주식회사성우앤컴퍼니,073382,2018/12,부동산업
주식회사성우엔비테크,047477,2018/12,제조업
주식회사성우이앤씨,088999,2018/12,부동산업
주식회사성우주택,070372,2018,
주식회사성우플라텍,066193,2018/12,제조업
주식회사성운,029283,2018/12,부동산업
주식회사성운약품,026369,2018,
주식회사성원건설,048333,2018,
주식회사성원기업,070878,2018/12,제조업
주식회사성원기업,048944,2018/12,제조업
주식회사성원디앤씨,044450,2018/12,건설업
주식회사성원디앤씨,069178,2018,
주식회사성원산업,061973,2018/12,부동산업
주식회사성원아이북랜드,029084,2018/12,교육 서비스업
주식회사성원아이컴,013870,2018,
주식회사성원통상,039451,2018,
주식회사성원특수강,060955,2018,
주식회사성원펠리체,086689,2018/12,부동산업
주식회사성윤하이텍,082128,2018/12,제조업
주식회사성일,076107,2018/12,부동산업
주식회사성일,058692,2018/12,제조업
주식회사성일개발,091643,2018/12,부동산업
주식회사성일기공,080502,2018/12,제조업
주식회사성일레미콘,078365,2018/12,제조업
주식회사성일약품,018056,2018,
주식회사성일에이치알,070711,2018/12,제조업
주식회사성일엔케어,056976,2018/12,"전문, 과학 및 기술 서비스업"
주식회사성일엠텍,059500,2018/12,제조업
주식회사성일정판,073664,2018,
주식회사성일중기,085153,2018/12,건설업
주식회사성일튜브,085293,2018/12,제조업
주식회사성일홀딩스,010340,2018/12,"전문, 과학 및 기술 서비스업"
주식회사성전사,018058,2018/12,건설업
주식회사성제,058235,2018/12,부동산업
주식회사성제개발,018059,2018,
주식회사성주농업회사,078339,2018,
주식회사성주엠.아이,057884,2018/12,제조업
주식회사성주음향,049551,2018/12,제조업
주식회사성지라미텍,053233,2018/12,도매 및 소매업
주식회사성지케이알,077054,2018/12,도매 및 소매업
주식회사성진,015557,2018,
주식회사성진,015560,2018/12,부동산업
주식회사성진개발,082514,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
주식회사성진기계,082113,2018/12,제조업
주식회사성진디앤씨,076148,2018,
주식회사성진이제닉,066901,2018,
주식회사성진일렉트론,064909,2018,
주식회사성진정밀,052378,2018/12,제조업
주식회사성진주택건설,079477,2018/12,건설업
주식회사성진테크,012481,2018/12,제조업
주식회사성진통상,059337,2018,
주식회사성진티엘에스,082671,2018/12,제조업
주식회사성진포머,041441,2018/12,제조업
주식회사성진풍력,082317,2018,
주식회사성진플랜,090388,2018/12,부동산업
주식회사성창,074515,2018/12,제조업
주식회사성창공업,066693,2018,
주식회사성창기계,061532,2018,
주식회사성창인터패션,030031,2018/12,제조업
주식회사성철,089183,2018/12,부동산업
주식회사성취,057739,2018,
주식회사성파,065127,2018/12,도매 및 소매업
주식회사성평,051689,2018/12,제조업
주식회사성한,063108,2018/12,도매 및 소매업
주식회사성한,066456,2018/12,부동산업
주식회사성현물류,086613,2018/12,운수 및 창고업
주식회사성호금속경주2공장,067094,2018/12,제조업
주식회사성호전자,084795,2018/12,제조업
주식회사성호철관,010941,2018/12,제조업
주식회사성화산철,091605,2018/12,제조업
주식회사성화실업,090101,2018/12,제조업
주식회사성화에스티,070968,2018/12,제조업
주식회사성환,081567,2018/12,부동산업
주식회사성후,086355,2018/12,부동산업
주식회사성훈철강,056923,2018/12,제조업
주식회사성희,063893,2018,
주식회사성희디앤씨,091709,2018/12,부동산업
주식회사성희산업,075992,2018/12,부동산업
주식회사세가종합건설,089702,2018/12,건설업
주식회사세경,070733,2018/12,제조업
주식회사세경복층유리,089294,2018/12,제조업
주식회사세계로,049023,2018,
주식회사세계로디엔씨,051628,2018/12,부동산업
주식회사세계로시스템,081861,2018/12,정보통신업
주식회사세계산업,059825,2018,
주식회사세계일보,018066,2018/12,정보통신업
주식회사세계주류,077455,2018/12,도매 및 소매업
주식회사세계프라임개발,061968,2018/12,부동산업
주식회사세광섬유,018068,2018/12,제조업
주식회사세광아트,018070,2018/12,도매 및 소매업
주식회사세광하이테크,067485,2018/12,제조업
주식회사세기,018071,2018/12,제조업
주식회사세기글로벌,076821,2018/12,부동산업
주식회사세기위더스,090610,2018/12,제조업
주식회사세기정공,048230,2018,
주식회사세나테크코리아,080748,2018/12,제조업
주식회사세니젠,084965,2018/12,도매 및 소매업
주식회사세대에너텍,045028,2018,
주식회사세동산업,046667,2018/12,제조업
주식회사세라,074702,2018/12,제조업
주식회사세라젬헬스앤뷰티,090641,2018/12,도매 및 소매업
주식회사세라핌디벨롭먼트,092670,2018/12,부동산업
주식회사세림,018075,2018/12,제조업
주식회사세림지엠티,068748,2018,
주식회사세마,046885,2018,
주식회사세명,091696,2018/12,부동산업
주식회사세명개발,070625,2018,
주식회사세명기업,026373,2018/12,제조업
주식회사세명도시개발,086311,2018/12,부동산업
주식회사세명하이트,089062,2018/12,제조업
주식회사세미스트,069615,2018,
주식회사세바,053494,2018/12,제조업
주식회사세방씨앤에프,085894,2018/12,제조업
주식회사세방주택,092300,2018/12,부동산업
주식회사세븐마린,088184,2018/12,부동산업
주식회사세븐스트럭쳐,064872,2018,
주식회사세븐업건설,083541,2018,
주식회사세성,086261,2018/12,부동산업
주식회사세성이앤디,077671,2018,
주식회사세스코,039189,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
주식회사세스텍,071018,2018/12,제조업
주식회사세스트,015630,2018/12,제조업
주식회사세신정밀,059145,2018/12,제조업
주식회사세심,091828,2018/12,"전문, 과학 및 기술 서비스업"
주식회사세아기업,090054,2018/12,제조업
주식회사세아씨엠,080180,2018/12,제조업
주식회사세아에프에스,010484,2018/12,제조업
주식회사세아항공방산소재,039817,2018/12,제조업
주식회사세안,026742,2018/12,제조업
주식회사세안파크,087213,2018/12,부동산업
주식회사세양,087952,2018/12,부동산업
주식회사세양,050612,2018/12,제조업
주식회사세양,061204,2018,
주식회사세양물류,039510,2018/12,운수 및 창고업
주식회사세양에스이,070568,2018,
주식회사세연에스씨에스,073899,2018,
주식회사세영,039775,2018/12,제조업
주식회사세영유통,081926,2018/12,도매 및 소매업
주식회사세영테크,043450,2018/12,제조업
주식회사세왕섬유,038733,2018/12,제조업
주식회사세우,026375,2018/12,제조업
주식회사세우이엔지,076727,2018/12,제조업
주식회사세운,073502,2018/12,제조업
주식회사세운이노비젼메디칼,086705,2018/12,도매 및 소매업
주식회사세움,083823,2018/12,건설업
주식회사세움,015468,2018/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
주식회사세움1,080914,2018/12,부동산업
주식회사세움건설,089328,2018/12,부동산업
주식회사세움도시미학,087378,2018/12,부동산업
주식회사세움케이앤비,087986,2018/12,건설업
주식회사세움클래스,082146,2018/12,건설업
주식회사세웅,062425,2018,
주식회사세웅정기,068869,2018/12,제조업
주식회사세원,018081,2018,
주식회사세원,026377,2018/12,운수 및 창고업
주식회사세원공업,059386,2018/12,제조업
주식회사세원글로벌,058421,2018/12,부동산업
주식회사세원기연,018084,2018/12,제조업
주식회사세원메디,081745,2018/12,도매 및 소매업
주식회사세원아이티씨,043831,2018/09,도매 및 소매업
주식회사세원에스엔피,061197,2018/12,제조업
주식회사세원엔테크,052262,2018,
주식회사세원이피시,074400,2018,
주식회사세원투자개발,077520,2018,
주식회사세원투자산업,091119,2018/12,부동산업
주식회사세원하이텍,065780,2018/12,제조업
주식회사세은상역,081257,2018,
주식회사세이디에스,039487,2018/12,도매 및 소매업
주식회사세이레,089060,2018/12,운수 및 창고업
주식회사세이브존,026379,2018/12,도매 및 소매업
주식회사세이프인3,081454,2018/12,운수 및 창고업
주식회사세인트벨코리아,073559,2018/12,도매 및 소매업
주식회사세일기업,083305,2018/12,부동산업
주식회사세일사,010345,2018/12,제조업
주식회사세일엔지니어링,062048,2018/12,건설업
주식회사세일엠텍,043409,2018/12,제조업
주식회사세일정밀,059964,2018/12,제조업
주식회사세일종합기술공사,059472,2018/12,"전문, 과학 및 기술 서비스업"
주식회사세일파트너스,056673,2018,
주식회사세일펫,086796,2018/12,도매 및 소매업
주식회사세일하이텍,012394,2018/12,제조업
주식회사세정,018087,2018/12,제조업
주식회사세정이십일,018088,2018/12,도매 및 소매업
주식회사세종,010083,2018/12,부동산업
주식회사세종,073343,2018/12,부동산업
주식회사세종,085890,2018/12,부동산업
주식회사세종건설,074040,2018,
주식회사세종국토개발,086793,2018/12,부동산업
