구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)P&I지주,014359,7722061,6531808,,,2347885,1848995,,,2801596,2157590,,,4920465,4374218,,,5707152,4479214,,,5287973,4080565,,,57600,0,,,3616278,2635491,,,0,0,,,1658471,1667348,,,0,0,,,2014909,2052594,,,594144,42375,,,6567659,4686872,,,453712,308596,,,2920186,2912972,,,9598554,7860230,,,3030895,3173358,,,110709,260386,,,113477,37685,,,1431902,8877,,,45426,49324,,,2.47,1.56,,,2096869,1051515,,
(주)PSG,040133,,,,8461991,,,,3893899,,,,4157630,,,,4304361,,,,7339101,,,,6815505,,,,376000,,,,4528639,,,,0,,,,156450,,,,256100,,,,1122889,,,,3066454,,,,10490658,,,,263731,,,,2533094,,,,13611685,,,,3121027,,,,587934,,,,151292,,,,19349,,,,214333,,,,8.74,,,,3704208
(주)SC유나이티드,038630,,,,9485867,,,,7563076,,,,7722273,,,,1763594,,,,5628189,,,,2134507,,,,0,,,,0,,,,0,,,,1868240,,,,1500000,,,,3857678,,,,4079219,,,,5546077,,,,159197,,,,1534306,,,,9026367,,,,3480290,,,,1945984,,,,1809092,,,,-215116,,,,339657,,,,20.19,,,,566401
(주)SID엔터프라이즈,039294,,,,47481273,,,,5996515,,,,47431122,,,,50151,,,,49191813,,,,374597,,,,43286365,,,,30000,,,,0,,,,5892420,,,,0,,,,-1710540,,,,0,,,,0,,,,41434606,,,,821382,,,,0,,,,0,,,,-821382,,,,-1991212,,,,5891934,,,,1169632,,,,5.4,,,,16941
(주)TAPEX,010942,21872935,18339978,22046349,22772814,7038087,1699104,5506202,6204402,8163945,3397620,7581614,8031557,13708990,14942359,14464734,14741257,17901759,13443044,16974227,17536227,7049836,7480967,9374543,11627791,8385325,5649900,4062100,2500000,2960000,1060000,3300000,5100000,0,0,0,0,88499,47118,123706,23067,605485,108431,2271764,453600,3971176,4896935,5072121,5236587,3429812,1349593,2796735,5479366,20053982,20930769,21715084,23716068,1125858,1698515,2075413,1827155,592724,525191,541056,500531,21815196,22897206,23282768,25145061,1761214,1966436,1567684,1428993,1168490,1441246,1026628,928462,906517,923620,505186,329466,42090,-41381,76588,-100639,1258494,1214372,1015697,910022,18.07,10.59,10.5,8.7,13007978,13398990,13182096,13136184
(주)TSR,019379,25721159,23813564,24510057,22710569,3733887,5821743,16355542,3718572,5005856,7272697,17972709,5144167,20715303,16540867,6537347,17566402,8825000,9787526,10231173,10885662,6194393,8216042,9781895,5908927,1856134,1195325,333154,4342602,1692200,2164532,7968826,3624067,0,0,0,0,26147,7550,53182,93624,381180,2339298,10449116,102373,16896159,14026038,14278884,11824907,1828231,1695637,1606604,2173401,11738397,12369230,10772246,12055389,1271969,1450954,1617167,1425594,1120161,1077440,1728720,1829544,14322905,14912668,13493695,14280975,2584507,2543438,2721450,2225586,1464346,1465998,992730,396041,1131415,1175751,143600,-2453976,-369729,-18598,45632,40442,328955,325870,292245,442116,18.54,9.43,5.01,5.44,10035785,9858402,4550371,12775037
(주)TS건설,020606,35850206,38052417,37641892,,19284635,20604872,17868858,,30337457,30783526,35787659,,5512749,7268891,1854233,,29421087,34620905,29633080,,26237182,28337677,24152616,,2300000,3100000,800000,,13152000,20550000,17350000,,0,0,0,,288118,90761,23914,,3621697,426603,2326918,,6429118,3431512,8008812,,13834165,15199815,14341592,,21189437,14983667,23513506,,11052822,10178654,17918801,,1917876,1567716,1593527,,22888313,15472398,26333546,,1698876,488732,2820040,,-219000,-1078985,1226513,,-1792712,-2997607,-396848,,284892,-197357,-66846,,2318582,1679312,1389752,,30.01,8.59,6.65,,95022,5371044,56973,
(주)TS센트릭,020607,36765494,34131164,27907296,,8426734,10167992,6550920,,12585959,12665098,9095745,,24179535,21466066,18811551,,31092445,29918744,23699468,,17211059,19955526,16587306,,13252737,9244466,6446129,,8012869,9591765,7590663,,0,0,0,,14412,6076,4230,,3551971,7275204,3003500,,5673048,4212420,4207829,,4504948,2557188,3394539,,42224522,40884764,31791742,,4159225,2497106,2544825,,1114484,1017883,1202687,,47347768,44336321,35152337,,5123246,3451557,3360595,,4008762,2433674,2157908,,846187,-1460628,-4592,,-1003146,-8336,-1845,,2647524,2660789,1393855,,24.9,13.27,8.48,,21853952,19785786,17733707,
(주)TS푸드앤시스템,020608,38117141,39788828,38668173,39019701,8903226,11303108,10834402,10491684,12160130,15048887,14637812,13528241,25957011,24739941,24030360,25491460,37912247,38951159,37697694,37985242,32964898,31703100,30628237,32023760,3610472,2911769,2248577,1341344,15700000,17700000,17200000,15700000,0,0,0,0,348806,739907,404107,454347,1191210,1022500,1201689,260000,204894,837669,970478,1034458,6782390,7815385,8557474,8908558,47604993,54338526,55088736,54841024,3256903,3745779,3803410,3036557,13916909,16724244,16485154,16830872,65541618,74670000,73957219,74844470,17936625,20331475,18868483,20003446,4019716,3607231,2383329,3172574,318319,632775,132809,63980,-79500,391101,-335800,50240,3189416,2404276,1878388,1356560,33.03,12.04,9.38,7.44,9872580,9563599,10215493,11998520
(주)가나아트갤러리,017417,8579688,9866144,9217027,12392634,525520,748354,675648,695387,2036565,2959467,2696888,4988679,6543123,6906677,6520139,7403955,6674531,6863153,5549233,8693924,6110699,5960747,4995874,8289171,0,0,0,0,5233970,4727491,4279025,7552313,0,0,0,0,52767,140366,376871,307584,0,0,0,0,1905157,3002992,3667795,3698710,248988,469260,213846,265555,2736734,4714951,4994592,5503967,1511045,2211113,2021240,4293292,2329740,2441546,2668581,3011382,4255776,7303331,8245237,8718061,1519042,2588380,3250645,3214094,-810698,146835,582064,202712,-955763,-383299,435056,30915,-1112137,87599,236505,-69286,149836,140723,131225,174583,5.73,2.83,2.91,2.95,6370479,6156338,6286363,6162888
