구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(천원),영업이익(손실)(천원),영업이익(손실)(천원),차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,부채(*)(천원),부채(*)(천원),부채(*)(천원),자산(*)(천원),자산(*)(천원),자산(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(천원),유동부채(*)(천원),유동부채(*)(천원),유동자산(*)(천원),유동자산(*)(천원),유동자산(*)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율
(주)TCC스틸,002710,1.65,2.25,1.57,8633644,11368705,6124306,26.5,31.36,28.64,5.58,-1.32,-2.99,8.54,-6,-3.3,8.14,-3.76,5.58,-31.17,23.66,-9.47,-8.28,31.68,-46.13,2.03,2.61,2.24,11.38,15.2,11.33,4.45,4.96,4.32,1.95,2.36,2.18,88.62,84.8,88.67,4.85,4.8,5.15,9.89,8.83,10.63,0.96,0.91,0.98,2.48,2.17,2.32,118.73,101.81,94.01,103.87,105.1,104.71,799.52,855.11,862.85,72.9,75.95,78.26,138.97,131.7,126.83,1.36,1.69,1.56,7.05,9.73,7.03,113913717,104467865,97341016,209856518,207080748,200882791,196206208,188822363,199352686,0.83,-0.65,3.16,73674612,68445377,66435268,76528316,71937671,69564065,0.48,-0.36,1.54,9.76,8.39,6.37
(주)갤럭시아에스엠,011420,1.2,1.19,-0.82,4906193,4775851,-2271527,54.72,48.9,57.96,11.02,-12.25,11.17,15.76,-24.57,29.21,43.3,-19.05,-2.36,0,-33.84,0,0,-2.66,0,2.64,2.16,-7.12,12.54,13.97,4.13,9.77,6.03,-21.39,3.39,2.27,-7.43,87.46,86.03,95.87,11.52,10.44,13.73,3.1,2.41,2.08,1.29,1.05,1.04,5.5,4.64,5.18,189.65,141.75,248.1,114.87,164.74,118.26,165.51,174,134.34,49.17,39.12,30.44,82.79,93.34,99.73,9.24,24.13,11.02,1.37,2.77,0.34,42377411,33300397,44998605,64722967,56792655,63136107,79091628,64024226,62516316,4.97,6.61,-4.69,40239363,21162566,38091000,46222831,34863892,45048254,2.67,3.44,-3.38,12.34,12.69,8.61
(주)경농,002100,1.4,1.74,2.15,11265157,11332660,10944925,32.75,32.55,30.48,-4.43,5.58,0.49,-14.22,27.41,-5.75,-5.85,2.05,-2.73,47.38,32.63,2.07,-11.63,0.6,-3.42,4.02,5.22,5.48,27.2,25.67,29.92,6.02,7.31,7.01,2.86,3.78,3.75,72.8,74.33,70.08,12.13,15.02,10.82,2.77,2.45,2.25,0.71,0.72,0.68,1.58,1.76,1.77,93.49,93.22,81.24,173.03,139.25,159.65,827.64,836.89,860,45.36,55.16,49.35,115.6,99.36,98.67,16.99,13.69,17.02,7.9,23.46,9.73,73869008,77875793,72710906,152881810,161413954,162207860,111430975,113717106,110611997,17.89,12.33,10.13,35566504,56308720,46288790,61541678,78409767,73899516,11.86,8.45,6.66,13.74,12.69,9.97
(주)경동나비엔,009450,9.76,17.9,9179.82,12659848,16856651,19415323,7.24,0,0,6.08,-2,15.17,13.48,-3.37,15.77,27.66,9.33,12.39,-8.1,77.45,56.25,219.25,33.15,15.18,3.74,6.06,8.43,23.11,24.64,23.99,8.95,14.32,19.24,4.65,8.09,11.88,76.89,75.36,76.01,4.49,4.37,4.87,14.26,12.31,12.68,1.24,1.33,1.41,8.46,8.78,9.98,91.06,64.38,60.04,150.67,185.88,199.19,617.32,703.17,831.77,127.49,152.99,166.49,64.82,57.29,55.23,22.22,30.1,32.61,33.76,51.51,75.21,64753644,52149431,57528819,135868440,133155115,153349066,164245670,179571704,201823720,15.09,16.77,25.51,59583855,46668006,50416208,89775132,86746771,100423222,5.95,4.87,7.27,12.63,19.15,0
(주)경동인베스트,012320,8.93,7.52,25.37,19063668,14990165,20384423,5.53,10.79,10.45,18,2.99,7.59,38.58,-4.58,17.02,51.43,30.19,5.81,7.55,15.78,-0.91,27.89,-21.37,35.99,5.58,4.96,4.65,21.27,16.22,18.17,11.69,12.55,11.58,6.11,6.44,6.06,78.73,83.78,81.83,6.99,7.07,6.46,80.03,75.89,71.22,1.09,1.3,1.3,2.65,2.99,2.88,97.33,92.66,89.77,90.99,97.42,109.01,735.35,775.66,847.29,87.57,91.65,104.16,124.59,126.86,119.27,-3.65,-0.9,3.07,0.03,0.02,0.05,113364700,113849657,120474665,229844671,236713605,254685070,232459868,302638845,320227743,20.77,25.2,25.56,93115558,82988189,86790361,84726641,80846990,94605975,10.13,9.48,9.62,9.3,10.42,3.08
(주)경방,000050,0.49,0.32,1.09,4131929,2674343,6794609,15.77,23.32,17.74,155.36,-2.65,-3.19,-11.99,-0.07,1.82,-20.04,3.4,7.26,-74.62,0,0,-77.79,-35.28,154.07,1.36,-0.18,1.84,11.69,9.16,11.58,0.99,-0.08,0.91,0.6,-0.06,0.65,88.31,90.84,88.42,4.92,5.18,5.34,4.69,5.14,5.48,0.44,0.32,0.35,0.63,0.41,0.44,38.64,44.74,35.75,58.02,60.08,74.26,5107.35,4762.63,3767.99,32.29,32.67,41.61,119.67,124.41,115.7,-9.9,-9.33,-5.12,0.69,1.24,1.53,157305470,169855329,140110882,564454011,549523394,531981812,172513153,178380576,191323101,9.02,0.61,6.29,133119773,128465441,105818930,77235843,77181333,78582189,8.22,0.58,4.61,10.35,7.63,5.61
(주)경인양행,012610,2.81,8.27,44.16,3040326,3114399,5352655,13.42,0,0,13.98,-0.58,1.05,2.09,7.38,2.63,14.61,16.48,14.74,247.22,131.75,-20.02,117.59,2.44,71.87,3.54,7.05,4.92,18.49,18.95,19.42,5.59,12.42,9.44,3.8,8.28,6.61,81.51,81.05,80.58,4.8,5.14,6.6,3.96,4.15,4.49,1.07,1.17,1.34,3.46,3.92,4.55,54.18,45.92,39.87,187.35,229.72,269.83,364.49,382.87,400.41,100.63,111.93,141.23,68.4,58.23,54.51,25.94,33.93,38.41,15.72,12.41,5.71,24489827,21802986,19957641,69686663,69279394,70008894,70069338,81614530,93646343,23.74,28.79,43.86,20694054,18122902,15835169,38770580,41632817,42728386,8.3,7.69,9.35,16.16,8.06,0
(주)골드앤에스,035290,-2.91,0.06,-10.07,-3902087,54570,-4685080,33.79,31.62,5.08,203.61,-49.67,-19.65,152.32,-67.91,5.93,60.57,6.21,3.82,0,0,0,0,0,0,-17.22,-43.28,-41,36.4,33.1,12.49,-15.22,-37.7,-51.8,-9.15,-21.6,-35.19,63.6,66.9,87.51,22.28,24.6,34.31,27.94,51.37,61.2,0.53,0.5,0.86,4.42,4.61,16.56,76.2,71.29,25.29,489.87,239.15,388.4,351.12,181.8,104.87,477.08,225.62,365.06,118.07,135.26,90.55,26.26,12.24,20.59,87.88,98.18,223.14,29144405,14115958,5501170,67389644,33917478,27254365,23803121,25281194,26246918,13.02,39.76,123.57,4538807,2983195,1945874,22234321,7134323,7557722,15.95,22.2,25.9,10.42,5.18,7.68
(주)골드퍼시픽,038530,4.75,-83.87,-177.16,261190,-3504152,-4045349,1.15,0.86,0.46,376.98,-3.12,-9,332.38,-29.53,24.3,58.58,40.61,109.72,-16,0,0,-80.12,0,0,10,-11.29,-24.57,31.92,17.88,15.92,3.17,-3.08,-15.85,3,-2.93,-14.21,68.08,82.12,84.08,3.21,3.29,7.78,6.27,4.83,3.39,0.3,0.26,0.58,2.8,2.09,5.68,3.24,7.25,16.76,4699.76,919.97,563.19,901.81,841.01,703.01,4341.4,815.61,314.04,33.47,54.52,38.35,66.15,43.82,55.23,140.62,42.36,138.7,1755813,3658474,7067845,55864306,54118950,49248244,10136715,14253076,29891799,-40.19,-11.4,-63.34,803356,2892133,5872331,37755774,26606773,33072614,-6.96,-2.93,-14.98,6.33,7.55,6.6
(주)광림,014200,2.18,-2.35,5.39,761635,-896673,1560702,13.4,11.35,8.88,1.33,-2.43,-0.11,7.87,2.6,-0.27,40.76,-5.59,17.47,-92.34,0,0,0,0,0,1.2,-3.07,-1.25,15.3,12.51,15.38,1.8,-4.43,-2.21,1.21,-2.93,-1.42,84.7,87.49,84.62,5.57,4.03,4.28,4.31,4.33,4.73,1,0.95,1.13,2.38,2.43,3.07,48.71,54.15,57.13,204.04,201.18,210.62,118.98,111.99,109.75,129.37,124.16,123.67,63.37,61.13,62.47,29.26,30.35,31.64,47.84,27.7,22.36,17629135,18446975,19072742,53821799,52511945,52456511,53698626,50694243,59549482,-1.06,-13.4,-0.3,15136962,15752159,15004916,30885733,31689438,31602706,-0.35,-4.88,-0.1,8.79,5.8,5.45
(주)광명전기,017040,0.74,,13.92,1067506,,1210701,0,,0,2.62,,0,5.74,,0,-23.48,,0,0,,0,-50.93,,0,-2.52,,2.37,10.4,,12,0,,2.96,-2.35,,2.48,89.6,,88,4.5,,12.7,10.43,,6.89,0.93,,1.05,3.22,,4.9,0,,19.11,323.58,,638.42,-133.39,,223.11,250.93,,482.21,0,,45.03,36.21,,52.46,93.03,,180.62,39333223,,6871104,32839178,,42817793,30290010,,44895379,-0.8,,18.27,5318102,,4171646,17208276,,26632744,-1.04,,2.8,12035.12,,0
(주)광무,029480,2.48,0.46,-1.31,3508586,617908,-1762301,23.65,18.73,34.74,41.08,2.13,-14.32,43.14,3.46,-27.44,98.58,-23.33,-23.5,25.22,0,0,294.33,-82.39,0,2.13,-0.5,-9.2,15.32,16.46,14.52,7.32,-1.04,-16.63,3.54,-0.54,-8.07,84.68,83.54,85.48,4.67,3.31,3.57,8.44,5.57,5.85,1.66,1.08,0.88,5.83,4.25,3.65,87.36,101.33,111.78,210.49,183.02,105.84,467.18,444.02,361.65,134.53,137.06,78.66,69.54,73.08,97.53,33.01,28.9,2.98,3.64,5.56,7.83,23212386,25589614,22992508,49783404,50843037,43561625,70628789,54151192,41423307,-24.34,7.58,15.02,14872909,17696501,22203061,31306085,32388788,23500089,-8,3.58,8.34,12.58,12.68,10.93
(주)광주신세계,037710,212.05,47790.34,999999999,14550522,24420863,27595719,0,0,0,13.15,29.21,26,15.95,24.07,18.68,14.24,7.82,4.27,170.93,68.43,22.52,136.5,67.83,13,3.85,6.01,7.06,27.75,27.99,28.75,73.78,64.69,39.6,11.29,15.63,15.04,72.25,72.01,71.25,126.28,93.66,96.71,12.46,13.03,11.96,2.93,2.6,2.13,18.15,10.55,6.69,421.71,256.64,118.1,63.57,68.06,85.5,336.12,635.32,899.92,33.73,41.9,50.75,269.59,191.15,122.77,-27.69,-21.77,-7.41,2.25,35.23,42.59,77959816,89677899,85025372,96446266,124620639,157018753,266573991,287425901,299712705,17.31,24.86,28.15,73316657,84958689,80272646,46608006,57826820,68631065,5.06,7.76,7.99,0,0,0
(주)구영테크,053270,2.21,1.37,3.64,1323826,994392,1494791,45.09,50.25,26.44,31.38,18.59,-6.19,22.85,9.88,-0.15,43.15,2.78,9.64,58.24,-19.2,21.74,50.52,-24.88,50.32,4.6,3.62,4.02,13.73,13.21,15.14,22.49,14.32,13.01,6.62,4.31,4.99,86.27,86.79,84.86,8.78,8.74,8.7,35.22,37.25,31.34,1.44,1.19,1.24,3.21,2.37,2.52,210.67,252.42,103.97,85.98,87.66,155.04,325.13,339.89,379.95,79.08,81.1,136.74,176.9,211.82,117.35,-7.02,-5.61,15.08,11.56,13.58,12.91,13698784,17158834,11455648,20201418,23956647,22474056,25612777,26325315,28864026,18.22,19.09,28.8,10117175,10902734,6155615,8698461,9557668,9543725,9.74,12.44,11.43,7.18,6.86,4.57
(주)국동,005320,14.31,10.6,6.45,11440633,12856805,8307965,13.4,25.24,29.14,-3.05,18.14,7.93,-6.96,22.69,-4.94,-14.17,10.11,11.45,-63.55,2.98,-89.59,-18.93,12.38,-35.38,2.32,2.17,0.2,24.78,23.09,19.37,6.02,5.97,0.61,3.69,3.54,0.33,75.22,76.91,80.63,7.38,6.76,6.05,15.41,15.79,13.14,1.59,1.63,1.61,11.48,12.76,13.5,58.36,78.19,95,190.7,164.38,129.43,464.06,487.24,480.55,161.99,140.1,100.24,50.81,52.52,73.88,32.3,27.62,14.12,10.42,13.88,6.86,26734183,37608593,45067637,72546656,85708806,92507952,117207890,129056122,143834790,10.97,0.01,-2.99,25834694,36773570,44393271,49267589,60447832,57459100,2.5,0,-0.94,7.22,7.73,5.3
(주)국보,001140,0.74,0.96,1.44,883482,1501578,2362569,27.65,32.29,32.86,32.74,-0.6,8.28,-2.91,10.29,16.64,8.75,27.28,16.43,104.83,-92.28,688.22,-31.25,69.96,57.34,1.7,0.1,0.7,11.25,9.97,9.61,5.57,0.34,2.62,1.84,0.12,0.95,88.75,90.03,90.39,4.32,5.38,4.88,262.82,263.08,291.37,1.08,1.21,1.35,4.22,3.83,4.35,169.7,169.55,183.96,64.26,63.38,66.51,403.85,401.64,412.82,63.32,62.5,65.67,187.33,178.2,180.3,-16.98,-19.58,-18.38,13.18,7.49,3.74,35201606,34978300,39006909,55945188,55608799,60211361,52926932,67366863,78433900,8.91,1.7,-0.33,26588229,29734822,33049061,17086625,18844596,21980003,5.93,0.88,-0.16,8.38,9.39,8.72
(주)국보디자인,066620,6.22,999999999,1466.53,953812,3506029,5949710,0,0,0,0,57.42,81.29,0,56.01,93.05,0,36.43,13.06,0,212.29,84.97,0,267.58,69.7,2.04,4.66,7.63,7.74,13.58,15.25,19.45,43.97,36.05,8.24,19.99,21.49,92.26,86.42,84.75,6.34,8.4,6.82,503.91,915.7,2022.55,4.04,4.29,2.82,127.97,190.38,221.59,136.09,110.83,50.72,157.16,166.39,281.48,281.53,347.4,607.56,155.71,165.9,281.25,30.05,28.49,11.91,31.74,34.51,59.38,10.28,19.02,41.57,5363801,7700164,8937057,9305278,14648172,26556168,37629942,51337540,58040225,2.47,29.64,31,5167359,7613834,8689014,8120788,12668948,24457484,0.35,4.45,4.77,0,0,0
(주)국순당,043650,1988.57,111.37,66.04,16707958,30697011,35580189,0.13,7.79,6.5,0,65.06,25.47,0,74.58,29.19,0,50.07,18.62,0,82.41,16.78,0,83.73,15.91,19.13,23.25,22.89,50.78,53.89,59.84,31.96,47.11,39.86,20.89,28.75,23.91,49.22,46.11,40.16,8.54,18.79,33.01,24.32,37.1,49.15,1.09,1.24,1.04,5.83,7.01,6.51,53,71.24,63.24,248.68,270.81,315.23,1046.79,1403.47,1759.19,233.36,261.56,308.39,41.51,39.26,33.7,43.57,48.61,54.18,149.66,223.7,201.1,20803707,41240195,48186462,60058346,99133135,124381552,65570292,98403986,116727157,80.05,70.14,76.19,17599242,28213327,31311663,43765045,76403213,98703214,25.4,29.4,31.45,11.01,7.07,6.82
(주)국영지앤엠,006050,2.31,1.64,-10.14,1781542,759491,-2553301,26.11,22.39,7.65,1.97,-7.25,-4.6,14.19,-4.04,26.28,13.37,-5.51,-3.22,-11.44,0,0,8.36,-57.37,0,3.37,-3.91,-8.7,10.76,11.14,1.71,12.67,-11.62,-19.81,3.9,-4.4,-10.07,89.24,88.86,98.29,4.54,3.27,3.06,25.44,28.4,26.89,1.16,1.12,1.16,2.88,2.79,3.2,210.59,127.04,72.49,88.14,99.23,182.54,706.92,344.98,216.6,80.3,91.2,168.58,168.27,119.41,64.25,-6.17,-0.37,28.38,2.17,7.28,41.42,18504713,14164358,10149012,27291695,25313534,24148885,31307592,29581293,28628285,5.95,-16.97,-17,14188745,12093576,8302102,12505447,12000520,15154375,3.52,-8.13,-6.03,11.23,7.26,6.7
(주)그래디언트,035080,-213.52,-21.28,-3.22,-19305525,-11746076,-2908872,0.31,15.47,17.8,74.02,36.38,-7.95,57.74,48.25,2.26,149.11,294.3,38.87,0,0,0,0,0,0,-68.65,-12.58,-9.56,12.14,10.52,12.71,-49.82,-27.64,-34.72,-44.25,-21.31,-20.29,87.86,89.48,87.29,4.73,22.26,25.26,29.01,129.98,132.34,0.64,1.69,2.12,6.03,18.97,24.11,9.49,50.04,101.78,558.78,244.85,148.58,351.32,250.47,168.41,537.47,238.23,142.05,66.38,85.82,105.84,32.33,25.32,15.55,240.31,94.87,68.54,4210446,22099031,30765854,48585553,66259297,60993774,24657345,97224931,135014276,-270.43,-36.74,7.85,3423638,11583575,19519327,19130661,28361842,29001704,-46.18,-8.35,1.79,43.93,10.61,8.57
(주)금양,001570,-0.79,-0.27,-0.08,-4065126,-1764981,-409367,61.91,50.6,78.25,12.62,-8.99,-46.86,-8.71,-1.36,-44.95,-16.82,8.19,-11.09,0,0,0,0,0,0,-11.09,-4.71,-68.11,12.25,16.53,15.94,-19.61,-8.89,-208.86,-5.44,-2.47,-43.55,87.75,83.47,84.06,5.9,6.43,6.26,6.94,7.68,7.19,0.49,0.52,0.64,2.53,2.99,3,274.96,243.91,1762.65,90.2,76.17,50.14,283.04,190.92,17.06,73.17,61.42,34.51,246.09,215.8,1143.83,-3.73,-11.65,-38.37,29.34,8.82,2.72,81228027,71498188,50693726,110769342,100811666,53569714,51310867,55512054,49354128,-3.61,-10.24,-13.06,42205892,49303159,41228963,38070545,37554474,20673250,-5.72,-13.2,-13.42,8.94,10.75,11.19
(주)금화피에스시,036190,103.08,105.99,153.75,5236233,3070730,2981146,0,0,0,0,9.29,2.51,0,14.38,4.09,0,3.31,34.44,0,-26.21,-10.37,0,-41.36,-2.92,15.19,10.85,7.24,28.44,18.97,13.62,22.05,15.2,12.33,15.24,10.75,9.11,71.56,81.03,86.38,6,6.92,7.21,0,0,0,1,0.99,1.26,4.25,4.44,5.99,44.67,38.6,32.39,278.49,356.99,457.39,635.31,724.73,777.8,278.49,356.99,457.39,54.97,48.67,45.16,39.74,46.71,51.48,21.33,23.66,14.08,8513582,8392860,7557161,27572848,30134697,30891167,27654208,28568697,38407683,39.86,46.29,24.58,6138744,5477285,4449995,17095600,19553387,20353790,12.27,13.6,4.84,0,0,0
