구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,현금비율,현금비율,현금비율,부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율
(주)코메론,49430,60.38,89.94,111.6,120.51,80.25,98.42,7474374,9967073,13360014,14664957,14734261,12418272,7.11,10,2.45,8.71,6.66,0.22,6.99,7.03,2.9,21.93,5.75,1.88,39.28,21.72,9.9,43.46,8.14,0.06,8.39,11.41,5.6,10.83,-0.53,-1.78,-21.46,54.02,47.83,20.52,4.45,-9.71,-4.17,42.28,35.76,28.11,-3.02,-14.9,10.07,13.92,19.49,21.2,22.26,20.46,25.11,28.04,32.29,36.56,35.68,31.26,5.94,8.62,11.69,12.56,11.74,9.73,5.08,7.31,10.3,11.02,10.19,8.86,74.89,71.96,67.71,63.44,64.32,68.74,4.8,4.42,4.35,4.5,4.42,4.11,6.97,8.28,7.44,7.76,7.95,7.06,0.5,0.52,0.53,0.52,0.46,0.43,4.15,3.95,4.16,4.74,4.72,4.62,17.75,18.11,9.44,17.92,12.8,6.99,303.57,325.68,667.08,395.7,548.82,1009.14,1701.01,1815.07,2015.57,2280.95,2521.52,2708.55,256.89,280.77,562.23,356.3,496.26,896.24,69.72,63.32,55.22,49.19,45.56,44.36,27.35,32.14,42.12,43.56,48.75,52.74,67.48,36.79,15.08,46.85,100.53,167.89,19761152,21317128,15921311,24206126,19797151,14120773,102537204,110437411,116526898,136746192,139135359,142536732,57260368,62019224,67912627,68905533,68450794,68746431,40.68,30.16,77.57,63.47,97.5,138.47,14589344,16691421,10782835,19693539,16683483,9020772,55581951,56744429,63155666,85754282,88090420,96854671,12.58,9.11,12.85,20.38,24.86,21.09,1.51,1.1,1.61,1.77,1.76,2.64
(주)코미코,183300,,1.21,2.79,4.24,12.79,10.06,1247167,7182739,14060147,17731030,26493472,40559051,,53.15,35.02,28.9,9.67,27.03,,0,28.35,21.99,32.42,79.31,,0,0.38,44.5,102.16,67.67,,0,17.35,14.01,53.41,36.08,,0,393.49,49.53,72.81,57.76,,0,130.96,25.55,75.07,65.15,,4.4,18.51,24.28,27.35,31.71,,44.74,47.68,49.13,48.5,48.84,,10.5,32.37,30.93,34.05,33.21,,2.8,12.09,14.49,19.61,19.44,,55.26,52.32,50.87,51.5,51.16,,6.1,6.87,6.4,9.95,15.15,,70.17,70.97,61.85,62.39,43.95,,0.64,0.65,0.6,0.72,0.61,,1.53,1.79,2.05,2.79,2.03,,275.13,118.81,109.17,53.93,81.95,,68.71,78.45,61.53,116.75,184.56,,394.77,868.7,1108.58,1591.32,2413.95,,65.77,74.03,58.41,111.8,174.88,,295.79,182.61,168.18,107.88,131.06,,-9.63,-4.54,-12.25,4.29,12.81,,3.35,20.99,18.66,82.08,123.39,43678204,52020797,50497051,53025923,49106751,133038229,65574684,76694545,82689471,93196639,121072950,232717205,28730311,70624851,84172728,93983099,125056374,166567372,,0.28,13.23,18.92,37.79,23.38,14411359,22042902,24914659,33869637,37162796,45058239,22768666,28342352,35270865,45643448,67378295,116962656,,0.32,12.36,18.18,21.04,22.05,,7.49,8.14,7.32,5.86,6.67
(주)코미팜,41960,0.46,0.05,-0.37,0.54,0.45,-1.82,472433,177678,-567334,609493,-149907,-6213700,49.48,51.8,36.44,34.81,28.48,28.9,43.87,14.08,7.13,-2.49,0.55,-4.04,-3.86,39.93,-1.82,-12.78,7.64,10.94,23.18,33.29,5.66,3.38,-5.38,-1.74,269.71,0,0,0,46.24,0,-33.54,-80.42,0,0,-23.29,0,3.9,-6.46,-17.83,0.97,1.5,-36.2,34.94,34.08,30.29,29.12,32.08,27.94,2.4,-4.58,-10.11,0.47,0.64,-14.75,1.09,-1.91,-5.06,0.28,0.41,-9.94,65.06,65.92,69.71,70.88,67.92,72.06,2.32,2.68,2.76,3.04,2.91,2.9,3.02,3.34,3.45,3.35,3.07,2.79,0.28,0.3,0.28,0.29,0.27,0.27,0.6,0.59,0.58,0.57,0.55,0.56,144.11,134.67,75.51,63.48,46.78,50.16,91.98,111.29,153.26,97.87,108.44,114.42,883.23,1020.7,1391.83,1446.85,1608.89,1502.7,59.4,85.11,111.88,67.27,75.25,79.4,176.29,154.7,120.7,117.82,102.89,98.25,-2.42,3.46,10.85,-0.61,2.33,4.36,4.74,17.06,39.73,28.93,39.67,23.37,64076821,71238938,57259368,50542294,41964048,41916874,108796731,124397607,133389118,149843271,149268453,139903685,26464655,34454104,36405104,37636362,36641053,34994051,-0.36,1.95,-4.5,-1.28,3.57,1.94,33025741,38053689,26922370,36928569,36106669,37936024,30293038,42294212,43593355,52344925,53634097,48743115,-0.9,4.01,-7.05,-1.71,4.16,2.31,2.76,3.66,2.56,3.11,3.29,3.04
(주)코세스,89890,-12.97,-4.59,-0.18,-4.29,8.12,22.11,,,,,,,42.43,39.09,40.06,40.71,0,40.69,-0.41,-5.69,-12.4,-25.59,20.85,76.38,-13.41,4.82,-11.91,-49.98,61.97,47.78,-55.77,8.75,16.74,-35.28,46.81,60.08,0,0,0,0,0,-13.19,0,0,0,0,0,116.72,-31.18,-23.46,-2.06,-4.44,25.78,13.98,8.89,12.12,19.64,17.63,27.53,26.61,-56.61,-92.93,-19.1,-28.8,112.67,51.64,-23.73,-20.03,-2.25,-3.86,34.95,20.06,91.11,87.88,80.36,82.37,72.47,73.39,5.61,7.12,6.14,5.03,9.73,7.76,3.65,3.8,5.06,5.24,7.36,8.61,0.76,0.85,1.09,0.87,1.36,1.43,1.97,2.3,2.9,1.98,3.05,2.95,226.09,741.31,754.11,537.88,128.78,177.07,80.52,72.49,57.75,41.88,86.38,129.09,338.86,123.87,106.88,101.73,342.8,249.64,47.26,31,39.79,17.63,50.3,72.89,185.46,438.06,442.45,431.22,129.44,176.27,-10.43,-18.19,-35.26,-44.97,-6.85,8.2,10.93,9.44,4.09,4.54,3.53,4.83,,,,,,,,,,,,,,,,,,,-10.71,-5.11,6.96,-2.82,25.61,8.16,,,,,,,,,,,,,-9.73,-5.12,5.24,-2.33,11.64,4.64,4.29,3.9,3.97,5.99,11.12,4.16
(주)코센,9730,1.77,1.16,1.43,-4.21,0.77,-0.25,,806976,1657470,-6460334,1030638,-349395,28.19,33.77,39.63,35.12,27.79,43.44,13.38,18.97,-7.86,-0.35,-3.76,-2.08,23.92,24.46,-8.25,-9.25,-3.29,-0.45,-4.75,10.59,-4.58,-6.74,6.17,-4.51,0,246.82,-2.79,0,0,0,0,-29.94,45.59,0,0,0,1.04,3.26,3.32,-17.99,3.74,-18.6,8.99,8.3,10.36,-0.98,10.11,7.85,3.62,9.2,7.64,-39.06,8.12,-39.29,1.11,3.32,3.09,-16.31,3.68,-17.99,91.01,91.7,89.64,100.98,89.89,92.15,4.08,4.11,4.44,4.19,4.02,4.31,4.58,3.96,3.54,4.57,6.1,5.13,1.07,1.02,0.93,0.91,0.98,0.97,5.42,5.42,5.49,5.97,6.73,6.67,188.33,168.63,127.84,152.29,95.36,148.34,93.73,127.56,118.98,132.18,124.19,147.94,120.1,145.21,156.42,125.9,145.91,108,55.99,72.85,70.43,99.47,84.87,98.31,114.85,99.54,85.04,108.28,83.31,103.53,-4.03,13.6,10,13.9,11.17,18.9,4.84,1.25,1.38,1.78,2.19,2.51,,40391105,34404035,36250225,27901939,33432157,,64057472,58921631,60000751,57162040,55576704,,60619827,57840688,53942891,57272647,54690486,0.43,-5.53,-7.12,4.56,0.71,-8.48,,31705527,32359150,26048250,26400705,22062326,,39349590,37199997,33995036,32779767,32631602,0.28,-3.7,-4.12,3.03,0.34,-5.18,6.07,5.78,5.62,6.76,7.26,7.07
(주)코스나인,82660,1.37,0.09,-1.75,-0.58,-4.96,0.25,8736695,11248203,5262825,2359572,-14012778,-11015929,48.27,47.82,49.79,44.28,39.28,71.68,37.5,-2.56,7.33,9.52,-19.13,-42.74,50.68,-25.51,1.87,30.19,-25.01,44.64,134.35,-14.22,-48.18,7.8,-54.36,-73.44,0,0,0,0,0,0,0,-93.07,0,0,0,0,0.2,-1.29,-7.95,-5.5,-65.02,-565.67,7.53,6.16,0.19,4.96,-8.98,29.12,0.84,-4.01,-11.93,-7.49,-34.94,-127.48,0.28,-1.36,-4.25,-2.92,-16.66,-54.73,92.47,93.84,99.81,95.04,108.98,70.88,5.77,3.89,2.61,2.96,1.66,0.56,17.36,16.51,10.14,9.98,5.28,3.97,1.41,1.05,0.53,0.53,0.26,0.1,2.98,2.03,0.92,0.98,0.53,0.34,214.66,177.54,184.37,134.99,85.2,323.41,79.58,67.5,74.72,83.28,123.25,201.51,656.22,709.88,708.87,541.94,276.91,66.46,67,56.43,63.47,71.08,110.12,201.51,173.17,182.13,191.59,143.85,118.59,38.71,-11.54,-16.55,-11.04,-7.79,6.79,45.77,0.57,1.17,8.16,20.55,2.95,0.1,141205005,126606606,133611861,127953172,120050621,65781709,183177965,179680497,193477266,197249708,181360692,79381517,329560818,340181128,263647344,207265945,184419003,87007413,-14.59,0.15,7.53,3.26,1.04,-6.6,127703772,113628626,108497929,114814157,103160923,47246669,101503298,88505797,94318875,93875580,106329317,61237170,-8.2,0.09,9.47,3.69,1.67,-37.93,5.24,4.7,4.74,4.78,4.35,4.86
(주)코스메카코리아,241710,3.73,6.07,17.03,30.61,6482.28,9.66,,,6387201,13128171,10991649,9826150,35.76,35.4,22.8,0,0,23.29,10.12,13.19,51.11,98.94,5.48,45.4,-16.59,37.36,97.21,151.81,-20.1,-31.26,-2.31,9.35,38.19,60.19,3.98,30.52,-62.13,-35.76,835.89,42.97,-14.4,36.92,-41.57,68.2,127.51,43.8,-26.6,23.44,1.67,0.98,6.65,5.93,4.88,5.12,18.37,21.05,22.21,19.62,19.76,17.37,7.62,4.68,31.32,13.81,7.1,8.89,2.75,1.58,11.09,8.82,5.52,6,81.63,78.95,77.79,80.38,80.24,82.63,7.8,7.95,5.82,6.11,5.96,8.32,20.15,18.24,14.82,14.55,13.33,17.7,1.65,1.61,1.67,1.49,1.13,1.17,3.22,3.3,4.52,5.64,4,3.61,185.68,206.48,168.37,29.5,27.91,66.27,68.05,69.39,99.3,314,256.37,119.48,701.01,739.65,1276.44,3941.81,4209.6,2354.29,52.34,52.64,76.37,270.91,217.04,90.6,190.12,182.06,126.19,42.66,62.94,126.34,-15.71,-17.91,-0.38,45.7,30.98,3.91,2.98,5.33,5.31,155.7,110.29,21.57,,,47024322,38206844,37590746,143418585,,,69889550,143045906,151059278,315034709,,,99149813,165176125,182327850,303292618,14.04,10.61,8.58,14.52,26.13,15.94,,,40473354,36273576,34710924,79239149,,,39779055,101397407,90526613,122449782,5.81,4.71,3.88,2.96,5.18,6.43,3.86,3.43,2.67,4.32,0,3.98
(주)코스온,69110,-0.37,1.69,8.18,10.02,1.86,-0.41,,,,8051950,4710980,3281485,48.09,28.99,15.13,21.74,35.32,33.4,86.12,75.5,82.56,32.13,33.25,44.69,8.91,98.26,96.83,17.08,27.42,40.01,-45.89,150.05,133.81,24.82,10.78,-2.27,0,0,749.87,63.33,-92.63,0,0,0,218,22.34,-59.49,0,-25.18,2.02,7.33,9.59,0.64,-3.37,11.22,24.32,26.83,24.97,20.28,14.86,-30.08,3.17,12.23,13.22,0.82,-3.13,-15.02,1.68,7.93,8.63,0.48,-1.77,88.78,75.68,73.17,75.03,79.72,85.14,4.66,3.49,3.77,3.1,3.39,3.03,3.98,6.75,8.01,4.76,3.36,3.08,0.6,0.83,1.08,0.9,0.75,0.53,2.39,2.74,4.78,4.3,3.38,2.85,127.12,71.95,46.03,59.07,82.43,73.29,464.4,419.39,297.09,216.95,280.54,135.57,146.96,295.37,569.95,675.28,759.1,979.34,376.18,332.82,238.38,135.83,175.36,102.77,98.3,61.77,45.14,61.69,75.63,75.13,44.51,48.8,45.83,33,37.67,14.86,194.3,146.1,88.83,18.84,17.04,12.4,,,,40522966,67319852,109046004,,,,101838339,139432991,221447294,,,,83065519,100485580,110339643,-7.17,-18.38,-7.54,-16.45,-7.81,-1.59,,,,31806794,35752074,96060235,,,,65679404,87335695,129903382,-8.75,-11.77,-2.84,-7.73,-5.37,-1.51,13.1,11.29,7.37,5.21,5.47,5.39
(주)코썬바이오,204990,37.09,451.62,999999999,999999999,-618.32,-389.21,,,,,-2294248,-24009266,3.22,0,0,0,0,3.4,12.5,26.85,46.15,56.74,138.33,-41.31,10.23,38.84,59.65,73.3,-8.6,-37.35,12.71,18.01,14.48,10.89,-23.52,-62.95,187.3,274.17,38.3,-15.4,0,0,264.23,160.29,29.38,-17.59,0,0,8.07,25.6,30.93,23.59,-25.52,-627.35,45.13,47.76,53.74,44.43,45.26,25.5,17.24,42.5,36.59,19.03,-6.94,-56.19,9.39,29.26,29.39,16.31,-6.53,-53.24,54.87,52.24,46.26,55.57,54.74,74.5,2.81,4.98,5.45,2.5,0.98,0.32,39.86,54.42,27.81,20.68,15.66,5.89,1.16,1.14,0.95,0.69,0.26,0.08,3.65,3.98,4.19,4.18,3.14,1.18,78.96,26.51,23.14,12.88,3.74,8.8,162.02,391.08,486.78,953.32,1399.06,599.36,255.74,174.38,261.82,411.85,733.63,410.56,155.45,381.67,457.73,924.81,1345.39,569.09,63.72,37.34,28.33,16.78,69.87,70.88,24.65,52.46,61.18,76.2,30.32,29.04,44.59,25.96,43.44,391.03,184.91,46.94,,,,,13902964,11235358,,,,,128032491,65519401,,,,,25656055,9538711,29.54,147.61,102.09,19.52,-192.65,-200.68,,,,,9222341,6960048,,,,,48642838,25297143,11.86,30.27,23.97,3.93,-38.23,-141.45,5.34,5.86,0,0,0,3.19
(주)코아스,71950,0.13,1.46,-7.22,-2.28,0.19,0.59,370883,2059942,-7832373,-3492067,659260,1232092,27.65,22.67,24.65,25.34,25.5,25.84,-5.62,2.7,-11.46,-13.01,1.93,-1.96,-10.43,3.52,-18.64,-25.78,-6.54,-0.41,12.45,11.96,-1.17,0.21,17.08,-5.8,0,0,0,0,0,0,-89.58,655.03,0,0,0,217.65,-9.48,0.61,-11.2,-7.95,-0.83,-0.29,26.17,31.37,24.46,32.33,32.09,26.63,-20.43,1.49,-29.92,-27.38,-3.86,-1.33,-8.15,0.59,-11.32,-9.17,-1.19,-0.4,73.83,68.63,75.54,67.67,67.91,73.37,2.08,2.8,3.96,6.39,8.15,7.97,4.1,4.18,4.49,5.46,6.09,5.52,0.86,0.98,1.01,1.15,1.44,1.36,3.39,3.67,3.5,3.19,3.38,3.1,157.75,146.63,187.64,212.23,235.96,235.82,119.96,124.5,107.32,86.54,76.12,71.82,284.32,283.92,208.51,159.81,151.39,148.48,77.83,78.1,70.13,49.61,34.5,36.05,91.97,86.73,116.27,153.52,179.38,176.83,10.7,12.76,4.07,-7.91,-14.62,-18.58,0.96,11.99,27.97,17.06,0.34,3.13,60691689,60348294,58640073,52292499,55405915,55088039,98569947,101027896,89438043,76929028,79069618,78534357,88205985,98865609,96543277,97114676,114066385,108592320,5.35,13.08,17.89,10.32,-1.61,1.33,53295615,52960331,50021652,45171576,48325707,51697569,63960405,65993045,53918865,39500732,37590743,38438820,3.7,8.06,10.84,5.66,-0.79,0.68,6.83,5.66,4.75,7.31,7.52,7.49
(주)코아시아,45970,1.54,3.08,0.16,-1.63,-0.33,0.22,125330,-16779023,5852355,13556717,16814262,4997771,2.08,0,19.98,23.02,12.89,11.76,2.56,4.66,29.65,-14.79,-0.03,-12.31,26.68,-46.8,-3.72,-29.35,-19.8,0,-57.26,14.56,47.62,433.18,-49.53,15.27,-57.61,2378.99,0,0,0,0,-83.34,169.85,60.67,0,0,0,23.97,518.64,-53.36,-66.14,83.04,-328.62,0,0,0,-15.89,86.85,93.78,0.22,5.42,-0.79,-5.6,3.7,-16.85,0.22,5.27,-0.68,-4.31,2.97,-14.42,0,0,0,115.89,13.15,6.22,0.67,0.47,0.93,11.8,5.36,4.91,256.78,0,0,0,0,0,0.01,0.01,0.01,0.07,0.04,0.04,4932.68,31945.28,380.35,73.55,21.52,34.75,3.17,2.57,27.47,32.97,17.66,15.9,433.73,282.28,507.4,15.89,32,44.85,1689.76,1778.87,1855.75,1250.87,1201.83,1027.54,433.73,282.28,507.4,15.89,32,44.85,90.55,96.19,121.58,127.88,114.04,111.84,9.41,4.02,3.71,-20.28,-6.53,-4.31,10.72,19.37,147.71,3.2,21.63,29.03,172588606,155937546,225508143,182837079,180299818,188909381,272680457,242015229,351679808,325515778,331114667,327476522,287641466,256190480,277561320,396061922,424250341,378373276,1.34,-4.89,1.49,2.99,3.66,0.08,156390048,139249645,172572996,138030814,125029330,137701777,183112339,146862086,165941804,147964980,155225084,134732393,4.54,-12.33,28.46,10.47,15.36,0.24,4.42,5.97,14.35,10.08,9.98,7.65
(주)코아시아옵틱스,196450,,,-214.46,-8.35,0.3,-2.24,,-2560363,-6695972,-22542352,-814451,-6120241,,,4.25,26.38,26.29,23.88,,,0,-29.77,-1.25,-12.46,,,0,-31.14,-28.21,-22.68,,,0,-49.53,-58.6,-26.26,,,0,0,0,0,,,0,0,0,0,,,-12.8,-181.94,-146.94,-110.03,,,3.36,-29.93,34.22,-9.51,,,-9.5,-91.72,-41.4,-21.88,,,-7.35,-61.92,-25.25,-14.96,,,96.64,129.93,65.78,109.51,,,4.41,3.48,2.61,1.74,,,15.1,11.79,12.51,10.16,,,0.57,0.34,0.17,0.14,,,2.78,2.04,1.92,1.88,,,29.26,87.02,45.77,46.81,,,239.68,100.97,108.65,88.74,,,772.49,319.45,264.14,221.2,,,218.26,97.13,104.49,83.62,,,74.3,109.06,101.59,107.51,,,24.78,0.4,2.41,-3.4,,,35.96,0.01,23.71,23.22,,8552314,24884899,34705103,22553168,18298041,,92040010,99856404,69867088,68339098,57405388,,34003314,55771549,39695061,14231304,9054296,,,17.65,-38.33,-83.74,-32.53,,7968992,20122167,31238243,20263667,17314836,,52657324,44403697,29091333,21241886,15384954,,,6.96,-43.24,-152.06,-71.19,,,0.63,17.35,12.31,14.98
(주)코엔텍,29960,999999999,999999999,719.23,41.39,39.59,68.95,8798715,10718066,9472359,15475622,18586515,29310888,0,0,12.46,18.81,16.77,13.21,10,12.08,25.08,18.73,12.18,21.85,7.95,-19.13,-23.88,176.69,61.29,93.99,-0.33,8.78,-1.71,43.26,10.34,19.86,-6.74,14.78,-23.3,111.38,2.43,152.09,-15.59,18.82,-20.95,97.37,14.61,62.17,23.78,25.09,19.58,28.89,26.82,56.4,35.14,37.62,34.32,39.59,39.95,48.69,10.52,10.96,7.79,14.89,13.41,27.6,9.2,9.51,6.13,10.66,9.48,20.38,64.86,62.38,65.68,60.41,60.05,51.31,7.38,7.25,6.68,7.68,7.18,8.13,864.43,747.51,578.56,840.64,1212.84,1523.87,0.39,0.38,0.31,0.37,0.35,0.36,0.71,0.67,0.46,0.54,0.62,0.81,13.65,16.62,36.92,42.03,40.81,31.31,307.27,179.89,114.16,370.97,431.68,671.22,302.18,330.04,351.61,402.46,455.38,594.97,306.69,179.35,113.59,370.46,431.4,670.94,85.46,95.75,122,105.98,89.41,55.01,16.73,7.95,1.35,18.54,28.04,49.45,231.13,114.64,20.05,274.75,338.65,547.71,11096502,14379638,33331853,43293380,47189829,47657071,93103166,104498650,130554728,153917415,172746242,196343451,38761496,41597450,42298254,55095779,61255105,72239031,118.59,85.13,37.55,38.67,53.02,81.84,7621968,10120008,12281616,10635545,14284279,17990273,32230049,29196595,27114109,51114217,74921431,114519287,38.55,33.84,35.93,33.66,45.95,59.32,0,0,0.14,1.72,1.6,1.52
(주)코오롱,2020,1.66,1.36,1.24,0.91,1.27,1.04,76917157,72662399,41355371,136872655,106757935,111461025,41.56,44.73,48.37,49.53,55.15,57.98,7.5,-6,1.76,3.23,11.31,2.46,-38.23,-49.16,14.51,84.74,80.41,-61.64,6.75,-5.64,-7.13,-4.15,14.66,-3.64,10.72,0,0,253,-65.58,0,9.9,-16.63,-16.82,-24.75,60.79,-4.97,21.55,-168.89,4.92,18.13,5.44,-44.68,92.24,91.65,91.01,90.54,0,0,2.18,-17.5,0.53,1.86,0.64,-5.14,1.23,-9.08,0.25,0.87,0.28,-2.06,7.76,8.35,8.99,9.46,0,0,42.84,60.2,123.52,184.57,193.21,294.01,0,0,0,0,0,0,0.06,0.05,0.05,0.05,0.05,0.05,23.31,22.42,20.8,19.76,12.5,6.71,81.4,106.68,111.56,117.36,143.55,156.01,4.1,2.03,2.23,3.28,4.55,2.07,952.13,785.57,780.89,784.65,779.5,728.48,4.1,2.03,2.23,3.28,4.55,2.07,179.32,205.39,210.09,214.64,238.61,254.07,-26.84,-30,-30.62,-36.93,-42.5,-35.92,2.02,0.7,1.73,0.77,0.39,0.7,2948117794,2657647172,2486323367,2502328965,2785427604,2644984811,3775562705,3578435131,3291820462,3333623695,3699363238,3480352009,4427687063,4139649552,3820812376,3936858959,4392955166,4324491258,2.69,2.95,2.22,0.5,-0.25,-0.44,2072443316,1979958495,1769351199,1917684778,2256846587,1931832308,1780103745,1547206146,1301171160,1276747098,1433920365,1255533870,21.85,27.45,23.1,5.77,-2.99,-5.92,4.83,4.54,3.92,3.73,3.76,3.79
(주)코원플레이,56000,-7.39,0.55,-7.01,-8.25,4.5,-288.7,-10443758,-2918829,-6296962,,267138,-3104776,38.64,38.75,43.08,37.09,0,0,-1.02,-0.53,-37.64,22.86,-46.68,-2.95,-30.46,3.04,-57.07,258.64,-72,-5.86,-27.44,8.74,-39.74,109.45,-4.06,-31.47,0,0,0,0,0,0,0,0,0,0,0,0,-25.69,-3.58,-130.76,-26.67,3.75,-3.17,5.41,22.26,-11.27,34.81,45.4,48.77,-16.91,-2.61,-78.83,-45.99,5.39,-3.07,-9.84,-1.5,-40.86,-20.4,3.26,-2.75,94.59,77.74,111.27,65.19,54.6,51.23,4.73,5.22,3.86,9.45,10.01,14.18,2.01,2.91,2.61,6.94,13.06,0,0.38,0.42,0.31,0.76,0.87,0.87,1.82,1.68,1.04,4.25,101.39,182.08,72.27,75.44,129.54,122.26,11.83,11.35,111.98,113.13,59.29,174.43,638.86,662.26,610.82,596.59,284.36,277.54,294.11,286.63,70.77,84.9,37.57,155.91,638.86,662.26,92.87,91.68,154.09,9,55.47,56.92,4.93,5.54,-22.57,40.94,42.51,41.5,14.72,17.15,13.53,18.02,161.05,136.39,38935148,42785811,19960355,,2411625,2120139,69714471,66975754,37467433,,22125522,22337356,29535151,31463462,14986884,,30676039,25727901,-5.65,1.54,4.12,-5.05,-71.95,-85.53,38482148,33295506,19610355,,2377582,2076129,23610053,25696300,13483965,,19500064,20281730,-6.15,1.57,5.72,-4,-6.1,-9.9,5.45,6.52,4.94,4.58,2.98,0
(주)코이즈,121850,2.59,0.41,-2.81,0.64,-18.23,-12.25,-83959,-144963,-1498764,793670,-7529257,-7407617,31.55,32.3,41.76,34.15,41.22,50.68,28.01,-0.43,-0.34,-9.08,-17.81,-10.72,27.87,-8.21,-20.02,-4.45,-30.24,-14.18,-32.01,16.02,-17.2,26.47,-27.24,-19.28,0,0,0,0,0,0,-88.63,-65.13,0,0,0,0,-2.1,0.98,-12.5,4.64,-46.23,-58.58,21.2,18.6,15.8,17.08,-15.55,-7.07,-1.51,0.84,-9.22,4.53,-37.61,-56.51,-0.96,0.46,-4.91,2.41,-20.19,-24.18,78.8,81.4,84.2,82.92,115.55,107.07,3.27,2.52,2.26,3.91,4,11.6,17.96,15.15,12.39,9.48,5.39,5.11,0.46,0.47,0.39,0.52,0.44,0.41,1.02,0.98,0.78,1.16,1.05,0.89,81.95,80.07,96.43,78.56,96.62,196.12,381.21,163.68,111.24,106.11,71.7,48.34,985.84,991.85,611.77,597.33,420.58,249.31,356.62,152.29,101.23,83.61,53.21,35.92,93.8,99.65,126.03,111.3,133.76,205.11,35.74,17.38,3.62,2.17,-12.62,-32.85,155.04,34.66,47.66,26.38,38.24,16.15,28847783,27819407,30666649,25121188,23135847,30934907,59114075,57527978,58006987,54923992,45676171,46448349,24137513,27864355,26005034,31440808,26389826,19147494,16.58,-6.21,2.59,26.14,20.62,-1.53,9860084,17772353,20711724,20647633,21152979,27274721,27762398,22630955,23291318,23651610,17075926,14887486,18.39,-5.83,3.23,21.03,20.93,-2.32,3.45,4.9,3.28,2.03,2.53,3.73
