,구분,이자보상배율2002,영업이익2002,차입금의존도2002,총자본증가율2002,유동자산증가율2002,매출액증가율2002,순이익증가율2002,영업이익증가율2002,매출액순이익률2002,매출액총이익률2002,자기자본순이익률2002,총자본순이익률2002,매출원가 대 매출액비율2002,매출채권회전률2002,재고자산회전률2002,총자본회전률2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,비유동비율2002,순운전자본비율2002,현금비율2002,부채2002,자산2002,매출액2002,부채/현금흐름2002,유동부채2002,유동자산2002,매출/현금흐름2002,차입금평균이자율2002,정상기업여부
61,(주)티에이치엔,0.79,1920545.0,43.69,-2.59,18.81,19.64,0.0,0.0,-2.19,3.81,-18.05,-4.29,96.19,18.46,27.52,1.96,8.73,376.99,66.64,158.69,57.37,239.07,-24.97,3.49,53841952.0,68124153.0,135364306.0,2.19,50991741.0,33978991.0,0.87,7.92,0
62,(주)티웨이홀딩스,-1.7,-11629632.0,46.68,-48.07,99.57,32.77,0.0,0.0,209.48,23.71,0.0,102.27,76.29,7.96,20.76,0.49,0.66,126.58,667.3,156.24,629.79,115.46,41.69,182.61,25059377.0,44856057.0,32034896.0,-23.75,3296788.0,21999356.0,-18.58,65.34,0
63,(주)플레이그램,-0.79,-1852660.0,44.7,-48.26,8.32,58.25,0.0,0.0,-89.91,4.72,-174.68,-46.45,95.28,3.91,14.85,0.52,4.67,1006.58,109.74,19.05,100.61,644.79,3.7,18.78,15390269.0,16919229.0,12819337.0,-93.33,6433891.0,7060583.0,-112.04,54.13,0
64,(주)피델릭스,-10.7,-8727565.0,20.42,-37.92,-42.36,-58.99,0.0,0.0,-206.13,-36.31,-52.1,-39.71,136.31,0.93,0.62,0.19,4.84,41.02,330.0,253.59,170.91,42.7,48.6,0.44,9779812.0,33618518.0,8453080.0,-5.53,7103132.0,23440468.0,-6.4,10.68,0
65,(주)피엔풍년,-0.14,-67430.0,21.75,0.12,-2.44,-3.06,0.0,0.0,-2.0,18.53,-3.3,-1.74,81.47,5.26,8.1,0.87,1.69,92.23,141.16,413.09,103.9,107.62,12.83,14.65,19050597.0,39705177.0,34634632.0,0.43,12380665.0,17476250.0,0.24,6.49,0
66,(주)한창,0.49,2886726.0,64.66,-51.57,-81.92,-11.98,0.0,0.0,-4.0,10.01,-44.09,-3.19,89.99,10.55,218.0,0.8,1.68,1271.41,37.71,8.45,36.65,1141.22,-27.73,0.57,54064137.0,58316428.0,71265121.0,-9.57,25957837.0,9788466.0,-7.26,8.83,0
67,(주)한화,0.17,23377143.0,50.07,-32.18,-54.13,-15.96,0.0,-58.09,-7.13,7.04,-30.07,-6.68,92.96,12.42,7.1,0.94,2.51,331.49,44.48,146.1,24.98,347.14,-24.4,1.08,1826766768.0,2377848137.0,2755861974.0,-3.6,1045001196.0,464818479.0,-2.39,9.9,0
68,KG스틸(주),1.23,117770997.0,42.04,-2.91,-13.7,6.21,0.0,35.5,2.62,14.83,5.5,1.81,85.17,10.04,9.09,0.69,1.03,196.64,39.78,406.44,23.41,244.84,-26.43,0.43,1449489007.0,2186598637.0,1534935268.0,3.15,959789742.0,381824174.0,2.97,9.56,1
69,LS일렉트릭(주),1.61,109844757.0,66.42,-23.08,-42.55,5.49,0.0,47.12,0.48,29.0,2.96,0.38,71.0,4.98,20.64,0.78,1.69,495.73,61.6,24.61,51.66,440.03,-16.29,4.75,790826042.0,950353508.0,850280028.0,13.1,403223673.0,248389941.0,12.19,8.59,1
70,SNT중공업(주),-0.21,-7677711.0,63.58,1.89,17.86,11.24,0.0,0.0,-23.98,1.9,-110.6,-12.47,98.1,3.94,3.52,0.52,0.86,1926.62,142.21,20.21,87.41,1235.27,11.59,16.74,398141615.0,418806910.0,215742084.0,6.08,114992565.0,163535663.0,11.22,14.51,0
