,구분,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채/자산2015,부채/매출액2015,부채/현금흐름2015,유동부채/부채2015,유동자산/자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
570,(주)삼한일렉트로닉스,-19.1,-58.84,-60.33,0.0,0.0,-28.23,-7.73,-174.28,-13.02,107.73,8.81,6.24,0.46,4.11,5822.53,412.0,24.12,258.45,4893.58,13.16,26.84,0.9831153218199922,1.9060479419382375,7.41,0.04289330695640937,0.17373460284572834,14.13,0.05,0
571,(주)삼호주택,-1.66,42.33,3.61,0.0,0.0,-37.72,0.0,-28.03,-2.03,0.0,9.81,0.0,0.05,0.05,1493.87,0.93,71.92,0.93,1582.39,-76.86,0.03,0.9372595442069782,17.28547525965355,0.96,0.8277465189306642,0.007203828749116439,16.67,2.69,0
573,(주)삼희,0.64,0.64,87.5,0.0,0.0,-24.23,8.17,-165.37,-1.91,91.83,4.41,0.09,0.08,0.0,50172.95,206.19,1.33,26.09,115.61,51.38,0.96,0.9980108586421869,12.730552728147394,-4.53,0.4848443303624918,0.9977004146152448,-57.68,0.15,0
574,(주)상재스틸,6.11,210.52,26.11,-3.89,1.23,4.95,10.45,24.7,5.79,89.55,18.29,21.68,1.17,1.34,291.21,29.93,534.13,15.02,321.54,-41.69,0.13,0.7443814770923016,0.6555775739081665,15.86,0.7993625960286461,0.17808984362830158,10.4,3.03,1
575,(주)상진미크론,4.91,1.43,8.33,31.9,146.46,28.99,39.68,0.0,9.98,60.32,1.74,12.62,0.34,1.28,0.0,18.84,0.0,17.09,0.0,-119.73,0.07,1.485219017169939,4.415401660860852,1.83,0.9933091962742086,0.2779725354068377,8.1,3.16,0
576,(주)상훈인더스트리,11.12,5.3,10.52,-11.21,12.84,0.99,13.64,7.82,1.66,86.36,11.01,10.46,1.67,4.27,378.88,85.8,1274.73,62.91,259.48,-7.58,0.15,0.7911787705209612,0.5000143388634758,-3.96,0.6749260637966917,0.4581591454096583,-1.98,3.3,1
578,(주)새롬이엔지,1.55,28.88,5.91,0.0,0.0,1.61,8.92,221.61,1.17,91.08,17.7,4.49,0.73,1.01,99540.85,40.02,4.78,13.22,69637.27,-45.13,0.33,0.9989964654237963,1.3803074841764507,-0.24,0.7531739459897823,0.3011172321272898,-0.33,2.15,0
579,(주)새명,-2.02,-13.99,-6.02,0.0,-46.39,-0.15,34.04,-0.55,-0.06,65.96,25.09,101.11,0.39,0.55,806.8,32.39,100.91,31.87,677.17,-52.85,1.37,0.889721960586365,2.2382743883584473,2.16,0.8786638647008455,0.25323468649664094,4.82,4.5,0
580,(주)샘텍,-7.84,-4.2,0.78,-17.9,10.75,6.26,21.78,0.0,8.45,78.22,7.82,4.96,1.35,4.05,0.0,58.61,0.0,30.96,0.0,-43.55,3.37,1.2976314972789798,0.9219809467901611,9.12,0.8108778303804667,0.6166885587607009,8.41,6.7,0
581,동신수산주식회사,-1.67,-9.18,-0.28,0.0,0.0,-3.67,9.14,-28.65,-4.25,90.86,15.36,7.31,1.16,1.88,680.03,35.79,561.63,15.09,554.94,-51.76,1.08,0.8717989935541731,0.7455927577310237,0.16,0.9247244207259463,0.288563354995435,0.12,5.26,0
582,동양디앤아이주식회사,1.09,37.03,35.86,26665.31,69.99,31.32,0.0,138.75,2.97,0.0,21683.95,0.0,0.09,0.1,2675.32,9.77,901.47,9.77,2554.8,-73.36,0.92,0.9639681702367502,10.228185495666756,7.89,0.8434661553687012,0.07946059741927534,80.71,2.78,0
583,동양마샬주식회사,21.6,402.13,2.77,0.0,57.05,-22.74,0.0,0.0,-1.25,0.0,37.4,0.0,0.06,0.06,0.0,11.31,0.0,11.31,0.0,-88.27,0.02,1.089511646943437,21.680145975349447,0.45,0.9135111660150982,0.11255438548314185,9.81,2.06,0
584,동연오토텍(주),-16.66,-39.18,-2.08,5.2,12.6,6.01,13.27,49.53,6.72,86.73,10.74,7.92,1.12,1.54,436.7,61.06,131.0,23.46,419.82,-13.89,2.52,0.8136762820311699,0.6614462343969736,22.03,0.43832328285506933,0.21777016413261965,14.57,3.18,0
585,동우씨앤에이주식회사,-4.97,-19.4,-18.58,256.9,20.27,3.54,10.29,20.05,3.63,89.71,5.46,9.39,1.03,1.62,389.05,161.61,297.0,99.08,344.26,11.29,7.22,0.7955229917121508,0.7550627266386029,6.9,0.23029100193999194,0.2960714550821456,5.21,3.57,1
586,동우에이앤이주식회사,-61.57,-77.15,-12.02,0.0,0.0,7.83,17.69,0.0,9.27,82.31,15.81,31.67,1.18,3.34,0.0,26.87,0.0,21.5,0.0,-43.87,5.25,1.5732389937736693,0.7377806322570137,0.72,0.3813062048540372,0.16119024397501,0.53,0.87,0
587,동원소텍주식회사,-27.5,-32.57,-32.18,0.0,0.0,-53.8,4.39,0.0,-21.77,95.61,4.61,10.54,0.4,0.58,0.0,24.27,0.0,18.44,0.0,-56.98,0.19,1.040754606783472,2.162292251628701,-10.85,0.7228823500623612,0.18257861953620694,-23.45,5.02,0
588,동원하우징(주),-53.36,-53.36,0.0,0.0,0.0,-27.75,-6.41,0.0,-20.41,106.41,0.0,0.77,0.74,0.0,0.0,17.43,0.0,2.0,0.0,-473.66,1.76,5.736634566650793,4.960536944673478,10.45,1.0,1.0,51.83,5.63,0
589,동인전기공업(주),7.07,25.43,428.79,0.0,0.0,0.73,5.23,0.0,2.58,94.77,11.96,85.1,3.54,5.65,0.0,28.62,0.0,22.73,0.0,-97.52,0.01,1.7662519508211176,0.515843708107415,-6.84,0.7735546450449172,0.3910509183580977,-3.53,5.2,0
590,동진금속(주),-9.24,-0.65,-1.68,0.0,0.0,-2.11,4.52,-14.7,-3.18,95.48,16.75,13.82,1.51,2.15,374.66,72.97,1742.94,43.38,335.56,-10.85,0.71,0.7893216039097863,0.4990094387023093,15.22,0.5087728338778676,0.29304523011285893,7.59,2.98,0
591,동해현진관광호텔(주),-5.42,-91.99,62.28,0.0,0.0,0.66,71.93,6.7,0.18,28.07,87.24,0.0,0.27,0.27,3490.11,0.97,33.15,0.97,3579.2,-30.91,0.1,0.9721457151940484,3.5375457651442876,4.12,0.3210990071471269,0.003038977736011305,14.57,2.18,0
592,동호레져(주),53.69,86.13,3.46,7968.92,39.36,177.58,0.0,155.01,26.82,0.0,213.89,0.0,0.15,0.2,294.5,1.47,3615.74,1.47,390.46,-68.73,1.23,0.7465169490133218,5.988922961093508,3.19,0.9344502586530508,0.010250082917127482,19.09,4.26,0
593,동화기업(주),-3.99,-75.75,12.95,806.09,36.51,20.13,53.95,15.01,3.9,46.05,69.1,1013.73,0.19,0.2,251.45,9.43,192.54,9.25,346.4,-13.82,5.27,0.7154658485632056,3.6165453304151978,-13.63,0.21332847404116864,0.014386244864302051,-49.3,4.9,1
594,동화농산주식회사,36.99,28.25,-17.59,3.55,-25.71,49.35,24.66,61.6,21.85,75.34,55.54,2.95,0.44,3.58,123.88,34.11,433.58,3.43,186.51,-32.24,1.6,0.553326472229478,1.4450614651937355,10.98,0.8843110011047539,0.16690299779724954,15.86,3.53,1
595,동화에이.시.엠(주),-3.5,-0.79,3.94,-5.01,23.49,1.58,23.96,5.71,0.96,76.04,12.12,6.01,0.61,0.87,464.68,40.07,393.73,22.18,440.77,-32.81,9.87,0.8229076776156897,1.319813877381787,-1.85,0.6653897382684989,0.21942885390823955,-2.44,4.06,0
596,두선산업주식회사,15.84,54.14,69.09,0.0,473.26,12.69,20.43,51.6,9.29,79.57,4.7,25.52,0.73,1.66,373.19,82.7,321.62,76.38,314.3,-7.02,4.02,0.7886667529593027,1.1561781947927938,-2.46,0.5147824031782454,0.33577363141773403,-2.84,3.53,1
597,두하엔터프라이즈(주),43.29,-37.74,27.18,13.16,0.0,3.54,46.44,2.79,0.39,53.56,13.35,12.96,0.11,0.12,737.7,6.45,1961.07,5.1,806.81,-53.49,2.93,0.8806248160894814,9.447811568200747,8.55,0.6492972808943542,0.03687399050854325,80.76,2.69,0
598,듀라케미주식회사,-6.79,1.51,-8.33,-50.28,1139.48,0.96,32.98,2.39,0.37,67.02,4.38,3.15,0.38,0.64,521.3,45.48,60.18,26.24,428.36,-37.23,0.21,0.8390459889905285,2.1166079494541346,2.84,0.8138607389527732,0.3105456635328425,6.01,5.1,1
599,드림스틸,-3.4,7.03,-60.78,0.0,0.0,-40.34,2.33,0.0,-23.99,97.67,4.67,15.74,0.59,0.75,0.0,200.12,0.0,167.46,0.0,10.9,43.15,2.9265081908564587,4.835704273871247,3.4,0.03718610195847045,0.2177856007595871,16.45,0.0,1
600,드림포워드(주),3.36,76.99,2.47,-4.57,-21.44,14.53,0.0,17.79,2.83,0.0,49.77,0.0,0.2,0.26,485.92,315.08,56.56,315.08,450.92,15.73,54.32,0.829327698223399,4.32152497294625,8.78,0.08817776337857657,0.2304128519904313,37.95,4.03,0
603,디스커버믹스테크매뉴팩처링(주),0.52,33.13,-43.79,0.0,0.0,-326.33,-86.99,0.0,-60.05,186.99,6.88,1.61,0.18,0.24,1093.19,62.06,31.81,12.94,931.06,-13.43,1.1,0.9161911944783926,4.9919090845015885,1.16,0.38637818852796463,0.219693783480454,5.79,0.05,1
604,디쏠라에너지주식회사,-4.8,-11.09,-6.19,6.43,-9.2,17.79,61.27,13.75,2.54,38.73,7.87,0.0,0.14,0.15,393.47,49.7,126.5,49.7,481.31,-2.49,30.04,0.7973546683061344,5.440774543182004,4.91,0.06217982674375627,0.024639551641030894,26.72,6.6,0
605,디아이건설(주),10.77,-28.39,-97.14,0.0,0.0,-9193.99,0.0,0.0,-9.32,0.0,0.0,0.0,0.0,0.0,0.0,14.36,0.0,14.36,0.0,-72.33,13.41,1.028343782871276,1065.8205538461539,0.93,0.8212815042208866,0.1213086499564309,986.64,0.93,0
606,디아이지에어가스주식회사,5.28,-0.99,22.54,2528.46,143.47,4.52,28.11,15.28,2.52,71.89,6.47,20.47,0.56,0.96,478.5,69.9,896.02,57.07,483.24,-7.09,11.44,0.8271377615216069,1.5201372695586213,9.28,0.2848015242448969,0.16466628500708738,14.1,5.44,0
