,Ç×¸ñ
1169,89021
1170,87366
1171,85061
1172,73842
1173,87120
1174,88168
1175,83198
1176,87925
1177,66120
1178,81371
1179,64019
1180,71002
1181,67589
1182,46061
1183,75014
1184,82340
1185,82878
1186,72936
1187,78089
1188,80313
1189,81334
1190,68377
1191,67348
1192,67354
1193,66084
1194,81435
1195,65714
1196,45826
1197,63747
1198,82832
1199,13474
1200,70588
1201,30005
1202,91486
1203,78719
1204,80526
1205,52175
1206,43867
1207,43148
1208,69962
1209,44220
1210,74212
1211,91135
1212,82393
1213,69223
1214,90897
1215,57064
1216,87027
1217,85670
1218,86731
1219,69747
1220,13484
1221,85453
1222,13486
1223,66959
1224,77624
1225,41730
1226,43833
1227,29709
1228,48801
1229,78325
1230,87985
1231,72522
1232,74793
1233,67273
1234,58695
1235,53022
1236,49126
1237,92264
1238,58303
1239,85767
1240,72738
1241,59268
1242,28818
1243,64672
1244,73935
1245,63663
1246,76283
1247,44449
1248,71142
1249,48225
1250,50048
1251,52890
1252,59856
1253,81320
1254,26278
1255,45234
1256,10785
1257,64480
1258,52160
1259,80631
1260,67120
1261,78849
1262,62965
1263,59094
1264,58239
1265,76329
1266,54004
1267,42185
1268,58629
1269,89367
1270,74577
1271,67373
1272,91080
1273,57075
1274,67893
1275,42319
1276,47415
1277,58290
1278,89118
1279,49614
1280,75852
1281,57239
1282,58288
1283,88475
1284,59169
1285,57951
1286,66599
1287,76355
1288,85228
1289,86821
1290,52484
1291,62476
1292,29415
1293,73068
1294,89119
1295,88042
1296,76147
1297,60876
1298,48829
1299,60574
1300,29722
1301,53488
1302,53503
1303,86414
1304,13496
1305,58587
1306,22420
1307,59072
1308,92225
1309,61830
1310,73676
1311,61881
1312,17750
1313,67054
1314,68884
1315,61865
1316,86331
1317,61627
1318,41789
1319,40619
1320,78417
1321,51803
1322,73336
1323,49983
1324,51282
1325,64863
1326,82897
1327,75741
1328,90063
1329,67337
1330,60547
1331,72255
1332,51424
1333,84678
1334,74167
1335,80710
1336,45934
1337,75991
1338,82737
1339,64963
1340,63481
1341,87884
1342,63326
1343,38866
1344,64965
1345,65189
1346,67294
1347,85577
1348,39112
1349,64122
1350,90548
1351,13512
1352,17601
1353,74561
1354,66727
1355,67896
1356,85084
1357,82789
1358,87464
1359,64264
1360,89985
1361,87040
1362,67136
1363,89309
1364,50017
1365,69222
1366,63527
1367,76542
1368,56541
1369,70006
1370,69731
1371,82631
1372,53747
1373,43395
1374,73936
1375,29399
1376,85126
1377,48700
1378,13525
1379,88671
1380,83343
1381,59193
1382,74280
1383,47795
1384,13532
1385,51650
1386,73159
1387,86187
1388,53904
1389,29762
1390,85417
1391,56800
1392,59648
1393,59649
1394,67416
1395,84959
1396,18978
1397,54667
1398,48805
1399,82027
1400,13541
1401,22477
1402,30639
1403,61944
1404,63189
1405,62511
1406,45838
1407,40043
1408,90950
1409,57279
1410,70363
1411,43633
1412,10207
1413,28819
1414,66527
1415,60669
1416,56785
1417,64352
1418,74541
1419,73132
1420,71243
1421,89783
1422,51907
1423,76493
1424,59768
1425,64235
1426,13564
1427,89113
1428,59118
1429,87322
1430,59764
1431,49791
1432,48373
1433,53174
1434,69975
1435,62135
1436,58390
1437,10211
1438,74235
1439,85503
1440,76797
1441,29826
1442,65045
1443,78419
1444,64739
1445,42923
1446,76981
1447,63359
1448,75979
1449,74897
1450,54860
1451,59303
1452,58448
1453,22531
1454,59141
1455,13609
1456,52104
1457,69474
1458,76233
1459,91020
1460,49788
1461,67432
1462,29922
1463,60675
1464,30610
1465,88019
1466,89598
1467,44626
1468,17629
1469,82306
1470,43541
1471,60079
1472,61430
1473,51126
1474,72939
1475,61247
1476,49455
1477,64174
1478,89209
1479,78553
1480,59079
1481,61318
1482,92365
1483,81741
1484,85635
1485,86856
1486,63219
1487,58752
1488,74558
1489,69243
1490,86206
1491,53039
1492,16195
1493,75856
1494,91112
1495,74454
1496,70650
1497,13627
1498,62467
1499,85694
1500,57949
