,구분,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채/자산2009,부채/매출액2009,부채/현금흐름2009,유동부채/부채2009,유동자산/자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
1517,(주)태진인포텍,84.51,116.25,32.89,340.75,282.38,6.51,35.56,545.83,5.37,64.44,3.0,9.67,0.82,181.46,398.63,82.52,46.41,75.51,178.5,-13.6,1.37,0.7994496605573053,1.2573756210841491,13.95,0.9731460330121222,0.6420159146342789,17.54,13.75,1
1518,(주)태창인재,2.55,-12.76,-6.82,0.0,0.0,-18.98,22.68,-117.08,-9.82,77.32,3.91,7.01,0.52,0.79,2813.06,25.8,355.72,15.57,2302.18,-60.33,0.41,0.9656718843426103,1.8906272406546458,-3.9,0.8418668449997322,0.20970641356865952,-7.36,5.57,0
1519,(주)태하디앤씨,41.54,43.43,203.74,0.0,0.0,-4.05,12.16,0.0,-1.11,87.84,4.8,0.32,0.27,5771.28,0.0,88.12,-4134.12,13.93,0.0,-13.47,0.0,1.1342569518553651,4.847909774742221,-11.44,0.99980196622061,0.9993577132952222,-55.45,3.08,0
1521,(주)토다코사,-11.4,10.42,-5.58,0.0,0.0,-6.86,35.43,0.0,-10.65,64.57,151.59,9.1,1.55,25.79,0.0,28.88,-31.71,12.38,0.0,-74.26,6.89,1.087374921929067,0.6581999131993055,0.97,0.9602708467296088,0.30156485408986183,0.64,4.39,0
1522,(주)토비스알앤씨,-41.54,-3.61,42.57,0.0,0.0,-11347.83,0.0,0.0,-55.95,0.0,0.06,0.02,0.0,0.01,0.0,34.08,-1491.94,9.2,0.0,-101.94,0.07,4.563527957112281,682.9890630851462,-2.0,0.33883997172635344,0.5269105446564712,-1366.14,0.03,0
1523,(주)토성디앤씨,-3.16,-3.18,75.09,0.0,0.0,-219.14,50.06,0.0,-5.13,49.94,14.65,0.03,0.02,8.63,0.0,321.45,0.0,29.29,0.0,68.42,0.3,1.290629741065365,54.29488646261482,-0.56,0.23940053785655674,0.9932152822513315,-30.2,5.46,0
1524,(주)토야디앤드씨,-60.28,-60.3,0.0,0.0,0.0,-76.87,-3.5,0.0,-12.01,103.5,0.9,0.25,0.16,2281850.0,0.0,61.46,-1038.51,1.84,0.0,-62.64,0.01,1.6251434780944134,5.915673247584197,30.17,1.0,0.9987863203945608,178.5,8.68,0
1525,(주)토탈커뮤니케이션그룹영컴,-77.38,-29.28,-52.84,0.0,0.0,0.58,12.31,0.72,0.17,87.69,2.67,0.0,0.3,23.44,51.42,203.72,2235.61,203.72,54.66,32.53,0.13,0.33957839691095787,0.4129226650976183,-117.55,0.9237405133986826,0.6390229967738286,-48.54,8.05,1
1527,(주)트리플에이,-10.78,-19.52,-79.61,-49.69,-50.43,9.52,79.83,8.35,0.95,20.17,0.4,0.17,0.1,199.34,712.2,100.61,676.79,17.82,96.7,0.54,1.41,0.8768774286504344,8.3210074238573,1.77,0.9985191977743154,0.8809400605434355,14.7,5.46,0
1528,(주)트윈세이버,-2.65,3.36,27.16,0.0,0.0,-27.39,40.78,0.0,-7.14,59.22,8.69,8.16,0.26,0.28,0.0,14.71,-238.21,9.41,0.0,-42.68,1.94,1.3125737958221442,4.965994192844651,0.58,0.3812744850536708,0.07361992439708626,2.9,3.28,0
1530,(주)티브로드낙동방송,18.09,5.31,5.54,0.0,-14.76,16.35,0.0,25.67,6.99,0.0,28.45,0.0,0.43,3.95,181.34,16.98,71.11,16.98,252.71,-49.74,13.98,0.6445523294457919,1.6341068840773358,13.93,0.929512079884154,0.10174453651483581,22.76,4.45,1
1531,(주)티브로드북부산방송,-24.64,-1.35,12.69,310.68,433.43,17.78,0.0,108.64,25.06,0.0,24.22,0.0,1.41,2.7,141.41,104.74,46.61,104.74,148.51,1.74,56.91,0.5857686150529114,0.35724156876211033,84.38,0.627249510290446,0.38482632943061224,30.14,7.84,1
