,구분,총자본증가율2002,유동자산증가율2002,매출액증가율2002,순이익증가율2002,영업이익증가율2002,매출액순이익률2002,매출액총이익률2002,자기자본순이익률2002,총자본순이익률2002,매출원가 대 매출액비율2002,매출채권회전률2002,재고자산회전률2002,총자본회전률2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,비유동비율2002,순운전자본비율2002,현금비율2002,부채/자산2002,부채/매출액2002,부채/현금흐름2002,유동부채/부채2002,유동자산/자산2002,매출/현금흐름2002,차입금평균이자율2002,정상기업여부
246,(주)아시안스타,-28.86,-14.26,-38.59,0.0,0.0,41.48,44.71,6.28,4.87,55.29,17.73,7.06,0.12,0.3,8.64,453.34,128.35,367.73,90.68,12.88,42.47,0.07954382419724064,0.563267965256313,152.45,0.45839418774477425,0.16529733735752727,85.87,3.4,0
247,(주)아싸,-48.6,-29.18,-19.67,0.0,0.0,-26.34,24.41,-112.47,-15.24,75.59,1.98,1.49,0.58,2.47,1029.39,101.49,40.7,40.52,94.32,1.34,3.27,0.9114571073147109,1.0700786174766803,18.24,0.9907722323917557,0.916484173454776,19.51,2.55,0
248,(주)아이리스이십일,-20.31,-70.02,-37.42,0.0,0.0,-148.36,38.94,0.0,-184.99,61.06,8.2,0.0,1.25,8.1,0.0,4.77,0.0,4.77,0.0,-331.9,0.44,4.197856185797231,2.9861320709758385,-28.49,0.8302838067879562,0.16639124609200537,-85.06,6.67,0
249,(주)양산아이시디,-3.42,11.04,1.49,0.0,0.0,-27.74,76.78,-17.45,-0.85,23.22,0.0,0.0,0.03,0.05,2113.1,120.3,80.41,120.3,2132.18,0.62,3.55,0.9548145585366348,30.654533435342042,-0.24,0.03183460746191764,0.03656604098813927,-7.22,0.15,0
250,(주)어나더필,-10.85,-59.07,85.76,0.0,0.0,56.88,-5.65,48.44,5.37,105.65,16.47,1.16,0.09,0.13,672.9,7.16,71.67,0.94,729.04,-73.6,0.02,0.8706176605106024,8.69976553504295,3.34,0.910574763383597,0.05675288086298409,29.06,3.02,0
251,(주)에스켐텍,6.1,24.82,3.6,0.0,0.0,-4.19,7.87,0.0,-4.19,92.13,6.43,5.53,1.0,2.83,0.0,44.0,0.0,24.98,0.0,-50.45,1.27,1.1348480480428407,1.1675195296684127,-6.82,0.7937188521461884,0.39629477395381807,-7.96,4.37,0
252,(주)에스코알티에스,-17.23,-20.27,26.12,0.0,0.0,0.72,21.98,1.24,0.78,78.02,2.73,7.51,1.08,9.19,125.35,149.73,249.08,122.76,37.66,27.66,21.31,0.5562386385164166,0.466992983510608,-4.86,1.0,0.8328609588988217,-2.27,260.72,0
253,(주)엔에스시스템,40.27,51.85,157.84,0.0,0.0,16.89,42.37,21.37,13.94,57.63,3.18,8.26,0.83,39.84,45.64,209.72,142.2,158.72,74.5,25.56,9.84,0.31337644642864154,0.44314295105851836,-12.53,0.7432840832773674,0.4884862905854036,-5.55,7.45,1
254,(주)엔에스에너지,2.86,11.83,-14.22,0.0,-26.83,-4.44,10.08,-15.79,-2.61,89.92,45.9,1.88,0.59,0.9,567.51,46.35,412.11,5.65,429.13,-41.34,0.14,0.8501894527523145,1.4694714794515011,1.4,0.90628975840581,0.3571229914814625,2.06,8.96,0
255,(주)엔터원알에스에스(구:(주)엠브이넷),-76.15,-69.2,-80.73,0.0,0.0,-175.38,-7.0,0.0,-115.18,107.0,1.88,3.41,0.66,106.26,0.0,44.88,0.0,42.15,0.0,-106.5,1.29,3.0887525747133826,1.8116185902539377,-30.84,0.6255689840414461,0.8672047321733405,-55.87,8.73,0
