,구분,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채2015,자산2015,매출액2015,부채/현금흐름2015,유동부채2015,유동자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
2140,중영위업주식회사,999999999.0,-539125.0,26.62,19.74,16.8,0.0,0.0,0.0,0.0,0.0,-4.75,-3.89,0.0,0.0,0.0,0.0,0.0,36.3,264.33,88.65,138.62,40.35,43.76,1.45,3858233.0,14487288.0,0.0,-6.49,3858233.0,10198403.0,0.0,0.0,0
2141,증평하수관거(주),999999999.0,-38011.0,89.64,-5.28,-1.46,-31.95,0.0,0.0,-3.7,0.0,-1.98,-0.17,0.0,0.0,0.0,0.05,0.0,1025.8,129.7,71.88,129.7,1029.87,1.95,46.55,19014181.0,20867776.0,1003183.0,4.57,1370939.0,1778096.0,86.66,0.0,0
2142,지성산업주식회사,13.59,204600.0,1.38,-5.85,-8.05,31.73,-85.61,0.0,5.07,15.89,2.28,2.03,84.11,7.81,0.0,0.4,1.0,7.96,683.37,1250.18,683.37,69.52,30.4,68.33,994859.0,13496686.0,5554663.0,85.99,703263.0,4805879.0,15.4,2.76,1
2143,지앤비에너지(주),-0.16,-234940.0,108.7,-7.93,-56.68,0.0,0.0,0.0,0.0,0.0,0.0,-1.71,0.0,0.0,0.0,0.0,0.0,0.0,141.89,0.0,141.89,0.0,1.13,84.89,22547891.0,20333496.0,0.0,1.0,547891.0,777397.0,0.0,6.57,0
2144,지앤지프로덕션주식회사,-91.54,-1086759.0,12.72,31.41,39.79,37.43,-44.87,0.0,2.22,-2.25,2.42,1.85,102.25,8.81,0.0,0.83,570.09,46.6,313.15,713.28,313.15,11.8,62.59,29.78,6648338.0,20913849.0,15318349.0,-8.57,6140699.0,19229847.0,-3.72,0.89,0
2145,지에스이엠주식회사,-4.75,-8580919.0,34.26,31.31,53.95,126.76,0.0,0.0,-28.44,3.97,-29.39,-16.37,96.03,7.63,6.15,0.58,1.07,66.75,106.78,220.28,76.7,118.81,1.83,26.64,59106383.0,147659626.0,74888495.0,-23.89,39751635.0,42448320.0,-18.86,3.68,0
2146,지에이투어랜드주식회사,-0.03,-24294.0,100.02,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,98.9,0.0,98.9,0.0,-1.11,0.2,20218071.0,19995391.0,0.0,-5.24,20218071.0,19995391.0,0.0,4.31,0
2147,지엘메트로시티(주),1.0,5263993.0,0.0,-96.54,-96.54,0.0,0.0,0.0,-0.01,4.82,0.0,-0.02,95.18,0.0,2.23,2.0,4612655.35,0.0,67.4,0.0,67.4,0.0,-48.38,62.17,16236508.0,10942666.0,327498530.0,717.83,16236508.0,10942666.0,35.59,3.53,1
2148,지엘시티건설(주),-0.35,-2740074.0,138.8,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,-13.72,0.0,0.0,0.0,0.0,0.0,0.0,54.59,0.0,4.55,0.0,-83.15,0.01,135636023.0,74052180.0,0.0,-3.22,135600493.0,74027950.0,0.0,7.69,0
2149,지케이주식회사,-5.07,-4837639.0,134.22,-21.02,-74.65,80.91,0.0,0.0,-132.46,-66.71,0.0,-37.54,166.71,6.59,11.8,0.28,0.33,0.0,4.12,0.0,3.2,0.0,-154.25,0.07,23024625.0,13607369.0,4370286.0,-18.15,21892406.0,902595.0,-95.61,5.22,0
2150,지클레프리조트주식회사,-0.59,-541683.0,188.09,-5.9,-17.52,21.81,0.0,0.0,-481.66,-69.93,0.0,-23.72,169.93,0.0,0.0,0.05,0.05,0.0,0.53,0.0,0.53,0.0,-198.96,0.0,18224857.0,7693239.0,390740.0,-4.57,15387255.0,81119.0,-213.16,6.9,0
2151,진광이앤씨(주),-8.34,-89785.0,0.0,6.25,130.96,120.63,0.0,0.0,0.44,22.26,0.25,0.21,77.74,12.36,8.71,0.46,0.55,24.69,240.05,119.11,147.6,104.28,9.55,24.96,4970466.0,25099500.0,11325355.0,-14.08,1711339.0,4108028.0,-6.18,0.0,0
2152,진성씨에이치,999999999.0,807859.0,0.0,2.61,174.01,0.0,0.0,0.0,71.8,0.0,2.58,2.57,0.0,0.0,0.0,0.04,338.61,0.07,7492.91,446.39,7492.91,96.02,3.99,487.97,20062.0,29527941.0,1045449.0,-742.94,15947.0,1194894.0,-14.26,0.0,1
2153,진영씨앤케이주식회사,-0.18,-2900264.0,145.57,-11.14,-9.52,57.93,0.0,0.0,-40.75,14.73,0.0,-22.74,85.27,0.0,0.61,0.56,45.29,0.0,34.52,0.0,4.16,0.0,-188.89,2.68,251015205.0,87013799.0,51599553.0,3.08,251015205.0,86655830.0,14.99,12.7,0
2154,진영전선(주),0.8,241758.0,63.9,-3.9,-0.75,20.48,0.0,0.0,0.32,6.55,4.98,0.57,93.45,16.24,8.46,1.78,2.96,737.39,49.43,109.51,19.24,501.98,-40.98,1.44,10093968.0,11462837.0,20826554.0,-4.45,9289383.0,4591455.0,-2.16,4.22,1
2155,참빛산업(주),-0.92,-2000532.0,3.19,-0.57,-12.97,87.42,-5.32,0.0,77.49,94.3,9.68,5.86,5.7,14.65,220.76,0.08,1.1,57.5,23.95,1147.01,23.95,151.77,-11.55,3.38,34954356.0,95745965.0,7265225.0,19.59,14547740.0,3484352.0,94.25,36.89,0
2156,참손푸드주식회사,-2.63,-1140342.0,81.89,-24.52,-29.8,-8.89,0.0,0.0,-17.7,8.39,-128.35,-24.23,91.61,9.83,3.9,1.37,5.38,1172.09,78.21,263.59,32.14,426.11,-18.53,3.1,15151603.0,16444298.0,26170766.0,-3.25,13982508.0,10935988.0,-1.88,3.28,0
2157,창명해운주식회사,-1.3,-51155423.0,63.28,-29.23,-6.0,-24.01,0.0,0.0,-332.97,-29.45,0.0,-40.45,129.45,4.41,11.33,0.12,0.13,0.0,16.61,0.0,13.97,0.0,-41.58,5.14,1149548250.0,891073806.0,130614196.0,2.03,444335977.0,73799705.0,17.88,7.15,0
2158,천마산터널주식회사,999999999.0,-903917.0,63.87,67.72,-28.65,0.0,0.0,0.0,0.0,0.0,-4.6,-1.63,0.0,0.0,0.0,0.0,0.0,198.34,159.0,85.92,159.0,286.63,1.46,0.04,46010697.0,69208463.0,0.0,-1.45,1709019.0,2717385.0,0.0,0.0,0
2159,천만산업(주),-0.72,-17761.0,16.08,20.31,-98.06,-4.15,0.0,0.0,-3.34,0.0,-0.23,-0.18,0.0,26.28,0.0,0.05,0.06,37.35,7.98,1549.6,7.98,137.06,-2.44,1.95,5787769.0,21283768.0,1063757.0,4.7,564245.0,45035.0,25.59,1.32,0
2160,천안건강마당(주),999999999.0,147494.0,96.51,-2.82,19.15,-1.02,0.0,0.0,9.65,9.63,48.93,1.24,90.37,0.0,0.0,0.13,0.0,3029.42,211.02,54.07,211.02,2896.59,3.91,0.01,11391815.0,11767854.0,1532574.0,3.5,414916.0,875538.0,26.0,0.0,1
2161,천일건설주식회사,-55.78,-256603.0,85.87,-0.65,-10.04,0.0,71.73,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,2.36,0.0,-48.67,0.26,87054246.0,62554576.0,0.0,-0.22,86995320.0,56549667.0,0.0,0.01,0
2162,천일여객(주),-3.74,-1032232.0,33.45,4.59,6.51,-3.2,150.88,0.0,3.24,13.29,10.26,3.61,86.71,24.28,124.85,1.11,2.6,176.47,32.62,881.21,30.6,242.94,-25.05,4.0,14311607.0,22421638.0,24407747.0,18.6,8335240.0,2719359.0,10.91,3.77,0
2163,철옥건설(주),999999999.0,-21495.0,1046.59,-87.71,-97.68,0.0,0.0,0.0,0.0,0.0,0.0,-156.43,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,-1059.14,0.05,39661949.0,3743001.0,0.0,-0.05,39661949.0,18385.0,0.0,0.0,0
2164,청광종합건설(주),-3.54,-827168.0,11.0,-6.72,-78.46,-97.23,369.77,0.0,1998.07,0.0,10.54,8.23,0.0,0.22,1.01,0.0,0.03,22.09,6.94,619.0,4.41,120.67,-15.6,3.02,5060332.0,27964037.0,119382.0,0.75,4687448.0,325233.0,31.98,5.16,0
2165,청남관광주식회사,-2.55,-2586773.0,0.0,0.72,-23.02,-4.59,0.0,0.0,-24.22,52.73,-13.56,-0.84,47.27,1432.36,107.39,0.03,0.04,1638.39,5.24,808.24,5.2,1667.5,-73.81,0.06,264842759.0,281007602.0,9723556.0,-0.64,218874845.0,11458423.0,-17.44,0.0,0
2166,청라국제업무타운(주),999999999.0,-2211163.0,0.0,-1.59,-1.59,0.0,0.0,0.0,0.0,0.0,-1.6,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,2033748.03,53.23,2033748.03,0.0,100.0,3199.83,6380.0,129753124.0,0.0,30351.83,6380.0,129753124.0,0.0,0.0,0
2167,청룡화랑주식회사,999999999.0,-437146.0,92.71,-3.31,10.58,-2.95,0.0,0.0,-10.4,-3.82,-16.74,-0.58,103.82,0.0,0.0,0.06,52.67,3009.85,103.84,57.17,103.84,2854.16,0.3,51.44,70903567.0,73259284.0,4139973.0,4.1,5800610.0,6023387.0,70.23,0.0,0
2168,청솔주택(주),-5.66,-12027915.0,5557.63,-98.96,-98.06,1361.0,0.0,0.0,-156.33,-78.4,0.0,-60.52,178.4,88.88,1.12,0.39,0.8,0.0,0.9,0.0,0.9,0.0,-10596.51,0.01,81307769.0,760414.0,14337133.0,6.03,81307769.0,730414.0,34.22,3.56,0
2169,청아띠농업회사법인(주),-6.72,-562960.0,0.0,-39.54,6.2,-4.61,0.0,0.0,-5.09,4.86,0.0,-5.64,95.14,5.62,8.16,1.11,2.08,0.0,487.86,0.0,335.47,0.0,48.63,29.37,7263792.0,6104941.0,8978501.0,-22.6,765381.0,3734016.0,-18.29,2.11,0
2170,청안건설(주),0.01,52044.0,191.97,1.82,7.82,172.46,0.0,0.0,-18.69,8.04,0.0,-19.33,91.96,5.89,5.12,1.03,25.41,0.0,62.08,0.0,57.02,0.0,-56.44,3.28,260394664.0,98195073.0,100650413.0,-2.14,146163830.0,90743807.0,-5.53,5.54,1
2171,청우건설,-0.06,-1543604.0,321.75,-76.23,-75.96,0.0,0.0,0.0,0.0,0.0,0.0,-79.74,0.0,0.0,0.0,0.0,0.0,0.0,10.32,0.0,7.23,0.0,-868.15,0.0,82955645.0,7958486.0,0.0,0.0,77044004.0,7952736.0,0.0,81.16,0
2172,청정포항주식회사,999999999.0,-66210.0,91.74,39.45,-25.98,0.0,0.0,0.0,0.0,0.0,-1.29,-0.1,0.0,0.0,0.0,0.0,0.0,1417.08,102.51,95.04,102.51,1491.1,0.04,0.0,71918109.0,76993203.0,0.0,0.08,1286109.0,1318376.0,0.0,0.0,0
2173,청풍한방마을(주),2.75,54400.0,95.43,-4.51,22.89,-20.15,0.0,0.0,2.99,4.63,22.56,0.23,95.37,0.0,0.0,0.08,0.0,8686.02,172.04,18.78,172.04,8160.06,2.98,0.16,15043667.0,15216862.0,1175617.0,3.74,630147.0,1084133.0,47.87,0.13,1
2174,청화기업(주),-42.89,-353364.0,3.16,4.44,4.56,0.0,118.33,0.0,0.0,0.0,4.21,4.02,0.0,0.0,0.0,0.0,0.0,4.81,2426.36,389.39,2426.36,2.74,93.38,0.0,1485488.0,32396098.0,0.0,6.0,1300319.0,31550385.0,0.0,0.8,0
2175,춘천맑은물길(주),999999999.0,-104027.0,94.04,3.85,231.21,0.0,0.0,0.0,-2.44,0.0,-1.99,-0.1,0.0,0.0,0.0,0.04,0.08,2048.58,126.72,91.73,126.72,2020.95,1.25,0.0,104100900.0,109182517.0,4190708.0,2.36,5117877.0,6485480.0,58.67,0.0,0
2176,충북교육마당(주),999999999.0,-95090.0,89.25,-5.05,6.02,-3.5,0.0,0.0,-7.02,-7.3,-5.01,-0.44,107.3,0.0,0.0,0.06,0.0,1037.51,155.71,65.83,155.71,1037.53,3.14,0.02,18474857.0,20255555.0,1302489.0,6.02,1143283.0,1780191.0,85.36,0.0,0
2177,충주기업도시(주),-4.49,-32046385.0,17.19,-36.68,-36.63,176.89,0.0,0.0,-133.35,-1.11,-86.45,-14.47,101.11,0.49,0.15,0.11,345.34,715.67,301.93,47.42,17.76,0.28,66.86,0.29,135733736.0,154699764.0,21655180.0,41.6,51219701.0,154645962.0,260.72,11.09,0
