,구분,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채2015,자산2015,매출액2015,부채/현금흐름2015,유동부채2015,유동자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
34,(주)영공,0.89,238458.0,35.03,0.15,7.36,-4.93,142.09,13.88,0.36,8.14,1.6,0.63,91.86,63.09,60.64,1.74,2.4,153.2,56.3,1867.78,50.12,186.8,-20.36,24.72,20030565.0,33105009.0,57722650.0,1.4,15422105.0,8682487.0,0.48,2.53,0
35,(주)영광,1.64,761930.0,53.91,26.51,1.92,23.83,117.33,404.14,2.35,5.12,6.03,1.94,94.88,8.9,12.29,0.82,1.31,236.94,80.73,926.36,65.02,236.8,-7.09,37.37,21948944.0,31212508.0,23032568.0,8.07,11489729.0,9276003.0,7.69,3.38,1
36,(주)우리유통,0.65,88790.0,28.14,2.73,7.7,15.01,39.62,-25.45,0.37,17.11,9.02,0.44,82.89,52.97,6.79,1.2,2.06,1884.47,101.65,888.37,55.34,1177.53,0.66,2.57,11718705.0,12340561.0,14604420.0,1.39,4936705.0,5018021.0,1.11,3.94,0
37,(주)울트라,1.49,504010.0,65.26,16.96,16.18,12.3,-26.67,1506.1,0.7,12.79,4.08,1.0,87.21,30.16,44.45,1.42,2.43,331.62,57.83,221.32,50.15,309.17,-20.69,0.32,11009079.0,14328826.0,18900791.0,8.25,7030285.0,4065303.0,4.8,3.92,1
38,오진상사주식회사,0.07,148974.0,28.33,-22.32,-16.63,13.71,50947.24,-90.82,8.34,8.5,17.92,9.23,91.5,7.52,5.02,1.11,10.53,77.22,128.96,1292.43,63.7,91.9,10.81,1.56,41377925.0,94960089.0,120234965.0,-12.79,35448925.0,45716368.0,-4.4,5.14,0
39,유신당씨앤씨(주),0.78,274676.0,74.25,-4.83,-15.78,-13.74,-24.27,-20.86,0.25,11.98,1.19,0.14,88.02,11.23,4.5,0.57,0.77,601.77,54.19,53.93,25.88,542.9,-19.14,2.64,6880061.0,8023371.0,4725316.0,4.04,3351779.0,1816374.0,5.88,5.64,0
40,은광산업(주),1.08,1336420.0,61.98,-0.9,-45.33,-32.29,-4.67,228.54,3.39,19.34,3.6,1.15,80.66,10.16,11.39,0.34,2.02,218.16,61.49,3584.69,47.73,265.98,-10.27,1.68,31280808.0,45619550.0,15569089.0,2.4,12165398.0,7481044.0,4.83,4.37,1
41,이지슈퍼물류주식회사,0.37,262645.0,64.21,4.34,19.77,-5.18,114.63,-26.91,0.26,11.03,2.29,0.4,88.97,6.25,17.56,1.57,2.72,477.16,81.02,80.95,65.87,327.96,-10.12,0.64,21244076.0,25696274.0,39494316.0,1.9,13693909.0,11094685.0,1.02,4.31,0
42,장암칼스주식회사,1.47,1073032.0,50.99,0.96,-0.95,3.92,373.35,45.55,2.23,18.06,4.02,1.61,81.94,8.98,4.91,0.72,1.12,146.09,66.95,755.92,31.68,183.85,-12.49,4.78,24350114.0,41018178.0,29447984.0,7.78,15495689.0,10374114.0,6.43,3.48,1
43,제일E&S주식회사,2.17,1186984.0,20.98,2.49,7.31,24.62,-60.48,735.2,2.57,9.03,5.38,2.72,90.97,5.27,5.43,1.06,3.31,95.8,112.28,1329.59,65.35,93.79,5.7,7.33,38212129.0,78099845.0,81634768.0,0.2,36242130.0,40691011.0,0.09,3.28,1
